condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	55.8775	1.7005000000000052	1.0	1	hit
WinBig	125.2165	1.6154000000000082	1.0	1	hit
WinBig	132.3492	1.5833000000000084	1.0	1	hit
WinSmall	143.6355	1.5816999999999837	1.0	1	hit
WinBig	149.2667	1.550200000000018	1.0	1	hit
WinBig	174.2022	1.5831000000000017	1.0	1	hit
WinSmall	212.3717	1.5833999999999833	1.0	1	hit
WinBig	239.356	1.600500000000011	1.0	1	hit
WinBig	316.3123	1.511700000000019	1.0	1	hit
WinSmall	322.442	1.4995999999999867	1.0	1	hit
WinBig	347.8785	1.518100000000004	1.0	1	hit
WinSmall	43.1388	1.6883999999999943	0.0	1	miss
WinBig	91.0618	1.6513999999999953	0.0	1	miss
WinSmall	110.9469	1.617900000000006	0.0	1	miss
WinSmall	160.9849	1.5669999999999789	0.0	1	miss
WinBig	187.4248	1.595499999999987	0.0	1	miss
WinBig	225.6057	1.600200000000001	0.0	1	miss
WinSmall	231.2298	1.6007999999999925	0.0	1	miss
WinSmall	284.1596	1.5498000000000047	0.0	1	miss
WinSmall	336.1432	1.5194000000000187	0.0	1	miss
