trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,961,None,0,23,23,23,,1,1,0.45263382798293605,go,0.10000000000000002,0.961,1.9609999999999999,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,772,None,0,24,24,24,,None,1,,stop,0.15000000000000002,0.772,1.772,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,959,None,0,25,25,25,,2,1,0.38731926801847294,go,0.15000000000000002,0.959,1.959,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,1111,None,0,26,26,26,,1,1,0.4220712019596249,go,0.15000000000000002,1.111,2.1109999999999998,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,718,None,0,27,27,27,,2,1,0.3859043809934519,go,0.15000000000000002,0.718,1.718,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,750,None,0,28,28,28,,2,0,0.4746320489794016,stop,0.10000000000000002,0.75,1.7253679510205984,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,768,None,0,29,29,29,,2,1,0.43617573694791645,go,0.10000000000000002,0.768,1.768,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,1426,None,0,30,30,30,,1,1,0.4038422800367698,go,0.10000000000000002,1.426,2.426,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,1700,None,0,31,31,31,,2,1,0.4194904350442812,go,0.10000000000000002,1.7,2.7,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,965,None,0,32,32,32,,2,1,0.5041843050275929,go,0.10000000000000002,0.965,1.9649999999999999,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,704,None,0,33,33,33,,1,1,0.437126217992045,go,0.10000000000000002,0.704,1.704,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,887,None,0,34,34,34,,2,1,0.5193174949963577,go,0.10000000000000002,0.887,1.887,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
