trial_type,arrow_1,corrAns,ss_delay,iti_duration,key_response.keys,key_response.corr,key_response.rt,SOA,run_fixation_duration,participant,trial_order,handedness
go,sst_images/Left_Arrow.bmp,1,0.05,1.001,1,1,0.5848417639936088,2.001,,011,sst_trial_order_6B.csv,L
stop,sst_images/Right_Arrow.bmp,none,0.1,0.729,,1,[],1.729,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.1,0.898,2,1,0.43843326999922283,1.8980000000000001,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.1,0.754,2,1,0.44134903298981953,1.754,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.1,0.714,1,1,0.42267182799696457,1.714,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.1,0.705,1,1,0.42147601500619203,1.705,,011,sst_trial_order_6B.csv,L
stop,sst_images/Left_Arrow.bmp,none,0.15000000000000002,1.027,,1,[],2.0269999999999997,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.719,2,1,0.43915891100186855,1.7189999999999999,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.79,1,1,0.4555161360040074,1.79,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.786,2,1,0.320610367009067,1.786,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.782,2,1,0.37221441300061997,1.782,,011,sst_trial_order_6B.csv,L
stop,sst_images/Left_Arrow.bmp,none,0.10000000000000002,1.103,1,0,0.35820078900724184,2.194799210992758,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,1.094,1,1,0.7220384960091906,2.0940000000000003,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,1.41,2,1,0.3715809179993812,2.41,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,0.916,1,1,0.3538723009987734,1.916,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,0.871,1,1,0.5551752390019828,1.871,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,1.238,1,1,0.3035586600017268,2.238,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,0.744,2,1,0.30342486800509505,1.744,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,0.811,1,1,0.4029905450006481,1.811,,011,sst_trial_order_6B.csv,L
stop,sst_images/Right_Arrow.bmp,none,0.15000000000000002,0.725,,1,[],1.725,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.737,1,1,0.46997527599160094,1.737,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,1.242,2,1,0.43830429200897925,2.242,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,1.46,1,1,0.42110332399897743,2.46,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,1.043,2,1,0.3031667129980633,2.043,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,1.231,1,1,0.3196297309914371,2.231,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.78,2,1,0.2866491859895177,1.78,,011,sst_trial_order_6B.csv,L
stop,sst_images/Right_Arrow.bmp,none,0.10000000000000002,0.865,1,0,0.3552109879965428,1.9597890120034573,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,0.759,2,1,0.4201281529967673,1.759,,011,sst_trial_order_6B.csv,L
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,0.76,1,1,0.3036552939884132,1.76,,011,sst_trial_order_6B.csv,L
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,0.984,2,1,0.2705654739984311,1.984,,011,sst_trial_order_6B.csv,L
stop,sst_images/Left_Arrow.bmp,none,0.05000000000000002,1.242,1,0,0.31997634199797176,2.322023658002028,,011,sst_trial_order_6B.csv,L
