trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,732,None,0,0,0,0,1,None,0,go,0.05,0.732,1.732,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,709,None,0,1,1,1,,2,1,go,0.05,0.709,1.709,0.5456811269996251,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,832,None,0,2,2,2,,None,1,stop,0.1,0.832,1.8319999999999999,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,812,None,0,3,3,3,,2,1,go,0.1,0.812,1.812,0.5082614530001592,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,916,None,0,4,4,4,,1,1,go,0.1,0.916,1.916,0.5097707920012908,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,817,None,0,5,5,5,,None,1,stop,0.15000000000000002,0.817,1.817,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,1153,None,0,6,6,6,,None,0,go,0.15000000000000002,1.153,2.153,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,1097,None,0,7,7,7,,None,0,go,0.15000000000000002,1.097,2.097,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,771,None,0,8,8,8,,1,1,go,0.15000000000000002,0.771,1.771,0.47403608199965674,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,768,None,0,9,9,9,,2,1,go,0.15000000000000002,0.768,1.768,0.4908682850000332,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,709,None,0,10,10,10,,1,0,stop,0.10000000000000002,0.709,1.6810247920005932,0.47797520799940685,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,861,None,0,11,11,11,,2,1,go,0.10000000000000002,0.861,1.861,0.4932282869995106,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,834,None,0,12,12,12,,1,1,go,0.10000000000000002,0.834,1.834,0.6099662939996051,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,830,None,0,13,13,13,,2,1,go,0.10000000000000002,0.83,1.83,0.5911527369989926,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,1202,None,0,14,14,14,,1,1,go,0.10000000000000002,1.202,2.202,0.9421807359995,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,929,None,0,15,15,15,,None,1,stop,0.15000000000000002,0.929,1.929,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,705,None,0,16,16,16,,None,0,go,0.15000000000000002,0.705,1.705,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,953,None,0,17,17,17,,1,1,go,0.15000000000000002,0.953,1.9529999999999998,0.45905750099882425,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,795,None,0,18,18,18,,2,1,go,0.15000000000000002,0.795,1.795,0.43879494199973124,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,910,None,0,19,19,19,,1,1,go,0.15000000000000002,0.91,1.9100000000000001,0.4413770810006099,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,975,None,0,20,20,20,,1,1,go,0.15000000000000002,0.975,1.975,0.40840237400152546,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,708,None,0,21,21,21,,2,0,stop,0.10000000000000002,0.708,1.7027755379991578,0.4552244620008423,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,838,None,0,22,22,22,,2,1,go,0.10000000000000002,0.838,1.838,0.9534052460003295,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,794,None,0,23,23,23,,None,0,go,0.10000000000000002,0.794,1.794,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,835,None,0,24,24,24,,None,0,go,0.10000000000000002,0.835,1.835,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,726,None,0,25,25,25,,None,0,go,0.10000000000000002,0.726,1.726,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,1514,None,0,26,26,26,,None,0,go,0.10000000000000002,1.514,2.5140000000000002,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,1028,None,0,27,27,27,,2,1,go,0.10000000000000002,1.028,2.028,0.3597058670002298,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,849,None,0,28,28,28,,1,1,go,0.10000000000000002,0.849,1.849,0.48902628699943307,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,807,None,0,29,29,29,,2,1,go,0.10000000000000002,0.807,1.807,0.4187902550002036,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,870,None,0,30,30,30,,None,1,stop,0.15000000000000002,0.87,1.87,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,826,None,0,31,31,31,,2,1,go,0.15000000000000002,0.826,1.826,0.46939862799990806,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,737,None,0,32,32,32,,1,1,go,0.15000000000000002,0.737,1.737,0.8862590980006644,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,853,None,0,33,33,33,,2,1,go,0.15000000000000002,0.853,1.853,0.5690816490005091,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,740,None,0,34,34,34,,None,0,go,0.15000000000000002,0.74,1.74,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,835,None,0,35,35,35,,None,0,go,0.15000000000000002,0.835,1.835,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,848,None,0,36,36,36,,None,0,go,0.15000000000000002,0.848,1.8479999999999999,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,983,None,0,37,37,37,,None,0,go,0.15000000000000002,0.983,1.983,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,725,None,0,38,38,38,,None,0,go,0.15000000000000002,0.725,1.725,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,717,None,0,39,39,39,,None,0,go,0.15000000000000002,0.717,1.717,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,701,None,0,40,40,40,,None,0,go,0.15000000000000002,0.701,1.701,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1646,None,0,41,41,41,,None,1,stop,0.2,1.646,2.6459999999999995,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,736,None,0,42,42,42,,1,1,go,0.2,0.736,1.736,0.3866439799985528,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,855,None,0,43,43,43,,1,1,go,0.2,0.855,1.855,0.4193826099999569,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,903,None,0,44,44,44,,2,1,go,0.2,0.903,1.903,0.4546054760012339,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,802,None,0,45,45,45,,2,1,go,0.2,0.802,1.802,0.3384928020004736,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,768,None,0,46,46,46,,2,0,stop,0.15000000000000002,0.768,1.8780721980001254,0.38992780199987465,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,779,None,0,47,47,47,,2,1,go,0.15000000000000002,0.779,1.779,0.4219850919998862,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,703,None,0,48,48,48,,1,1,go,0.15000000000000002,0.703,1.7029999999999998,0.4352688599992689,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,941,None,0,49,49,49,,1,1,go,0.15000000000000002,0.941,1.9409999999999998,0.37168577699958405,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,779,None,0,50,50,50,,1,1,go,0.15000000000000002,0.779,1.779,0.3361334319997695,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,902,None,0,51,51,51,,1,0,stop,0.10000000000000002,0.902,2.0142455199994873,0.33775448000051256,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,948,None,0,52,52,52,,2,1,go,0.10000000000000002,0.948,1.948,0.3719378900004813,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Right_Arrow.bmp,None,2,706,None,0,53,53,53,,2,1,go,0.10000000000000002,0.706,1.706,0.33427871499952744,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,730,None,0,54,54,54,,None,1,stop,0.15000000000000002,0.73,1.7300000000000002,,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,883,None,0,55,55,55,,1,1,go,0.15000000000000002,0.883,1.883,0.5002961190002679,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
go,sst_images/Left_Arrow.bmp,None,1,951,None,0,56,56,56,,1,1,go,0.15000000000000002,0.951,1.951,0.3696111919998657,002,Scanner,R,1,2019_Sep_05_1057,SST,3.0.7,60.06433346601879,
