trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,1,1,0.6939468379714526,go,0.05,0.955,1.955,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,2,1,0.41861347295343876,go,0.05,0.925,1.925,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,1,0,0.37870535399997607,go,0.05,0.925,1.925,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,0.46396875800564885,go,0.05,0.865,1.865,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,0.5021033409866504,go,0.05,1.045,2.045,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,,stop,0.1,0.79,1.79,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,2,1,0.5016552429879084,go,0.1,0.745,1.745,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,0.4608001069864258,go,0.1,0.82,1.8199999999999998,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,2,1,0.4583225790411234,go,0.1,1.09,2.09,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,2,1,0.45704824198037386,go,0.1,0.7,1.7,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,0.5019889940158464,go,0.1,0.76,1.76,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,1,0,0.4561584059847519,stop,0.05,0.88,1.8238415940152481,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,2,1,0.502477947040461,go,0.05,0.73,1.73,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,0.4169054339872673,go,0.05,0.91,1.9100000000000001,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,1,1,0.5033821869874373,go,0.05,0.955,1.955,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,0.455968099005986,go,0.05,1.045,2.045,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,2,1,0.5458500710083172,go,0.05,1.045,2.045,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,1,1,0.458622726961039,go,0.05,0.985,1.9849999999999999,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,None,0,18,18,18,None,1,,stop,0.1,0.76,1.76,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,775,None,0,19,19,19,1,1,0.4615718129789457,go,0.1,0.775,1.775,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,1015,None,0,20,20,20,2,1,0.46041333000175655,go,0.1,1.015,2.0149999999999997,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,21,21,21,1,1,0.4205972380004823,go,0.1,0.76,1.76,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,None,0,22,22,22,2,0,0.4047328840242699,stop,0.05,0.985,1.9802671159757301,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Right_Arrow.BMP,None,2,715,None,0,23,23,23,2,1,0.5041775749996305,go,0.05,0.715,1.7149999999999999,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
go,sst_images/Left_Arrow.BMP,None,1,745,3264.0,0,24,24,24,1,1,0.4639513600268401,go,0.05,0.745,1.745,024,Practice,R,2,2019_Aug_30_0935,SST,3.0.7,23.944657477574133,
