trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,819,None,0,0,0,0,3,None,0,go,0.05,0.819,1.819,,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,731,None,0,1,1,1,,2,1,go,0.05,0.731,1.7309999999999999,0.6704145229887217,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,2000,None,0,2,2,2,,2,1,go,0.05,2.0,3.0,0.5045053200155962,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,848,None,0,3,3,3,,1,1,go,0.05,0.848,1.8479999999999999,0.6283477609977126,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,1002,None,0,4,4,4,,1,1,go,0.05,1.002,2.002,0.62590842199279,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,1678,None,0,5,5,5,,2,1,go,0.05,1.678,2.678,0.48705398000311106,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,701,None,0,6,6,6,,1,1,go,0.05,0.701,1.701,0.5045097199908923,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,703,None,0,7,7,7,,2,1,go,0.05,0.703,1.7029999999999998,0.4566379970056005,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,1218,None,0,8,8,8,,2,1,go,0.05,1.218,2.218,0.6692971969896462,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,872,None,0,9,9,9,,None,1,stop,0.1,0.872,1.8719999999999999,,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,924,None,0,10,10,10,,1,1,go,0.1,0.924,1.924,0.5030401969852392,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,719,None,0,11,11,11,,2,1,go,0.1,0.719,1.7189999999999999,0.4195618350058794,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,860,None,0,12,12,12,,1,1,go,0.1,0.86,1.8599999999999999,0.5448862749908585,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,1067,None,0,13,13,13,,1,1,go,0.1,1.067,2.067,0.7138875189993996,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,1417,None,0,14,14,14,,1,1,go,0.1,1.417,2.417,0.6698364879994188,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,724,None,0,15,15,15,,None,1,stop,0.15000000000000002,0.724,1.724,,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,792,None,0,16,16,16,,2,1,go,0.15000000000000002,0.792,1.792,0.5879543809860479,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,829,None,0,17,17,17,,1,1,go,0.15000000000000002,0.829,1.829,0.5459428449976258,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,840,None,0,18,18,18,,1,1,go,0.15000000000000002,0.84,1.8399999999999999,0.628765204019146,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Right_Arrow.bmp,None,2,802,None,0,19,19,19,,2,1,go,0.15000000000000002,0.802,1.802,0.7549878470017575,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
go,sst_images/Left_Arrow.bmp,None,1,747,None,0,20,20,20,,1,1,go,0.15000000000000002,0.747,1.7469999999999999,0.6676964850048535,027,Scanner,R,2,2019_Aug_27_1119,SST,3.0.7,23.991258679518186,
