trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,None,0,go,0.05,0.955,1.955,,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,None,0,go,0.05,0.925,1.925,,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,2,1,go,0.05,0.925,1.925,0.5190977129968815,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,go,0.05,0.865,1.865,0.5216954069910571,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,go,0.05,1.045,2.045,0.4709200490033254,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,stop,0.1,0.79,1.79,,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,2,1,go,0.1,0.745,1.745,0.5212139149662107,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,go,0.1,0.82,1.8199999999999998,0.5379805010161363,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,2,1,go,0.1,1.09,2.09,0.5714897750294767,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,2,1,go,0.1,0.7,1.7,0.5182720290031284,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,go,0.1,0.76,1.76,0.46978537301765755,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,None,1,stop,0.15000000000000002,0.88,1.8800000000000001,,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,2,1,go,0.15000000000000002,0.73,1.73,0.5029073440236971,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,go,0.15000000000000002,0.91,1.9100000000000001,0.4386276950244792,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,1,1,go,0.15000000000000002,0.955,1.955,0.4713713970268145,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,go,0.15000000000000002,1.045,2.045,0.42031028599012643,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,1,0,go,0.15000000000000002,1.045,2.045,0.4042492730077356,029,Practice,R,2,2019_Aug_31_1630,SST,3.0.7,60.24966120670167,
