trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Right_Arrow.bmp,None,2,1066,None,0,155,155,155,,2,1,0.6567635379906278,go,0.15000000000000002,1.066,2.066,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,742,None,0,156,156,156,,None,1,,stop,0.2,0.742,1.7419999999999998,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,752,None,0,157,157,157,,1,1,0.5058947989891749,go,0.2,0.752,1.752,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,715,None,0,158,158,158,,2,1,0.545937465998577,go,0.2,0.715,1.7149999999999999,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,893,None,0,159,159,159,,1,1,0.5057001160166692,go,0.2,0.893,1.893,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,998,None,0,160,160,160,,1,1,0.5862014940066729,go,0.2,0.998,1.998,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,745,None,0,161,161,161,,None,1,,stop,0.25,0.745,1.7449999999999999,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,1453,None,0,162,162,162,,2,1,0.5468331229931209,go,0.25,1.453,2.4530000000000003,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,847,None,0,163,163,163,,1,1,0.5890591409988701,go,0.25,0.847,1.847,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,1248,None,0,164,164,164,,2,1,0.6294798670278396,go,0.25,1.248,2.248,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,829,None,0,165,165,165,,2,1,0.5847042850218713,go,0.25,0.829,1.829,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,1113,None,0,166,166,166,,None,0,,go,0.25,1.113,2.113,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,1154,None,0,167,167,167,,1,1,0.505010459019104,go,0.25,1.154,2.154,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,928,None,0,168,168,168,,2,1,0.5011154279927723,go,0.25,0.928,1.928,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,988,None,0,169,169,169,,2,1,0.5488885460072197,go,0.25,0.988,1.988,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
