trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,1,1,0.5875701580007444,go,0.05,0.955,1.955,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,2,1,0.3546622319991002,go,0.05,0.925,1.925,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,1,0,0.3711432549971505,go,0.05,0.925,1.925,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,0.4209991309980978,go,0.05,0.865,1.865,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,0.4867565930035198,go,0.05,1.045,2.045,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,,stop,0.1,0.79,1.79,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,2,1,0.41508331899967743,go,0.1,0.745,1.745,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,0.3887812870016205,go,0.1,0.82,1.8199999999999998,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,2,1,0.46930480399896624,go,0.1,1.09,2.09,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,2,1,0.40373991800152,go,0.1,0.7,1.7,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,0.4219089600010193,go,0.1,0.76,1.76,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,1,0,0.36913342899788404,stop,0.05,0.88,1.910866571002116,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,2,1,0.4546785690035904,go,0.05,0.73,1.73,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,0.40273566899850266,go,0.05,0.91,1.9100000000000001,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,1,1,0.43724242899770616,go,0.05,0.955,1.955,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,0.4540941989980638,go,0.05,1.045,2.045,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,2,1,0.37112391199480044,go,0.05,1.045,2.045,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,1,1,0.3869226409951807,go,0.05,0.985,1.9849999999999999,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,None,0,18,18,18,None,1,,stop,0.1,0.76,1.76,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Left_Arrow.BMP,None,1,775,None,0,19,19,19,1,1,0.3690995760043734,go,0.1,0.775,1.775,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
go,sst_images/Right_Arrow.BMP,None,2,1015,None,0,20,20,20,2,1,0.3857571319967974,go,0.1,1.015,2.0149999999999997,004,Practice,R,2,2019_Sep_07_0943,SST,3.0.7,60.037808930325106,
