trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,975,None,0,0,0,0,2,1,1,0.7544532389729284,go,0.05,0.975,1.975,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,775,None,0,1,1,1,,2,1,0.5204204329638742,go,0.05,0.775,1.775,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,773,None,0,2,2,2,,2,1,0.4365279959747568,go,0.05,0.773,1.7730000000000001,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,747,None,0,3,3,3,,1,1,0.5030275360331871,go,0.05,0.747,1.7469999999999999,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,709,None,0,4,4,4,,None,1,,stop,0.1,0.709,1.709,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,702,None,0,5,5,5,,1,1,0.6871109700296074,go,0.1,0.702,1.702,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,931,None,0,6,6,6,,2,1,0.43879439000738785,go,0.1,0.931,1.931,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,1149,None,0,7,7,7,,1,1,0.35377185500692576,go,0.1,1.149,2.149,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,748,None,0,8,8,8,,2,1,0.3864905920345336,go,0.1,0.748,1.748,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,848,None,0,9,9,9,,None,1,,stop,0.15000000000000002,0.848,1.848,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,733,None,0,10,10,10,,2,1,0.3738925770157948,go,0.15000000000000002,0.733,1.733,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Left_Arrow.bmp,None,None,822,None,0,11,11,11,,None,1,,stop,0.2,0.822,1.8219999999999998,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,1077,None,0,12,12,12,,2,0,0.3406505369930528,go,0.2,1.077,2.077,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,895,None,0,13,13,13,,2,1,0.4558767909766175,go,0.2,0.895,1.895,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,792,None,0,14,14,14,,1,1,0.4232398539897986,go,0.2,0.792,1.792,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,741,None,0,15,15,15,,1,1,0.6557273599901237,go,0.2,0.741,1.741,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,923,None,0,16,16,16,,1,1,0.4400124530075118,go,0.2,0.923,1.923,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,799,None,0,17,17,17,,1,0,0.42057011800352484,stop,0.15000000000000002,0.799,1.878429881996475,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,836,None,0,18,18,18,,2,1,0.47185960796196014,go,0.15000000000000002,0.836,1.8359999999999999,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,789,None,0,19,19,19,,1,1,0.48849984497064725,go,0.15000000000000002,0.789,1.7890000000000001,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,1843,None,0,20,20,20,,1,1,0.48876433400437236,go,0.15000000000000002,1.843,2.843,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,839,None,0,21,21,21,,2,1,0.5375584270223044,go,0.15000000000000002,0.839,1.839,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,708,None,0,22,22,22,,1,1,0.7029102399828844,go,0.15000000000000002,0.708,1.708,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,1161,None,0,23,23,23,,2,1,0.6889780799974687,go,0.15000000000000002,1.161,2.161,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,897,None,0,24,24,24,,None,1,,stop,0.2,0.897,1.897,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,1027,None,0,25,25,25,,1,1,0.40430968103464693,go,0.2,1.027,2.027,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,724,None,0,26,26,26,,2,1,0.42171488801250234,go,0.2,0.724,1.724,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,733,None,0,27,27,27,,1,0,0.3842940169852227,stop,0.15000000000000002,0.733,1.8487059830147774,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,924,None,0,28,28,28,,2,1,0.4216811940423213,go,0.15000000000000002,0.924,1.924,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,719,None,0,29,29,29,,1,1,0.5034332310315222,go,0.15000000000000002,0.719,1.7189999999999999,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,752,None,0,30,30,30,,2,1,0.6527565429569222,go,0.15000000000000002,0.752,1.752,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,732,None,0,31,31,31,,None,1,,stop,0.2,0.732,1.732,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,813,None,0,32,32,32,,2,1,0.6698144650436006,go,0.2,0.813,1.813,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,991,None,0,33,33,33,,1,1,0.43748800799949095,go,0.2,0.991,1.991,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,810,None,0,34,34,34,,2,1,0.4027706769993529,go,0.2,0.81,1.81,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,852,None,0,35,35,35,,1,1,0.5362978600314818,go,0.2,0.852,1.8519999999999999,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1038,None,0,36,36,36,,None,1,,stop,0.25,1.038,2.038,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,770,None,0,37,37,37,,1,1,0.40497965697431937,go,0.25,0.77,1.77,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,750,None,0,38,38,38,,2,1,0.8050247680512257,go,0.25,0.75,1.75,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Right_Arrow.bmp,None,2,879,None,0,39,39,39,,2,1,0.48728875699453056,go,0.25,0.879,1.879,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,892,None,0,40,40,40,,1,1,0.7023546720156446,go,0.25,0.892,1.892,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
go,sst_images/Left_Arrow.bmp,None,1,750,None,0,41,41,41,,1,1,0.7033090869663283,go,0.25,0.75,1.75,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,777,None,0,42,42,42,,None,1,,stop,0.3,0.777,1.777,016,Scanner,R,2,2019_Sep_03_0933,SST,3.0.7,59.96428610918491,
