trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,797,None,0,0,0,0,4,1,1,0.6031157079851255,go,0.05,0.797,1.7970000000000002,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Right_Arrow.bmp,None,2,1239,None,0,1,1,1,,2,1,0.45343890303047374,go,0.05,1.239,2.239,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Right_Arrow.bmp,None,2,824,None,0,2,2,2,,2,1,0.3866978050209582,go,0.05,0.824,1.8239999999999998,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Left_Arrow.bmp,None,1,929,None,0,3,3,3,,1,1,0.43873754498781636,go,0.05,0.929,1.929,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Left_Arrow.bmp,None,1,701,None,0,4,4,4,,1,1,0.37029093701858073,go,0.05,0.701,1.701,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,768,None,0,5,5,5,,None,1,,stop,0.1,0.768,1.768,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Right_Arrow.bmp,None,2,884,None,0,6,6,6,,2,1,0.3539985039969906,go,0.1,0.884,1.884,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Left_Arrow.bmp,None,1,723,None,0,7,7,7,,1,1,0.5895121979992837,go,0.1,0.723,1.7229999999999999,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Right_Arrow.bmp,None,2,872,None,0,8,8,8,,2,1,0.369850232033059,go,0.1,0.872,1.8719999999999999,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Right_Arrow.bmp,None,2,804,None,0,9,9,9,,2,1,0.38581101899035275,go,0.1,0.804,1.804,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Left_Arrow.bmp,None,1,729,None,0,10,10,10,,1,1,0.5043981930357404,go,0.1,0.729,1.729,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Right_Arrow.bmp,None,2,758,None,0,11,11,11,,2,1,0.40323895000619814,go,0.1,0.758,1.758,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Left_Arrow.bmp,None,1,721,None,0,12,12,12,,1,1,0.3530704529839568,go,0.1,0.721,1.721,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,823,None,0,13,13,13,,None,1,,stop,0.15000000000000002,0.823,1.8230000000000002,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
go,sst_images/Left_Arrow.bmp,None,1,847,None,0,14,14,14,,1,1,0.3381819589994848,go,0.15000000000000002,0.847,1.847,020,Scanner,R,2,2019_Sep_02_1129,SST,3.0.7,60.096659097109494,
