trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,720,None,0,0,0,0,6,1,1,0.7789734590041917,go,0.05,0.72,1.72,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,815,None,0,1,1,1,,2,1,0.506513927000924,go,0.05,0.815,1.815,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,769,None,0,2,2,2,,2,1,0.6237941329891328,go,0.05,0.769,1.7690000000000001,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,816,None,0,3,3,3,,1,1,0.49898866600415204,go,0.05,0.816,1.8159999999999998,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,None,0,4,4,4,,None,1,,stop,0.1,0.721,1.721,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,888,None,0,5,5,5,,1,1,0.5002564710011939,go,0.1,0.888,1.888,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,900,None,0,6,6,6,,2,1,0.4620169810077641,go,0.1,0.9,1.9,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,1264,None,0,7,7,7,,1,1,0.46450905299570877,go,0.1,1.264,2.2640000000000002,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,744,None,0,8,8,8,,2,1,0.4246414340013871,go,0.1,0.744,1.744,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,794,None,0,9,9,9,,2,1,0.6110767030040734,go,0.1,0.794,1.794,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,901,None,0,10,10,10,,1,1,0.5435732449986972,go,0.1,0.901,1.901,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,882,None,0,11,11,11,,2,1,0.5055036879930412,go,0.1,0.882,1.8820000000000001,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,732,None,0,12,12,12,,1,1,0.534249810007168,go,0.1,0.732,1.732,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,1173,None,0,13,13,13,,1,1,0.5764937749918317,go,0.1,1.173,2.173,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1189,None,0,14,14,14,,None,1,,stop,0.15000000000000002,1.189,2.189,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,755,None,0,15,15,15,,1,1,0.5004154669877607,go,0.15000000000000002,0.755,1.755,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,806,None,0,16,16,16,,2,1,0.543201943000895,go,0.15000000000000002,0.806,1.806,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,924,None,0,17,17,17,,None,1,,stop,0.2,0.924,1.9240000000000002,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,1139,None,0,18,18,18,,1,1,0.5040541350026615,go,0.2,1.139,2.1390000000000002,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,725,None,0,19,19,19,,1,1,0.49950895700021647,go,0.2,0.725,1.725,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,974,None,0,20,20,20,,2,1,0.5353304910095176,go,0.2,0.974,1.974,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,729,None,0,21,21,21,,2,0,0.5262229420040967,stop,0.15000000000000002,0.729,1.7027770579959034,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,744,None,0,22,22,22,,1,1,0.5056279030104633,go,0.15000000000000002,0.744,1.744,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,1598,None,0,23,23,23,,2,1,0.5038949939917075,go,0.15000000000000002,1.598,2.598,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,992,None,0,24,24,24,,1,1,0.42452506099652965,go,0.15000000000000002,0.992,1.992,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,1022,None,0,25,25,25,,2,1,0.5882267970009707,go,0.15000000000000002,1.022,2.0220000000000002,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,929,None,0,26,26,26,,None,1,,stop,0.2,0.929,1.929,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,1590,None,0,27,27,27,,2,1,0.5451689309993526,go,0.2,1.59,2.59,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,1317,None,0,28,28,28,,1,1,0.3769562179950299,go,0.2,1.317,2.317,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,832,None,0,29,29,29,,2,1,0.5020259680022718,go,0.2,0.832,1.8319999999999999,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,956,None,0,30,30,30,,2,1,0.4657940400065854,go,0.2,0.956,1.956,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,761,None,0,31,31,31,,1,1,0.5038772109983256,go,0.2,0.761,1.7610000000000001,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,709,None,0,32,32,32,,2,1,0.4643253609974636,go,0.2,0.709,1.709,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,None,0,33,33,33,,1,0,0.4193114749941742,stop,0.15000000000000002,0.721,1.8016885250058259,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,785,None,0,34,34,34,,1,1,0.5892097559990361,go,0.15000000000000002,0.785,1.7850000000000001,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,1022,None,0,35,35,35,,1,1,0.4957553679996636,go,0.15000000000000002,1.022,2.0220000000000002,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,2000,None,0,36,36,36,,2,1,0.4504355470126029,go,0.15000000000000002,2.0,3.0,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Right_Arrow.bmp,None,2,749,None,0,37,37,37,,2,1,0.49057278099644464,go,0.15000000000000002,0.749,1.749,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
go,sst_images/Left_Arrow.bmp,None,1,826,None,0,38,38,38,,1,1,0.6273855459876359,go,0.15000000000000002,0.826,1.826,0042,Scanner,L,1,2019_Aug_21_1246,SST,3.0.7,23.996998532300513,
