Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,62.53032351704314,None,2000,64.55845231103012,None,None,64.55845231103012,None,1.65,1,66.60883064003428,None,None,0,66.60883064003428,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,0.30878551298519596,0.6587855129851959,,,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
LgReward,2000,0,1,1,1,,68.6587749030441,None,2000,70.69256592402235,None,None,70.69256592402235,None,1.65,2,72.7419792690198,None,1,1,72.7419792690198,None,You won $5.00!,5,1,2,0.35,50.0,0.2704930899781175,"[0, 1]",0,0,3,None,,0.2704930899781175,0.2704930899781175,,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
SmallPun,2000,0,2,2,2,,74.7754184009973,None,2000,76.80992764601251,None,None,76.80992764601251,None,1.65,3,78.84315346804215,None,None,0,78.84315346804215,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.2704930899781175,[],33.33333333333333,3,3,None,,0.2704930899781175,,Adjusting RT...,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
LgPun,2000,0,3,3,3,,80.87608537002234,None,2000,82.90005574200768,None,2,82.90005574200768,None,1.61,4,84.94216679001693,None,None,0,84.94216679001693,None,You lost $5.00!,-0.20000000000000018,4,4,0.38999999999999996,25.0,0.2704930899781175,[0],33.33333333333333,3,3,2,-3.773602657020092e-05,0.38996226397342976,,,0.33042067603673786,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
Triangle,2000,0,4,4,4,,86.99311747204047,None,2000,89.01747980201617,None,None,89.01747980201617,None,1.61,5,91.05972078599734,None,None,0,91.05972078599734,None,You did not win or lose anything!,-0.20000000000000018,3,4,0.38999999999999996,20.0,0.2704930899781175,[0],33.33333333333333,3,3,None,,0.38996226397342976,,,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
LgReward,2000,0,5,5,5,,93.11809434200404,None,2000,95.15116538305301,None,None,95.15116538305301,None,1.61,6,97.21075500303414,None,1,1,97.21075500303414,None,You won $5.00!,4.8,1,5,0.38999999999999996,33.33333333333333,0.2695829094736837,"[0, 1]",33.33333333333333,3,3,None,,0.2686727289692499,0.2686727289692499,,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
SmallPun,2000,0,6,6,6,,99.24385923903901,None,2000,101.26947105204454,None,None,101.26947105204454,None,1.61,7,103.3108798940084,None,None,0,103.3108798940084,None,You lost $0.20!,4.6,5,6,0.42999999999999994,28.57142857142857,0.2695829094736837,[],33.33333333333333,6,3,None,,0.2686727289692499,,Adjusting RT...,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
SmallReward,2000,0,7,7,7,,105.35364300903166,None,2000,107.36989158700453,None,None,107.36989158700453,None,1.57,8,109.41975084401201,None,1,1,109.41975084401201,None,You won $0.20!,4.8,2,7,0.42999999999999994,37.5,0.2662652196595445,[1],33.33333333333333,6,3,None,,0.2596298400312662,0.2596298400312662,,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
Triangle,2000,0,8,8,8,,111.46111998701235,None,2000,113.48771819402464,None,None,113.48771819402464,None,1.57,9,115.52045083604753,None,None,0,115.52045083604753,None,You did not win or lose anything!,4.8,3,7,0.42999999999999994,33.33333333333333,0.2662652196595445,[1],33.33333333333333,6,3,None,,0.2596298400312662,,,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
LgReward,2000,0,9,9,9,,117.58841509005288,None,2000,119.62173603702104,None,None,119.62173603702104,None,1.57,10,121.67212542804191,None,1,1,121.67212542804191,None,You won $5.00!,9.8,1,8,0.42999999999999994,40.0,0.27079706950462423,"[1, 1]",33.33333333333333,6,3,None,,0.28439261903986335,0.28439261903986335,,,013,Practice,2,2019_Sep_01_1508,MID,3.1.5,60.078882599838984,
