Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion9.csv,30.720130985006108,None,2000,32.7373657690041,None,None,32.7373657690041,None,1.71,1,34.770531729998766,None,1,1,0.23210690400446765,34.770531729998766,None,You did not win or lose anything!,0,3,0,0.2899999999999999,100.0,0.23210690400446765,[],0,0,3,None,0.23210690400446765,,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
Triangle,1500,0,1,1,1,,36.82417380300467,None,1500,38.854974080008105,None,None,38.854974080008105,None,1.71,2,40.388932151996414,None,None,0,,40.388932151996414,None,You did not win or lose anything!,0,3,0,0.2899999999999999,50.0,0.23210690400446765,[],0,0,3,1,0.37640271300100714,0.08640271300100721,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
LgPun,2500,0,2,2,2,,42.42440032601007,None,2500,44.45641773600073,None,None,44.45641773600073,None,1.71,3,46.98911348100228,None,1,1,0.22663595899939537,46.98911348100228,None,You did not lose $5.00!,0,4,1,0.2899999999999999,66.66666666666666,0.2293714315019315,[1],0,0,3,None,0.22663595899939537,,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
Triangle,1500,0,3,3,3,,49.02461353300896,None,1500,51.05698487100017,None,None,51.05698487100017,None,1.71,4,52.589610005001305,None,None,0,,52.589610005001305,None,You did not win or lose anything!,0,3,1,0.2899999999999999,50.0,0.2293714315019315,[1],0,0,3,None,0.22663595899939537,,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
LgReward,1500,0,4,4,4,,54.65656115100137,None,1500,56.69063380500302,None,None,56.69063380500302,None,1.71,5,58.240858942997875,None,1,1,0.23375820100773126,58.240858942997875,None,You won $5.00!,5,1,2,0.2899999999999999,60.0,0.23083368800386475,"[1, 1]",0,0,3,None,0.23375820100773126,,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
SmallPun,1500,0,5,5,5,,60.27526699900045,None,1500,62.30811033000646,None,None,62.30811033000646,None,1.71,6,63.841243160000886,None,1,1,0.220474481000565,63.841243160000886,None,You did not lose $0.20!,5,5,3,0.23999999999999994,66.66666666666666,0.22824388625303982,[],100.0,3,3,None,0.220474481000565,,Adjusting RT...,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
LgPun,4000,0,6,6,6,,65.87553006000235,None,4000,67.90960451100545,None,None,67.90960451100545,None,1.76,7,71.9420758440101,None,None,0,,71.9420758440101,None,You lost $5.00!,0,4,4,0.23999999999999994,57.14285714285714,0.22824388625303982,[0],100.0,3,3,1,0.23584243699791835,-0.004157563002081588,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
Triangle,3500,0,7,7,7,,73.97679781800252,None,3500,76.00955535400135,None,None,76.00955535400135,None,1.76,8,79.54326832600054,None,None,0,,79.54326832600054,None,You did not win or lose anything!,0,3,4,0.23999999999999994,50.0,0.22824388625303982,[0],100.0,3,3,None,0.23584243699791835,,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
SmallReward,2500,0,8,8,8,,81.61129141000856,None,2500,83.64459072900354,None,None,83.64459072900354,None,1.76,9,86.19359121999878,None,None,0,,86.19359121999878,None,You did not win $0.20!,0,2,5,0.23999999999999994,44.44444444444444,0.22824388625303982,"[0, 0]",100.0,3,3,1,0.2533279770088847,0.013327977008884773,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
LgPun,2000,0,9,9,9,,88.2277596549975,None,2000,90.26077353300934,None,None,90.26077353300934,None,1.76,10,92.2940213940019,None,None,0,,92.2940213940019,None,You lost $5.00!,-5,4,6,0.25999999999999995,40.0,0.22824388625303982,[],50.0,6,3,1,0.25721498799044634,-0.0027850120095536113,Adjusting RT...,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
SmallPun,1500,0,10,10,10,,94.34476464999898,None,1500,96.37753481901018,None,None,96.37753481901018,None,1.74,11,97.9118227220024,None,1,1,0.23177461900922935,97.9118227220024,None,You did not lose $0.20!,-5,5,7,0.25999999999999995,45.45454545454545,0.22895003280427773,[1],50.0,6,3,None,0.23177461900922935,,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
SmallReward,3000,0,11,11,11,,99.978556105998,None,3000,102.01169559100526,None,None,102.01169559100526,None,1.74,12,105.06131082000502,None,None,0,,105.06131082000502,None,You did not win $0.20!,-5,2,8,0.25999999999999995,41.66666666666667,0.22895003280427773,"[1, 0]",50.0,6,3,1,0.25529289899510327,-0.0047071010048966855,,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
LgPun,1500,0,12,12,12,,107.09555536099651,None,1500,109.12945711200882,None,None,109.12945711200882,None,1.74,13,110.66247554399888,None,None,0,,110.66247554399888,None,You lost $5.00!,-10,4,9,0.30999999999999994,38.46153846153847,0.22895003280427773,[],16.666666666666664,9,3,1,0.30045706199831324,-0.009542938001686707,Adjusting RT...,,011,Scanner,1,2019_Sep_07_1505,MID,3.1.5,59.73808755733443,
