trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue,probe,feedbackText,jitter,jitterTarget,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,3.316,-0.101,space,1.1877004389534704,2,001,2019_Apr_08_1145,MID,3.0.7,59.965646034117285,
,,,,,,,2.183,0.025,,,,,,,,,
