Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,16,16,16,,128.1498156739981,None,1500,130.15412520599784,None,None,130.15412520599784,None,1.5,17,131.66720287298085,None,None,0,131.66720287298085,None,You lost $5.00!,-15.4,4,15,0.5,17.647058823529413,0.34772094000557746,[],16.666666666666664,15,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,3500,0,17,17,17,,133.64820593199693,None,3500,135.6541416529799,None,None,135.6541416529799,None,1.5,18,139.19128816598095,None,None,0,139.19128816598095,None,You did not win $5.00!,-15.4,1,16,0.5,16.666666666666664,0.34772094000557746,[0],16.666666666666664,15,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,1500,0,18,18,18,,141.1491619469889,None,1500,143.1598651179811,None,None,143.1598651179811,None,1.5,19,144.66829757098458,None,None,0,144.66829757098458,None,You did not win or lose anything!,-15.4,3,16,0.5,15.789473684210526,0.34772094000557746,[0],16.666666666666664,15,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallPun,2000,0,19,19,19,,146.64962275198195,None,2000,148.66246647699154,None,None,148.66246647699154,None,1.5,20,150.66897485399386,None,None,0,150.66897485399386,None,You lost $0.20!,-15.6,5,17,0.5,15.0,0.34772094000557746,"[0, 0]",16.666666666666664,15,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,2000,0,20,20,20,,152.6498094839917,None,2000,154.65584011099418,None,None,154.65584011099418,None,1.5,21,156.6690253620036,None,1,1,156.6690253620036,None,You did not win or lose anything!,-15.6,3,17,0.5,19.047619047619047,0.36002352775540203,"[0, 0]",16.666666666666664,15,3,0.3969312910048757,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallReward,1500,0,21,21,21,,158.6503894289781,None,1500,160.6637038399931,None,None,160.6637038399931,None,1.5,22,162.18517838598927,None,None,0,162.18517838598927,None,You did not win $0.20!,-15.6,2,18,0.5,18.181818181818183,0.36002352775540203,[],16.666666666666664,18,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,1500,0,22,22,22,,164.150542613992,None,1500,166.16434565300005,None,None,166.16434565300005,None,1.5,23,167.67033674698905,None,None,0,167.67033674698905,None,You did not win or lose anything!,-15.6,3,18,0.5,17.391304347826086,0.36002352775540203,[],16.666666666666664,18,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallReward,3000,0,23,23,23,,169.650674117991,None,3000,171.664939166978,None,None,171.664939166978,None,1.5,24,174.6940676579834,None,None,0,174.6940676579834,None,You did not win $0.20!,-15.6,2,19,0.5,16.666666666666664,0.36002352775540203,[0],16.666666666666664,18,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,1500,0,24,24,24,,176.65283910397557,None,1500,178.6651915499824,None,None,178.6651915499824,None,1.5,25,180.180529114994,None,None,0,180.180529114994,None,You did not win $5.00!,-15.6,1,20,0.5,16.0,0.36002352775540203,"[0, 0]",16.666666666666664,18,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,2000,0,25,25,25,,182.15276274300413,None,2000,184.15588312997716,None,None,184.15588312997716,None,1.5,26,186.16918396297842,None,None,0,186.16918396297842,None,You did not win or lose anything!,-15.6,3,20,0.5,15.384615384615385,0.36002352775540203,"[0, 0]",16.666666666666664,18,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
