Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion8.csv,46.0970328689873,None,2000,48.10572471898922,None,None,48.10572471898922,None,1.6300000000000001,1,50.12205850299506,None,None,0,50.12205850299506,None,You did not win or lose anything!,0,3,0,0.36999999999999994,0.0,nan,[],0,0,3,,,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
SmallReward,3500,0,1,1,1,,52.09441842699016,None,3500,54.10656744099106,None,None,54.10656744099106,None,1.6300000000000001,2,57.62540706699656,None,None,0,57.62540706699656,None,You did not win $0.20!,0,2,1,0.36999999999999994,0.0,nan,[0],0,0,3,,,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
LgPun,2000,0,2,2,2,,59.59450745799404,None,2000,61.607503279999946,None,None,61.607503279999946,None,1.6300000000000001,3,63.61356314799923,None,None,0,63.61356314799923,None,You lost $5.00!,-5,4,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,,,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
SmallReward,1500,0,3,3,3,,65.59506730698922,None,1500,67.60854301799554,None,None,67.60854301799554,None,1.6300000000000001,4,69.1255199570005,None,None,0,69.1255199570005,None,You did not win $0.20!,-5,2,3,0.43999999999999995,0.0,nan,[],0.0,3,3,Adjusting RT...,,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
LgReward,4000,0,4,4,4,,71.09586589598621,None,4000,73.10842823699932,None,None,73.10842823699932,None,1.56,5,77.12661317599122,None,None,0,77.12661317599122,None,You did not win $5.00!,-5,1,4,0.43999999999999995,0.0,nan,[0],0.0,3,3,,,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
LgPun,1500,0,5,5,5,,79.05303744098637,None,1500,81.06307397999626,None,None,81.06307397999626,None,1.56,6,82.57698017099756,None,None,0,82.57698017099756,None,You lost $5.00!,-10,4,5,0.43999999999999995,0.0,nan,"[0, 0]",0.0,3,3,,,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
Triangle,3500,0,6,6,6,,84.51274985099735,None,3500,86.5273576789914,None,None,86.5273576789914,None,1.56,7,90.03212052999879,None,1,1,90.03212052999879,None,You did not win or lose anything!,-10,3,5,0.43999999999999995,14.285714285714285,0.3089012679993175,"[0, 0]",0.0,3,3,,0.3089012679993175,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
LgPun,1500,0,7,7,7,,91.97138822599663,None,1500,93.98093111100025,None,None,93.98093111100025,None,1.56,8,95.49531644699164,None,None,0,95.49531644699164,None,You lost $5.00!,-15,4,6,0.5,12.5,0.3089012679993175,[],0.0,6,3,Adjusting RT...,,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
SmallReward,1500,0,8,8,8,,97.43000840199238,None,1500,99.446048503989,None,None,99.446048503989,None,1.5,9,100.96188656499726,None,1,1,100.96188656499726,None,You won $0.20!,-14.8,2,7,0.5,22.22222222222222,0.32850078050250886,[1],0.0,6,3,,0.3481002930057002,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
SmallPun,2500,0,9,9,9,,102.9290526699915,None,2500,104.94669057599094,None,None,104.94669057599094,None,1.5,10,107.44738258500001,None,1,1,107.44738258500001,None,You did not lose $0.20!,-14.8,5,8,0.5,30.0,0.32552395433109876,"[1, 1]",0.0,6,3,,0.3195703019882785,039,Scanner,1,2019_Aug_22_0941,MID,3.1.5,23.995840081612837,
