TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
4,1,0.22587070599547587,,0000,1,5
1,0,[],,0000,1,5
4,1,0.2085065600113012,,0000,1,5
2,1,0.1989716270181816,,0000,1,5
3,1,0.19903685597819276,,0000,1,5
2,0,[],,0000,1,5
3,0,[],,0000,1,5
4,1,0.2083655440073926,,0000,1,5
1,0,[],,0000,1,5
5,0,[],,0000,1,5
4,0,[],,0000,1,5
2,0,[],,0000,1,5
1,1,0.1873711160151288,,0000,1,5
3,0,[],,0000,1,5
4,1,0.20718842497444712,,0000,1,5
3,1,0.20615212700795382,,0000,1,5
5,0,[],,0000,1,5
3,1,0.18176737599424087,,0000,1,5
4,1,0.19759990499005653,,0000,1,5
1,0,[],,0000,1,5
4,1,0.22896967898122966,,0000,1,5
1,1,0.19909408999956213,,0000,1,5
1,1,0.22602235799422488,,0000,1,5
3,1,0.23079733399208635,,0000,1,5
2,1,0.18597090398543514,,0000,1,5
5,0,[],,0000,1,5
2,1,0.20566365000559017,,0000,1,5
5,1,0.2022910329978913,,0000,1,5
3,1,0.20153419699636288,,0000,1,5
4,1,0.2531358120031655,,0000,1,5
3,1,0.25504275801358745,,0000,1,5
1,1,0.22266879901872016,,0000,1,5
3,0,[],,0000,1,5
3,0,[],,0000,1,5
2,0,[],,0000,1,5
4,1,0.21143771900096908,,0000,1,5
2,1,0.201305216003675,,0000,1,5
1,0,[],,0000,1,5
5,0,[],,0000,1,5
2,1,0.02450906901503913,,0000,1,5
5,0,[],,0000,1,5
2,0,[],,0000,1,5
2,0,[],,0000,1,5
5,1,0.2551862070104107,,0000,1,5
5,1,0.2589507910015527,,0000,1,5
1,1,0.2175875190005172,,0000,1,5
4,1,0.2259812189731747,,0000,1,5
5,1,0.2581369160034228,,0000,1,5
1,1,0.26116424301289953,,0000,1,5
5,0,[],,0000,1,5
