Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,1500,0,13,13,13,,120.22858059399005,None,1500,122.26220878699678,None,None,122.26220878699678,None,1.6800000000000002,14,123.79517383599887,None,None,0,123.79517383599887,None,You did not win or lose anything!,9.8,3,12,0.3199999999999999,57.14285714285714,0.24414987062482396,[],50.0,12,3,1,0.3241488190036033,,,0.004148819003603421,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,4000,0,14,14,14,,125.82935957699374,None,4000,127.86315897799795,None,None,127.86315897799795,None,1.6800000000000002,15,131.89652141099214,None,1,1,131.89652141099214,None,You did not lose $5.00!,9.8,4,13,0.3199999999999999,60.0,0.2423269427769507,[1],50.0,12,3,None,0.22774351999396458,0.22774351999396458,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,4000,0,15,15,15,,133.9301842279965,None,4000,135.96406563199707,None,None,135.96406563199707,None,1.6800000000000002,16,139.99640907499997,None,1,1,139.99640907499997,None,You did not win or lose anything!,9.8,3,13,0.3199999999999999,62.5,0.244278196299274,[1],50.0,12,3,None,0.2618394780001836,0.2618394780001836,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,3000,0,16,16,16,,142.03028001899656,None,3000,144.0646529939986,None,None,144.0646529939986,None,1.6800000000000002,17,147.09760001598625,None,1,1,147.09760001598625,None,You did not lose $5.00!,9.8,4,14,0.3199999999999999,64.70588235294117,0.24549530999899039,"[1, 1]",50.0,12,3,None,0.25766644699615426,0.25766644699615426,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,1500,0,17,17,17,,149.13106108699867,None,1500,151.1643155599886,None,None,151.1643155599886,None,1.6800000000000002,18,152.6974963449902,None,1,1,152.6974963449902,None,You did not lose $0.20!,9.8,5,15,0.2699999999999999,66.66666666666666,0.24835170991597502,[],100.0,15,3,None,0.27977210900280625,0.27977210900280625,Adjusting RT...,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,2000,0,18,18,18,,154.7483324809873,None,2000,156.78096339698823,None,None,156.78096339698823,None,1.73,19,158.8312027859938,None,1,1,158.8312027859938,None,You won $5.00!,14.8,1,16,0.2699999999999999,68.42105263157895,0.24562684615375474,[1],100.0,15,3,None,0.21292848100711126,0.21292848100711126,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,4000,0,19,19,19,,160.86478566999722,None,4000,162.89841027099465,None,None,162.89841027099465,None,1.73,20,166.93176269299875,None,None,0,166.93176269299875,None,You lost $0.20!,14.600000000000001,5,17,0.2699999999999999,65.0,0.24562684615375474,"[1, 0]",100.0,15,3,1,0.2815998929977649,,,0.011599892997764982,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,1500,0,20,20,20,,168.98196022099,None,1500,171.0157695129892,None,None,171.0157695129892,None,1.73,21,172.56598504498834,None,None,0,172.56598504498834,None,You did not win $0.20!,14.600000000000001,2,18,0.24999999999999992,61.904761904761905,0.24562684615375474,[],66.66666666666666,18,3,1,0.32825598699855607,,Adjusting RT...,0.07825598699855618,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,1500,0,21,21,21,,174.5990339849959,None,1500,176.6331462859962,None,None,176.6331462859962,None,1.75,22,178.16665068699513,None,None,0,178.16665068699513,None,You lost $5.00!,9.600000000000001,4,19,0.24999999999999992,59.09090909090909,0.24562684615375474,[0],66.66666666666666,18,3,1,0.2698220310121541,,,0.019822031012154184,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,3500,0,22,22,22,,180.2164924289973,None,3500,182.25009784499707,None,None,182.25009784499707,None,1.75,23,185.80031338399567,None,None,0,185.80031338399567,None,You did not win $5.00!,9.600000000000001,1,20,0.24999999999999992,56.52173913043478,0.24562684615375474,"[0, 0]",66.66666666666666,18,3,1,0.27146397899196006,,,0.021463978991960175,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
