Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion13.csv,38.270400117966346,None,1500,40.30439128499711,None,None,40.30439128499711,None,1.66,1,41.84118482796475,None,1,1,0.2632483639754355,41.84118482796475,None,You did not lose $5.00!,0,4,1,0.34,100.0,0.2632483639754355,[1],0,0,3,None,0.2632483639754355,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
LgReward,2000,0,1,1,1,,43.90386033098912,None,2000,45.93795645900536,None,None,45.93795645900536,None,1.66,2,47.98782189597841,None,None,0,,47.98782189597841,None,You did not win $5.00!,0,1,2,0.34,50.0,0.2632483639754355,"[1, 0]",0,0,3,1,0.3414104879810475,0.0014104879810474813,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
Triangle,4000,0,2,2,2,,50.02160462801112,None,4000,52.04221422696719,None,None,52.04221422696719,None,1.66,3,56.08739936497295,None,1,1,0.2970334520214237,56.08739936497295,None,You did not win or lose anything!,0,3,2,0.34,66.66666666666666,0.2801409079984296,"[1, 0]",0,0,3,None,0.2970334520214237,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
LgPun,1500,0,3,3,3,,58.1211079179775,None,1500,60.155857323959935,None,None,60.155857323959935,None,1.66,4,61.68862066901056,None,1,1,0.30181417503627017,61.68862066901056,None,You did not lose $5.00!,0,4,3,0.32,75.0,0.28736533034437645,[],66.66666666666666,3,3,None,0.30181417503627017,,Adjusting RT...,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
LgReward,1500,0,4,4,4,,63.75645982497372,None,1500,65.77865353296511,None,None,65.77865353296511,None,1.68,5,67.33908926299773,None,1,1,0.27952367399120703,67.33908926299773,None,You won $5.00!,5,1,4,0.32,80.0,0.2854049162560841,[1],66.66666666666666,3,3,None,0.27952367399120703,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
LgPun,2000,0,5,5,5,,69.37224262597738,None,2000,71.40602392499568,None,None,71.40602392499568,None,1.68,6,73.43866426701425,None,1,1,0.27792191895423457,73.43866426701425,None,You did not lose $5.00!,5,4,5,0.32,83.33333333333334,0.2839083167957142,"[1, 1]",66.66666666666666,3,3,None,0.27792191895423457,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
Triangle,3000,0,6,6,6,,75.47199515701504,None,3000,77.50655701098731,None,None,77.50655701098731,None,1.68,7,80.54015912400791,None,None,0,,80.54015912400791,None,You did not win or lose anything!,5,3,5,0.32,71.42857142857143,0.2839083167957142,"[1, 1]",66.66666666666666,3,3,1,0.3101005629799329,-0.009899437020067126,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallReward,2000,0,7,7,7,,82.5891994269914,None,2000,84.61364386900095,None,None,84.61364386900095,None,1.68,8,86.673232103989,None,1,1,0.255328722007107,86.673232103989,None,You won $0.20!,5.2,2,6,0.29000000000000004,75.0,0.279145050997613,[],83.33333333333333,6,3,None,0.255328722007107,,Adjusting RT...,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
Triangle,2000,0,8,8,8,,88.70673105301103,None,2000,90.74099141400075,None,1,90.74099141400075,None,1.71,9,92.77334936801344,None,None,0,,92.77334936801344,None,You did not win or lose anything!,5.2,3,6,0.29000000000000004,66.66666666666666,0.279145050997613,[],83.33333333333333,6,3,1,0.4413370440225117,0.1513370440225117,,0.31745218398282304,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallReward,2500,0,9,9,9,,94.81512425997062,None,2500,96.83261759398738,None,None,96.83261759398738,None,1.71,10,99.38193025597138,None,1,1,0.25463852199027315,99.38193025597138,None,You won $0.20!,5.4,2,7,0.29000000000000004,70.0,0.27564411828227875,[1],83.33333333333333,6,3,None,0.25463852199027315,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
Triangle,3500,0,10,10,10,,101.42481968400534,None,3500,103.45026544696884,None,None,103.45026544696884,None,1.71,11,106.98426930699497,None,None,0,,106.98426930699497,None,You did not win or lose anything!,5.4,3,7,0.29000000000000004,63.63636363636363,0.27564411828227875,[1],83.33333333333333,6,3,1,0.29118485599523414,0.001184855995234102,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallReward,4000,0,11,11,11,,109.0339072039933,None,4000,111.0671156719909,None,None,111.0671156719909,None,1.71,12,115.12583234498743,None,None,0,,115.12583234498743,None,You did not win $0.20!,5.4,2,8,0.29000000000000004,58.333333333333336,0.27564411828227875,"[1, 0]",83.33333333333333,6,3,1,0.30701088203117255,0.017010882031172514,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallPun,4000,0,12,12,12,,117.1586844639969,None,4000,119.18519662297331,None,None,119.18519662297331,None,1.71,13,123.22516011697007,None,None,0,,123.22516011697007,None,You lost $0.20!,5.2,5,9,0.27,53.84615384615385,0.27564411828227875,[],66.66666666666666,9,3,None,0.30701088203117255,,Adjusting RT...,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallReward,1500,0,13,13,13,,125.29249450599309,None,1500,127.31988419097615,None,None,127.31988419097615,None,1.73,14,128.86854135099566,None,None,0,,128.86854135099566,None,You did not win $0.20!,5.2,2,10,0.27,50.0,0.27564411828227875,[0],66.66666666666666,9,3,1,0.301457265955396,0.031457265955396,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
Triangle,1500,0,14,14,14,,130.90917737496784,None,1500,132.93704074801644,None,None,132.93704074801644,None,1.73,15,134.469636704016,None,None,0,,134.469636704016,None,You did not win or lose anything!,5.2,3,10,0.27,46.666666666666664,0.27564411828227875,[0],66.66666666666666,9,3,1,0.2921530729904771,0.022153072990477085,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
LgPun,1500,0,15,15,15,,136.52658353897277,None,1500,138.5543775850092,None,None,138.5543775850092,None,1.73,16,140.0887369919801,None,None,0,,140.0887369919801,None,You lost $5.00!,0.20000000000000018,4,11,0.27,43.75,0.27564411828227875,"[0, 0]",66.66666666666666,9,3,None,0.2921530729904771,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallPun,2000,0,16,16,16,,142.1267746699741,None,2000,144.15500639099628,None,None,144.15500639099628,None,1.73,17,146.18948335497407,None,None,0,,146.18948335497407,None,You lost $0.20!,1.6653345369377348e-16,5,12,0.32,41.17647058823529,0.27564411828227875,[],16.666666666666664,12,3,1,0.31797540198778734,-0.002024598012212664,Adjusting RT...,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallReward,3000,0,17,17,17,,148.24416727299104,None,3000,150.27237874898128,None,None,150.27237874898128,None,1.68,18,153.32235818298068,None,1,1,0.2662091559614055,153.32235818298068,None,You won $0.20!,0.20000000000000018,2,13,0.32,44.44444444444444,0.2744647479921696,[1],16.666666666666664,12,3,None,0.2662091559614055,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
LgPun,3500,0,18,18,18,,155.36092144896975,None,3500,157.3908304600045,None,None,157.3908304600045,None,1.68,19,160.92456502700225,None,1,1,0.23786650900729,160.92456502700225,None,You did not lose $5.00!,0.20000000000000018,4,14,0.32,47.368421052631575,0.2703982769938496,"[1, 1]",16.666666666666664,12,3,None,0.23786650900729,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
Triangle,1500,0,19,19,19,,162.96095640200656,None,1500,164.99178351101,None,None,164.99178351101,None,1.68,20,166.52555884496542,None,None,0,,166.52555884496542,None,You did not win or lose anything!,0.20000000000000018,3,14,0.32,45.0,0.2703982769938496,"[1, 1]",16.666666666666664,12,3,None,0.23786650900729,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
LgPun,1500,0,20,20,20,,168.56158677500207,None,1500,170.59219675697386,None,None,170.59219675697386,None,1.68,21,172.1249486419838,None,1,1,0.2376297209993936,172.1249486419838,None,You did not lose $5.00!,0.20000000000000018,4,15,0.34,47.61904761904761,0.26712142139440403,[],50.0,15,3,None,0.2376297209993936,,Adjusting RT...,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallPun,3500,0,21,21,21,,174.16179983201437,None,3500,176.19298312300816,None,None,176.19298312300816,None,1.66,22,179.72572763101198,None,1,1,0.2548188809887506,179.72572763101198,None,You did not lose $0.20!,0.20000000000000018,5,16,0.34,50.0,0.2660030086302537,[1],50.0,15,3,None,0.2548188809887506,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
SmallReward,1500,0,22,22,22,,181.79257258301368,None,1500,183.82717749197036,None,None,183.82717749197036,None,1.66,23,185.3765316309873,None,1,1,0.24989435099996626,185.3765316309873,None,You won $0.20!,0.4000000000000002,2,17,0.34,52.17391304347826,0.2646606204943964,"[1, 1]",50.0,15,3,None,0.24989435099996626,,,,035,Scanner,1,2019_Sep_01_0956,MID,3.1.5,59.93080245462348,
