Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,14,14,14,,110.9140105349943,None,2500,112.94771391898394,None,None,112.94771391898394,None,1.57,15,115.48026593198301,None,1,1,115.48026593198301,None,You did not lose $5.00!,15.0,4,12,0.3799999999999999,66.66666666666666,0.29714839039952495,[],100.0,12,3,None,,0.27074214396998286,0.27074214396998286,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,1500,0,15,15,15,,117.53080494998721,None,1500,119.56459749297937,None,None,119.56459749297937,None,1.62,16,121.11451177299023,None,None,0,121.11451177299023,None,You did not win $0.20!,15.0,2,13,0.3799999999999999,62.5,0.29714839039952495,[0],100.0,12,3,None,,0.27074214396998286,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,1500,0,16,16,16,,123.18137446098262,None,1500,125.21509930695174,None,None,125.21509930695174,None,1.62,17,126.76456977700582,None,1,1,126.76456977700582,None,You won $5.00!,20.0,1,14,0.3799999999999999,64.70588235294117,0.2958006838188422,"[0, 1]",100.0,12,3,None,,0.2823236180120148,0.2823236180120148,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallPun,3500,0,17,17,17,,128.81479083100567,None,3500,130.84918581997044,None,None,130.84918581997044,None,1.62,18,134.38201264099916,None,1,1,134.38201264099916,None,You did not lose $0.20!,20.0,5,15,0.34999999999999987,66.66666666666666,0.2992343885853188,[],83.33333333333333,15,3,None,,0.33700514101656154,0.33700514101656154,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,1500,0,18,18,18,,136.41579494596226,None,1500,138.4494004569715,None,None,138.4494004569715,None,1.6500000000000001,19,139.9824049489689,None,None,0,139.9824049489689,None,You lost $5.00!,15.0,4,16,0.34999999999999987,63.1578947368421,0.2992343885853188,[0],83.33333333333333,15,3,1,0.0045836850185878575,0.3545836850185877,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,3500,0,19,19,19,,142.01616314199055,None,3500,144.04930848797085,None,None,144.04930848797085,None,1.6500000000000001,20,147.58304278797004,None,1,1,147.58304278797004,None,You did not lose $5.00!,15.0,4,17,0.34999999999999987,65.0,0.297521664998315,"[0, 1]",83.33333333333333,15,3,None,,0.2769689819542691,0.2769689819542691,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,2500,0,20,20,20,,149.63360677595483,None,2500,151.66727800795343,None,None,151.66727800795343,None,1.6500000000000001,21,154.21662544296123,None,1,1,154.21662544296123,None,You won $0.20!,15.2,2,18,0.32999999999999985,66.66666666666666,0.29594217421254143,[],66.66666666666666,18,3,None,,0.2754087939974852,0.2754087939974852,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,2000,0,21,21,21,,156.24977082095575,None,2000,158.28429762099404,None,None,158.28429762099404,None,1.6700000000000002,22,160.31722765398445,None,None,0,160.31722765398445,None,You lost $5.00!,10.2,4,19,0.32999999999999985,63.63636363636363,0.29594217421254143,[0],66.66666666666666,18,3,1,0.16541641298681498,0.4954164129868148,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,2000,0,22,22,22,,162.36727824795526,None,2000,164.40129576798063,None,None,164.40129576798063,None,1.6700000000000002,23,166.43446924199816,None,None,0,166.43446924199816,None,You did not win or lose anything!,10.2,3,19,0.32999999999999985,60.86956521739131,0.29594217421254143,[0],66.66666666666666,18,3,None,,0.4954164129868148,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,4000,0,23,23,23,,168.484479043982,None,4000,170.51788773795124,None,None,170.51788773795124,None,1.6700000000000002,24,174.55133436596952,None,None,0,174.55133436596952,None,You lost $5.00!,5.199999999999999,4,20,0.32999999999999985,58.333333333333336,0.29594217421254143,"[0, 0]",66.66666666666666,18,3,None,,0.4954164129868148,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,2000,0,24,24,24,,176.5846033919952,None,2000,178.61884879495483,None,None,178.61884879495483,None,1.6700000000000002,25,180.65168652299326,None,None,0,180.65168652299326,None,You lost $5.00!,0.1999999999999993,4,21,0.36999999999999983,56.00000000000001,0.29594217421254143,[],33.33333333333333,21,3,1,0.007511269010137767,0.3775112690101376,,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
