trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue,probe,feedbackText,jitter,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,2.926,space,168.47098009800538,,,2,001,2019_Apr_08_1133,MID,3.0.7,60.02781125045758,
,,,,,,,3.157,,,space,8.818654914037324,,,,,,,
