TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,0,[],,017,2,practice
1,0,[],,017,2,practice
5,0,[],,017,2,practice
4,0,[],,017,2,practice
3,1,0.36130468800001836,,017,2,practice
1,0,[],,017,2,practice
5,1,0.3604244899997866,,017,2,practice
2,1,0.3237117730004684,,017,2,practice
3,1,0.3353798899997855,,017,2,practice
1,1,0.3733870890000617,,017,2,practice
4,1,0.3496527610004705,,017,2,practice
5,1,0.30643643900020834,,017,2,practice
2,1,0.31916894799996953,,017,2,practice
4,1,0.3349967169997399,,017,2,practice
3,1,0.35564718800014816,,017,2,practice
