TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,0,[],,036,2,practice
1,0,[],,036,2,practice
5,0,[],,036,2,practice
4,1,0.29079305299092084,,036,2,practice
3,0,[],,036,2,practice
1,0,[],,036,2,practice
5,0,[],,036,2,practice
2,1,0.2926729340106249,,036,2,practice
3,0,[],,036,2,practice
1,1,0.26835848798509687,,036,2,practice
4,1,0.29323111797566526,,036,2,practice
5,1,0.2937865249987226,,036,2,practice
2,1,0.31621101099881344,,036,2,practice
4,1,0.2982652510108892,,036,2,practice
3,0,[],,036,2,practice
