Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,3000,0,16,16,16,,130.182307562005,None,3000,132.19012455097982,None,None,132.19012455097982,None,1.53,17,135.20539084999473,None,1,1,135.20539084999473,None,You did not lose $5.00!,-0.2,4,13,0.47,35.294117647058826,0.29016071366883506,[1],50.0,12,3,,,0.31747556300251745,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,1500,0,17,17,17,,137.18264637398534,None,1500,139.19009162599104,None,None,139.19009162599104,None,1.53,18,140.7058493969962,None,1,1,140.7058493969962,None,You did not lose $0.20!,-0.2,5,14,0.47,38.88888888888889,0.29442764243244063,"[1, 1]",50.0,12,3,,,0.320029215014074,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgReward,3000,0,18,18,18,,142.68287610798143,None,3000,144.69020327398903,None,None,144.69020327398903,None,1.53,19,147.71120298598544,None,1,1,147.71120298598544,None,You won $5.00!,4.8,1,15,0.49,42.10526315789473,0.298586681503366,[],50.0,15,3,Adjusting RT...,,0.3276999549998436,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,4000,0,19,19,19,,149.6429532530019,None,4000,151.6572796269902,None,None,151.6572796269902,None,1.51,20,155.65827149199322,None,1,1,155.65827149199322,None,You did not lose $5.00!,4.8,4,16,0.49,45.0,0.29914322122608106,[1],50.0,15,3,,,0.30359553900780156,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,2500,0,20,20,20,,157.64190802699886,None,2500,159.65740708398516,None,None,159.65740708398516,None,1.51,21,162.174015978002,None,None,0,162.174015978002,None,You did not win $0.20!,4.8,2,17,0.49,42.857142857142854,0.29914322122608106,"[1, 0]",50.0,15,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,3500,0,21,21,21,,164.14358708797954,None,3500,166.15937216900056,None,None,166.15937216900056,None,1.51,22,169.65964880300453,None,None,0,169.65964880300453,None,You lost $5.00!,-0.20000000000000018,4,18,0.47,40.909090909090914,0.29914322122608106,[],66.66666666666666,18,3,Adjusting RT...,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,1500,0,22,22,22,,171.64151825298904,None,1500,173.64765447098762,None,None,173.64765447098762,None,1.53,23,175.16408310100087,None,None,0,175.16408310100087,None,You did not win or lose anything!,-0.20000000000000018,3,18,0.47,39.130434782608695,0.29914322122608106,[],66.66666666666666,18,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgReward,2500,0,23,23,23,,177.14208555198275,None,2500,179.16109911497915,None,None,179.16109911497915,None,1.53,24,181.67971398399095,None,1,1,181.67971398399095,None,You won $5.00!,4.8,1,19,0.47,41.66666666666667,0.2976483349018963,[1],66.66666666666666,18,3,,,0.28419435798423365,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,1500,0,24,24,24,,183.60300584000652,None,1500,185.61173578898888,None,None,185.61173578898888,None,1.53,25,187.11942217400065,None,None,0,187.11942217400065,None,You did not win or lose anything!,4.8,3,19,0.47,40.0,0.2976483349018963,[1],66.66666666666666,18,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,2000,0,25,25,25,,189.10152318200562,None,2000,191.11283358800574,None,None,191.11283358800574,None,1.53,26,193.11955566197867,None,None,0,193.11955566197867,None,You did not win or lose anything!,4.8,3,19,0.47,38.46153846153847,0.2976483349018963,[1],66.66666666666666,18,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
