trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue,probe,feedbackText,condition,corrResp,jitter,jitterTarget,ready.keys,ready.rt,feedbackDur,resp.keys,resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,1.686,0.279,space,3.082474715949502,,,,,001,2019_Apr_10_1158,MID,3.0.7,59.974201869209374,
,,,,,,,,,2.559,0.412,,,1.588,None,1,,,,,,,
