trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue,probe,feedbackText,condition,corrResp,jitter,jitterTarget,ready.keys,ready.rt,feedbackDur,resp.keys,resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,2.766,0.439,space,1.2982770289527252,,,,,001,2019_Apr_10_1203,MID,3.0.7,60.05654610874374,
,,,,,,,,,3.979,0.281,,,1.7189999999999999,None,1,,,,,,,
