cue,probe,feedbackText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,jitterTarget,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,3.978,-0.053,space,3.0657890149741434,,,2,001,2019_Apr_08_1141,MID,3.0.7,60.14247476378301,
images/LoseSmall.BMP,images/LoseProbe.BMP,You won $0.20,0,0,0,1,2.482,0.138,,,space,6.068636512965895,2,001,2019_Apr_08_1141,MID,3.0.7,60.14247476378301,
