Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,62.62973351299297,None,2000,64.63599137900746,None,None,64.63599137900746,None,1.65,1,66.65733018799801,None,None,0,66.65733018799801,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
LgReward,2000,0,1,1,1,,68.58444561500801,None,2000,70.59050714998739,None,1,70.59050714998739,None,1.65,2,72.62073562000296,None,None,0,72.62073562000296,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,0.29289698298089206,,,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
SmallPun,2000,0,2,2,2,,74.54123863799032,None,2000,76.55322911200346,None,None,76.55322911200346,None,1.65,3,78.55974418998812,None,None,0,78.55974418998812,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,,Adjusting RT...,,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
LgPun,2000,0,3,3,3,,80.50003171400749,None,2000,82.50904205499683,None,1,82.50904205499683,None,1.58,4,84.52233182400232,None,None,0,84.52233182400232,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,0.3053700199816376,,,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
Triangle,2000,0,4,4,4,,86.50002734799637,None,2000,88.50809714698698,None,None,88.50809714698698,None,1.58,5,90.52291179299937,None,None,0,90.52291179299937,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,,,,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
LgReward,2000,0,5,5,5,,92.50048492499627,None,2000,94.5075328439998,None,None,94.5075328439998,None,1.58,6,96.52848313501454,None,1,1,96.52848313501454,None,You won $5.00!,-0.20000000000000018,1,5,0.42,16.666666666666664,0.29988421400776133,"[0, 1]",0.0,3,3,,,0.29988421400776133,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
SmallPun,2000,0,6,6,6,,98.5024483629968,None,2000,100.50845707400003,None,None,100.50845707400003,None,1.58,7,102.52463238299242,None,1,1,102.52463238299242,None,You did not lose $0.20!,-0.20000000000000018,5,6,0.45999999999999996,28.57142857142857,0.28276461450150236,[],33.33333333333333,6,3,,Adjusting RT...,0.2656450149952434,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
SmallReward,2000,0,7,7,7,,104.50108435298898,None,2000,106.50665104700602,None,None,106.50665104700602,None,1.54,8,108.53183169101248,None,1,1,108.53183169101248,None,You won $0.20!,-1.6653345369377348e-16,2,7,0.45999999999999996,37.5,0.24632943133474328,[1],33.33333333333333,6,3,,,0.1734590650012251,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
Triangle,2000,0,8,8,8,,110.50155705699581,None,2000,112.51088769000489,None,None,112.51088769000489,None,1.54,9,114.51815627000178,None,1,1,114.51815627000178,None,You did not win or lose anything!,-1.6653345369377348e-16,3,7,0.45999999999999996,44.44444444444444,0.262781720746716,[1],33.33333333333333,6,3,,,0.31213858898263425,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
LgReward,2000,0,9,9,9,,116.50882958999136,None,2000,118.51045338899712,None,None,118.51045338899712,None,1.54,10,120.54399308099528,None,1,1,120.54399308099528,None,You won $5.00!,5.0,1,8,0.45999999999999996,50.0,0.21538820459973068,"[1, 1]",33.33333333333333,6,3,,,0.025814140011789277,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
LgPun,2000,0,10,10,10,,122.50200383499032,None,2000,124.51165634699282,None,None,124.51165634699282,None,1.54,11,126.518248879991,None,1,1,126.518248879991,None,You did not lose $5.00!,5.0,4,9,0.42999999999999994,54.54545454545454,0.2196774301652719,[],83.33333333333333,9,3,,Adjusting RT...,0.24112355799297802,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
SmallPun,2000,0,11,11,11,,128.50245279198862,None,2000,130.5114395460114,None,None,130.5114395460114,None,1.57,12,132.52742594201118,None,1,1,132.52742594201118,None,You did not lose $0.20!,5.0,5,10,0.42999999999999994,58.333333333333336,0.19228757057239168,[1],83.33333333333333,9,3,,,0.027948413015110418,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
SmallReward,2000,0,12,12,12,,134.4610056540114,None,2000,136.47913333401084,None,None,136.47913333401084,None,1.57,13,138.4870408459974,None,1,1,138.4870408459974,None,You won $0.20!,5.2,2,11,0.42999999999999994,61.53846153846154,0.20503240387552069,"[1, 1]",83.33333333333333,9,3,,,0.2942462369974237,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
LgPun,2000,0,13,13,13,,140.4183112590108,None,2000,142.42926548299147,None,None,142.42926548299147,None,1.57,14,144.4374277399911,None,1,1,144.4374277399911,None,You did not lose $5.00!,5.2,4,12,0.37999999999999995,64.28571428571429,0.2108042391127027,[],100.0,12,3,,Adjusting RT...,0.25697892101015896,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
Triangle,2000,0,14,14,14,,146.3781153660093,None,2000,148.39720670701354,None,None,148.39720670701354,None,1.62,15,150.39823572299792,None,1,1,150.39823572299792,None,You did not win or lose anything!,5.2,3,12,0.37999999999999995,66.66666666666666,0.21353685070062056,[],100.0,12,3,,,0.23813035499188118,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,033,Practice,2,2019_Aug_27_1244,MID,3.1.5,23.996152572862407,
