Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion13.csv,23.785799119999865,None,1500,25.81930138800817,None,None,25.81930138800817,None,1.75,1,27.35581224600901,None,None,0,27.35581224600901,None,You lost $5.00!,-5,4,1,0.24999999999999992,0.0,nan,[0],0,0,3,1,-0.013047190004726872,0.23695280999527304,,,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
LgReward,2000,0,1,1,1,,29.419923674999154,None,2000,31.453354896002566,None,None,31.453354896002566,None,1.75,2,33.503509148999,None,None,0,33.503509148999,None,You did not win $5.00!,-5,1,2,0.24999999999999992,0.0,nan,"[0, 0]",0,0,3,1,-0.007748550007818267,0.24225144999218165,,,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
Triangle,4000,0,2,2,2,,35.553483462004806,None,4000,37.587408703009714,None,None,37.587408703009714,None,1.75,3,41.62151662600809,None,None,0,41.62151662600809,None,You did not win or lose anything!,-5,3,2,0.24999999999999992,0.0,nan,"[0, 0]",0,0,3,1,0.006542227012687363,0.25654222701268725,,,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
LgPun,1500,0,3,3,3,,43.674034381998354,None,1500,45.7058244439977,None,None,45.7058244439977,None,1.75,4,47.23910020900075,None,None,0,47.23910020900075,None,You lost $5.00!,-10,4,3,0.31999999999999995,0.0,nan,[],0.0,3,3,1,-0.0004180699907010421,0.3195819300092989,Adjusting RT...,,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
LgReward,1500,0,4,4,4,,49.3051995220012,None,1500,51.33962861400505,None,None,51.33962861400505,None,1.6800000000000002,5,52.88960613300151,None,None,0,52.88960613300151,None,You did not win $5.00!,-10,1,4,0.31999999999999995,0.0,nan,[0],0.0,3,3,1,-0.009461445006309077,0.3105385549936909,,,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
LgPun,2000,0,5,5,5,,54.924709298007656,None,2000,56.95726720600214,None,None,56.95726720600214,None,1.6800000000000002,6,58.990545528999064,None,1,1,58.990545528999064,None,You did not lose $5.00!,-10,4,5,0.31999999999999995,16.666666666666664,0.00889093401201535,"[0, 1]",0.0,3,3,1,0.1480000619922066,0.00889093401201535,,0.00889093401201535,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
Triangle,3000,0,6,6,6,,61.02474210500077,None,3000,63.058063622011105,None,None,63.058063622011105,None,1.6800000000000002,7,66.09075626899721,None,1,1,66.09075626899721,None,You did not win or lose anything!,-10,3,5,0.31999999999999995,28.57142857142857,0.1311804950091755,"[0, 1]",0.0,3,3,None,,0.25347005600633565,,0.25347005600633565,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
SmallReward,2000,0,7,7,7,,68.14124966799864,None,2000,70.17494886100758,None,None,70.17494886100758,None,1.6800000000000002,8,72.22474748799868,None,1,1,72.22474748799868,None,You won $0.20!,-9.8,2,6,0.35999999999999993,37.5,0.17231354467609586,[],33.33333333333333,6,3,None,,0.2545796440099366,Adjusting RT...,0.2545796440099366,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
Triangle,2000,0,8,8,8,,74.25906211000984,None,2000,76.29351179700461,None,None,76.29351179700461,None,1.6400000000000001,9,78.32651360500313,None,None,0,78.32651360500313,None,You did not win or lose anything!,-9.8,3,6,0.35999999999999993,33.33333333333333,0.17231354467609586,[],33.33333333333333,6,3,None,,0.2545796440099366,,,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
SmallReward,2500,0,9,9,9,,80.39234484100598,None,2500,82.42700662900461,None,None,82.42700662900461,None,1.6400000000000001,10,84.97621390700806,None,1,1,84.97621390700806,None,You won $0.20!,-9.600000000000001,2,7,0.35999999999999993,40.0,0.18774496175683453,[1],33.33333333333333,6,3,None,,0.2340392129990505,,0.2340392129990505,,014,Scanner,1,2019_Sep_08_1506,MID,3.1.5,60.100158593492104,
