Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,15,15,15,,135.905801469984,None,2000,137.91872086498188,None,None,137.91872086498188,None,1.56,16,139.96858464198885,None,None,0,139.96858464198885,None,You lost $0.20!,4.8,5,12,0.46,50.0,0.3605204444975243,[],50.0,12,3,1,0.4640421399753541,0.004042139975354075,Adjusting RT...,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,3000,0,16,16,16,,141.98918586201034,None,3000,144.0026916989591,None,None,144.0026916989591,None,1.54,17,147.0529313319712,None,1,1,147.0529313319712,None,You did not lose $5.00!,4.8,4,13,0.46,52.94117647058824,0.35904870955790913,[1],50.0,12,3,None,0.3472748300409876,,,0.3472748300409876,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,1500,0,17,17,17,,149.11432299599983,None,1500,151.12266984500457,None,None,151.12266984500457,None,1.54,18,152.67639494297327,None,None,0,152.67639494297327,None,You lost $0.20!,4.6,5,14,0.46,50.0,0.35904870955790913,"[1, 0]",50.0,12,3,1,0.46506394699914383,0.005063946999143809,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,3000,0,18,18,18,,154.7385743240011,None,3000,156.75479245895986,None,None,156.75479245895986,None,1.54,19,159.81055225298041,None,1,1,159.81055225298041,None,You won $5.00!,9.6,1,15,0.5,52.63157894736842,0.35982346649980174,[],33.33333333333333,15,3,None,0.3667962789768353,,Adjusting RT...,0.3667962789768353,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,4000,0,19,19,19,,161.86657525401097,None,4000,163.87342395901214,None,None,163.87342395901214,None,1.5,20,167.926280441985,None,1,1,167.926280441985,None,You did not lose $5.00!,9.6,4,16,0.5,55.00000000000001,0.36557258772452106,[1],33.33333333333333,15,3,None,0.4230637999717146,,,0.4230637999717146,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,2500,0,20,20,20,,169.99066930398112,None,2500,172.0061181819765,None,None,172.0061181819765,None,1.5,21,174.5630751659628,None,1,1,174.5630751659628,None,You won $0.20!,9.799999999999999,2,17,0.5,57.14285714285714,0.3635505506633005,"[1, 1]",33.33333333333333,15,3,None,0.3413081429898739,,,0.3413081429898739,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,3500,0,21,21,21,,176.61599838000257,None,3500,178.6248039029888,None,None,178.6248039029888,None,1.5,22,182.1758338600048,None,1,1,182.1758338600048,None,You did not lose $5.00!,9.799999999999999,4,18,0.47,59.09090909090909,0.3604706858437007,[],83.33333333333333,18,3,None,0.32351230800850317,,Adjusting RT...,0.32351230800850317,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
Triangle,1500,0,22,22,22,,184.24125546496361,None,1500,186.2577834399999,None,None,186.2577834399999,None,1.53,23,187.80763887200737,None,None,0,187.80763887200737,None,You did not win or lose anything!,9.799999999999999,3,18,0.47,56.52173913043478,0.3604706858437007,[],83.33333333333333,18,3,1,0.7194460199959576,0.2494460199959576,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,2500,0,23,23,23,,189.8245597789646,None,2500,191.8423062840011,None,None,191.8423062840011,None,1.53,24,194.39712048898218,None,1,1,194.39712048898218,None,You won $5.00!,14.799999999999999,1,19,0.47,58.333333333333336,0.35987916014190496,[1],83.33333333333333,18,3,None,0.3521893260185607,,,0.3521893260185607,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
Triangle,1500,0,24,24,24,,196.408075239975,None,1500,198.41432210599305,None,None,198.41432210599305,None,1.53,25,199.9680584569578,None,None,0,199.9680584569578,None,You did not win or lose anything!,14.799999999999999,3,19,0.47,56.00000000000001,0.35987916014190496,[1],83.33333333333333,18,3,1,0.48071432000026104,0.010714320000261068,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
