Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,0,0,0,TimeVersion6.csv,35.208621452969965,None,2500,37.225771722965874,None,None,37.225771722965874,None,1.73,1,39.758915880986024,None,None,0,39.758915880986024,None,You lost $5.00!,-5,4,1,0.26999999999999996,0.0,nan,[0],0,0,3,1,-0.008905827009584755,0.2610941729904152,,,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
LgReward,1500,0,1,1,1,,41.825740106985904,None,1500,43.85986626095837,None,None,43.85986626095837,None,1.73,2,45.40956121700583,None,None,0,45.40956121700583,None,You did not win $5.00!,-5,1,2,0.26999999999999996,0.0,nan,"[0, 0]",0,0,3,1,-0.011862968967761844,0.2581370310322381,,,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
LgPun,1500,0,2,2,2,,47.441952070978004,None,1500,49.47676973097259,None,None,49.47676973097259,None,1.73,3,51.009880566969514,None,None,0,51.009880566969514,None,You lost $5.00!,-10,4,3,0.33999999999999997,0.0,nan,[],0.0,3,3,None,,0.2581370310322381,Adjusting RT...,,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
SmallReward,2000,0,3,3,3,,53.05966001295019,None,2000,55.09390401397832,None,None,55.09390401397832,None,1.6600000000000001,4,57.12664692196995,None,1,1,57.12664692196995,None,You won $0.20!,-9.8,2,4,0.33999999999999997,25.0,0.2515767319709994,[1],0.0,3,3,None,,0.2515767319709994,,0.2515767319709994,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
Triangle,2000,0,4,4,4,,59.17682888096897,None,2000,61.21111881098477,None,None,61.21111881098477,None,1.6600000000000001,5,63.24357956799213,None,1,1,63.24357956799213,None,You did not win or lose anything!,-9.8,3,4,0.33999999999999997,40.0,0.2536586634814739,[1],0.0,3,3,None,,0.25574059499194846,,0.25574059499194846,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
SmallReward,1500,0,5,5,5,,65.29361770895775,None,1500,67.32723176595755,None,1,67.32723176595755,None,1.6600000000000001,6,68.87765367497923,None,1,1,68.87765367497923,None,You won $0.20!,-9.600000000000001,2,5,0.33999999999999997,50.0,0.2429958076487916,"[1, 1]",0.0,3,3,None,,0.22167009598342702,,0.22167009598342702,0.3460951360175386,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
Triangle,1500,0,6,6,6,,70.91073080396745,None,1500,72.94444847700652,None,None,72.94444847700652,None,1.6600000000000001,7,74.47741826495621,None,1,1,74.47741826495621,None,You did not win or lose anything!,-9.600000000000001,3,5,0.33999999999999997,57.14285714285714,0.24997471447568387,"[1, 1]",0.0,3,3,None,,0.2709114349563606,,0.2709114349563606,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
LgPun,1500,0,7,7,7,,76.51142886397429,None,1500,78.54527768399566,None,None,78.54527768399566,None,1.6600000000000001,8,80.07865219697123,None,1,1,80.07865219697123,None,You did not lose $5.00!,-9.600000000000001,4,6,0.36,62.5,0.2462922805803828,[],50.0,6,3,None,,0.2315625449991785,Adjusting RT...,0.2315625449991785,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
LgReward,2000,0,8,8,8,,82.12837698496878,None,2000,84.16184160596458,None,None,84.16184160596458,None,1.6400000000000001,9,86.21224129898474,None,1,1,86.21224129898474,None,You won $5.00!,-4.600000000000001,1,7,0.36,66.66666666666666,0.24175904764949033,[1],50.0,6,3,None,,0.21909288299502805,,0.21909288299502805,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
SmallPun,4000,0,9,9,9,,88.24540069897193,None,4000,90.27944258396747,None,None,90.27944258396747,None,1.6400000000000001,10,94.31185711495345,None,1,1,94.31185711495345,None,You did not lose $0.20!,-4.600000000000001,5,8,0.36,70.0,0.24555881613300048,"[1, 1]",50.0,6,3,None,,0.2683574270340614,,0.2683574270340614,,028,Scanner,1,2019_Sep_01_1329,MID,3.1.5,60.16301975105519,
