Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,14,14,14,,127.70210773602594,None,2000,129.73620612401282,None,None,129.73620612401282,None,1.6400000000000001,15,131.7860071460018,None,None,0,,131.7860071460018,None,You did not win $0.20!,10.2,2,13,0.36,73.33333333333333,0.29005696482702414,[0],66.66666666666666,12,3,1,0.33704605902312323,0.6970460590231232,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,2000,0,15,15,15,,133.81805107399123,None,2000,135.85213271999964,None,None,135.85213271999964,None,1.6400000000000001,16,137.8862321630004,None,1,1,0.23734778905054554,137.8862321630004,None,You did not lose $0.20!,10.2,5,14,0.36,75.0,0.2856645335123176,"[0, 1]",66.66666666666666,12,3,None,,0.23734778905054554,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,1500,0,16,16,16,,139.93614534602966,None,1500,141.96927735500503,None,None,141.96927735500503,None,1.6400000000000001,17,143.50335238699336,None,1,1,0.2891783689847216,143.50335238699336,None,You did not lose $5.00!,10.2,4,15,0.33999999999999997,76.47058823529412,0.2859348285486564,[],66.66666666666666,15,3,None,,0.2891783689847216,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,3500,0,17,17,17,,145.5700104139978,None,3500,147.6039157480118,None,None,147.6039157480118,None,1.6600000000000001,18,151.153311121976,None,None,0,,151.153311121976,None,You did not win $5.00!,10.2,1,16,0.33999999999999997,72.22222222222221,0.2859348285486564,[0],66.66666666666666,15,3,None,,0.2891783689847216,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,1500,0,18,18,18,,153.18700223899214,None,1500,155.2212608960108,None,None,155.2212608960108,None,1.6600000000000001,19,156.7545426299912,None,None,0,,156.7545426299912,None,You did not win or lose anything!,10.2,3,16,0.33999999999999997,68.42105263157895,0.2859348285486564,[0],66.66666666666666,15,3,1,0.017740126000717282,0.35774012600071725,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,2000,0,19,19,19,,158.78755401598755,None,2000,160.80734126199968,None,None,160.80734126199968,None,1.6600000000000001,20,162.85370134201366,None,1,1,0.26176361297257245,162.85370134201366,None,You did not lose $0.20!,10.2,5,17,0.33999999999999997,70.0,0.28420831315036466,"[0, 1]",66.66666666666666,15,3,None,,0.26176361297257245,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,2000,0,20,20,20,,164.9037303130026,None,2000,166.9386800440261,None,None,166.9386800440261,None,1.6600000000000001,21,168.9717310559936,None,None,0,,168.9717310559936,None,You did not win or lose anything!,10.2,3,17,0.33999999999999997,66.66666666666666,0.28420831315036466,"[0, 1]",66.66666666666666,15,3,None,,0.26176361297257245,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,1500,0,21,21,21,,171.02112480497453,None,1500,173.0392005110043,None,None,173.0392005110043,None,1.6600000000000001,22,174.58880916901398,None,1,1,0.23772579000797123,174.58880916901398,None,You won $0.20!,10.399999999999999,2,18,0.31999999999999995,68.18181818181817,0.28110947827420507,[],66.66666666666666,18,3,None,,0.23772579000797123,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,1500,0,22,22,22,,176.6218690649839,None,1500,178.6554380109883,None,None,178.6554380109883,None,1.6800000000000002,23,180.18889920698712,None,None,0,,180.18889920698712,None,You did not win or lose anything!,10.399999999999999,3,18,0.31999999999999995,65.21739130434783,0.28110947827420507,[],66.66666666666666,18,3,None,,0.23772579000797123,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,3000,0,23,23,23,,182.2386299369973,None,3000,184.27306606800994,None,1,184.27306606800994,None,1.6800000000000002,24,187.31261218897998,None,None,0,,187.31261218897998,None,You did not win $0.20!,10.399999999999999,2,19,0.31999999999999995,62.5,0.28110947827420507,[0],66.66666666666666,18,3,1,0.0036750740255229175,0.32367507402552287,,2.376498675032053,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,1500,0,24,24,24,,189.3726533339941,None,1500,191.3947473820299,None,None,191.3947473820299,None,1.6800000000000002,25,192.95689312397735,None,None,0,,192.95689312397735,None,You did not win $5.00!,10.399999999999999,1,20,0.31999999999999995,60.0,0.28110947827420507,"[0, 0]",66.66666666666666,18,3,1,0.057945962995290756,0.3779459629952907,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,2000,0,25,25,25,,194.98956949700369,None,2000,197.01332303398522,None,None,197.01332303398522,None,1.6800000000000002,26,199.05698323698016,None,1,1,0.24555660702753812,199.05698323698016,None,You did not win or lose anything!,10.399999999999999,3,20,0.31999999999999995,61.53846153846154,0.2788874238212884,"[0, 0]",66.66666666666666,18,3,None,,0.24555660702753812,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,2000,0,26,26,26,,201.10737563902512,None,2000,203.1305970720132,None,None,203.1305970720132,None,1.6800000000000002,27,205.19070886197733,None,1,1,0.23082348698517308,205.19070886197733,None,You won $0.20!,10.599999999999998,2,21,0.33999999999999997,62.96296296296296,0.27606013341916397,[],49.99999999999999,21,3,None,,0.23082348698517308,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,1500,0,27,27,27,,207.2238398080226,None,1500,209.2483648060006,None,None,209.2483648060006,None,1.6600000000000001,28,210.79027350299293,None,1,1,0.27127730095526204,210.79027350299293,None,You did not lose $0.20!,10.599999999999998,5,22,0.33999999999999997,64.28571428571429,0.27579442050450276,[1],49.99999999999999,21,3,None,,0.27127730095526204,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,3000,0,28,28,28,,212.8243512790068,None,3000,214.8578098579892,None,None,214.8578098579892,None,1.6600000000000001,29,217.89157913898816,None,1,1,0.2708478330168873,217.89157913898816,None,You did not lose $0.20!,10.599999999999998,5,23,0.33999999999999997,65.51724137931035,0.27553407379462824,"[1, 1]",49.99999999999999,21,3,None,,0.2708478330168873,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,1500,0,29,29,29,,219.90823586197803,None,1500,221.9327946230187,None,None,221.9327946230187,None,1.6600000000000001,30,223.4747154149809,None,None,0,,223.4747154149809,None,You did not win or lose anything!,10.599999999999998,3,23,0.33999999999999997,63.33333333333333,0.27553407379462824,"[1, 1]",49.99999999999999,21,3,1,0.21106694999616593,0.5510669499961659,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,1500,0,30,30,30,,225.5252232979983,None,1500,227.55023927101865,None,None,227.55023927101865,None,1.6600000000000001,31,229.099697594007,None,None,0,,229.099697594007,None,You did not win $0.20!,10.599999999999998,2,24,0.36,61.29032258064516,0.27553407379462824,[],49.99999999999999,24,3,None,,0.5510669499961659,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,3500,0,31,31,31,,231.1516848260071,None,3500,233.18493837898131,None,None,233.18493837898131,None,1.6400000000000001,32,236.73386886302615,None,1,1,0.28468948299996555,236.73386886302615,None,You won $0.20!,10.799999999999997,2,25,0.36,62.5,0.2759918442548951,[1],49.99999999999999,24,3,None,,0.28468948299996555,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,1500,0,32,32,32,,238.78521299001295,None,1500,240.81899511400843,None,None,240.81899511400843,None,1.6400000000000001,33,242.3680007160292,None,1,1,0.27243011101381853,242.3680007160292,None,You won $5.00!,15.799999999999997,1,26,0.36,63.63636363636363,0.2758222379100819,"[1, 1]",49.99999999999999,24,3,None,,0.27243011101381853,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,2500,0,33,33,33,,244.41925178299425,None,2500,246.45296004001284,None,None,246.45296004001284,None,1.6400000000000001,34,249.00321862997953,None,None,0,,249.00321862997953,None,You did not win $5.00!,15.799999999999997,1,27,0.33999999999999997,61.76470588235294,0.2758222379100819,[],66.66666666666666,27,3,1,0.19756116898497567,0.5375611689849756,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,2500,0,34,34,34,,251.0435132260318,None,2500,253.07041699200636,None,None,253.07041699200636,None,1.6600000000000001,35,255.6050625470234,None,1,1,0.21146304899593815,255.6050625470234,None,You did not lose $0.20!,15.799999999999997,5,28,0.33999999999999997,62.857142857142854,0.2728968202321663,[1],66.66666666666666,27,3,None,,0.21146304899593815,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,4000,0,35,35,35,,257.64388441998744,None,4000,259.6720282449969,None,None,259.6720282449969,None,1.6600000000000001,36,263.70522337401053,None,1,1,0.262328777986113,263.70522337401053,None,You did not lose $0.20!,15.799999999999997,5,29,0.33999999999999997,63.888888888888886,0.2724373401345118,"[1, 1]",66.66666666666666,27,3,None,,0.262328777986113,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,1500,0,36,36,36,,265.739145739004,None,1500,267.7725669419742,None,None,267.7725669419742,None,1.6600000000000001,37,269.3215269999928,None,1,1,0.2539656839799136,269.3215269999928,None,You won $0.20!,15.999999999999996,2,30,0.30999999999999994,64.86486486486487,0.2716676877947369,[],83.33333333333333,30,3,None,,0.2539656839799136,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,1500,0,37,37,37,,271.36126024997793,None,1500,273.39040292601567,None,None,273.39040292601567,None,1.69,38,274.92309874802595,None,1,1,0.2674557180143893,274.92309874802595,None,You did not lose $0.20!,15.999999999999996,5,31,0.30999999999999994,65.78947368421053,0.271499209003523,[1],83.33333333333333,30,3,None,,0.2674557180143893,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,1500,0,38,38,38,,276.97846594802104,None,1500,279.0070544320042,None,None,279.0070544320042,None,1.69,39,280.5409827880212,None,1,1,0.2724434499978088,280.5409827880212,None,You did not lose $5.00!,15.999999999999996,4,32,0.30999999999999994,66.66666666666666,0.27153552596484165,"[1, 1]",83.33333333333333,30,3,None,,0.2724434499978088,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,1500,0,39,39,39,,282.59561652399134,None,1500,284.6241866759956,None,None,284.6241866759956,None,1.69,40,286.1573514909833,None,None,0,,286.1573514909833,None,You did not win or lose anything!,15.999999999999996,3,32,0.30999999999999994,65.0,0.27153552596484165,"[1, 1]",83.33333333333333,30,3,1,-0.005647704005241394,0.30435229599475855,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,2500,0,40,40,40,,288.212215935986,None,2500,290.2417242489755,None,None,290.2417242489755,None,1.69,41,292.77462881902466,None,1,1,0.26982787100132555,292.77462881902466,None,You did not win or lose anything!,15.999999999999996,3,32,0.30999999999999994,65.85365853658537,0.2714722794847115,"[1, 1]",83.33333333333333,30,3,None,,0.26982787100132555,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,1500,0,41,41,41,,294.8294512970024,None,1500,296.8595952350297,None,None,296.8595952350297,None,1.69,42,298.39280480501475,None,1,1,0.24673011299455538,298.39280480501475,None,You did not lose $5.00!,15.999999999999996,4,33,0.25999999999999995,66.66666666666666,0.2705886306814916,[],100.0,33,3,None,,0.24673011299455538,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,4000,0,42,42,42,,300.42927398800384,None,4000,302.4598862709827,None,None,302.4598862709827,None,1.74,43,306.49415815097746,None,None,0,,306.49415815097746,None,You lost $5.00!,10.999999999999996,4,34,0.25999999999999995,65.11627906976744,0.2705886306814916,[0],100.0,33,3,None,,0.24673011299455538,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,3500,0,43,43,43,,308.5272232069983,None,3500,310.56087945000036,None,None,310.56087945000036,None,1.74,44,314.0951983060222,None,None,0,,314.0951983060222,None,You did not win or lose anything!,10.999999999999996,3,34,0.25999999999999995,63.63636363636363,0.2705886306814916,[0],100.0,33,3,None,,0.24673011299455538,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,1500,0,44,44,44,,316.1611915989779,None,1500,318.19563547801226,None,None,318.19563547801226,None,1.74,45,319.7621588850161,None,None,0,,319.7621588850161,None,You did not win $0.20!,10.999999999999996,2,35,0.25999999999999995,62.22222222222222,0.2705886306814916,"[0, 0]",100.0,33,3,1,0.02105129900155589,0.28105129900155584,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,2000,0,45,45,45,,321.8116687220172,None,2000,323.846074488014,None,None,323.846074488014,None,1.74,46,325.89611521502957,None,1,1,0.22745808894978836,325.89611521502957,None,You won $5.00!,15.999999999999996,1,36,0.23999999999999996,63.04347826086957,0.2691013706217777,[],66.66666666666666,36,3,None,,0.22745808894978836,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,1500,0,46,46,46,,327.9667755039991,None,1500,329.9973028950044,None,None,329.9973028950044,None,1.76,47,331.5462350919843,None,None,0,,331.5462350919843,None,You did not win $5.00!,15.999999999999996,1,37,0.23999999999999996,61.702127659574465,0.2691013706217777,[0],66.66666666666666,36,3,None,,0.22745808894978836,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,3000,0,47,47,47,,333.5820765339886,None,3000,335.6147560219979,None,None,335.6147560219979,None,1.76,48,338.64766955701634,None,None,0,,338.64766955701634,None,You lost $5.00!,10.999999999999996,4,38,0.23999999999999996,60.416666666666664,0.2691013706217777,"[0, 0]",66.66666666666666,36,3,1,0.01850934000685811,0.2585093400068581,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,3500,0,48,48,48,,340.6822631750256,None,3500,342.7152147529996,None,None,342.7152147529996,None,1.76,49,346.2486176730017,None,None,0,,346.2486176730017,None,You lost $5.00!,5.9999999999999964,4,39,0.29,59.183673469387756,0.2691013706217777,[],16.666666666666664,39,3,1,0.009810232964809984,0.29981023296480996,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,2500,0,49,49,49,,348.26627881400054,None,2500,350.30043448798824,None,None,350.30043448798824,None,1.71,50,352.8331113519962,None,None,0,,352.8331113519962,None,You lost $5.00!,0.9999999999999964,4,40,0.29,57.99999999999999,0.2691013706217777,[0],16.666666666666664,39,3,1,0.03939401201205328,0.32939401201205326,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
