Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,0,0,0,TimeVersion2.csv,36.55249803798506,None,4000,38.570171547995415,None,None,38.570171547995415,None,1.62,1,42.62010478001321,None,None,0,42.62010478001321,None,You did not win $0.20!,0,2,1,0.38,0.0,nan,[0],0,0,3,None,,,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
Triangle,1500,0,1,1,1,,44.66958348499611,None,1500,46.70425384899136,None,None,46.70425384899136,None,1.62,2,48.236477511993144,None,1,1,48.236477511993144,None,You did not win or lose anything!,0,3,1,0.38,50.0,0.3500271270168014,[0],0,0,3,None,0.3500271270168014,0.3500271270168014,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
SmallReward,3000,0,2,2,2,,50.30661735299509,None,3000,52.33824668696616,None,None,52.33824668696616,None,1.62,3,55.387301178998314,None,1,1,55.387301178998314,None,You won $0.20!,0.2,2,2,0.38,66.66666666666666,0.29962194900144823,"[0, 1]",0,0,3,None,0.24921677098609507,0.24921677098609507,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
SmallPun,1500,0,3,3,3,,57.42139035696164,None,1500,59.45499190397095,None,None,59.45499190397095,None,1.62,4,60.98738661996322,None,1,1,60.98738661996322,None,You did not lose $0.20!,0.2,5,3,0.36,75.0,0.30483903400211904,[],66.66666666666666,3,3,None,0.3152732040034607,0.3152732040034607,Adjusting RT...,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
LgPun,1500,0,4,4,4,,63.038324633962475,None,1500,65.07237858598819,None,None,65.07237858598819,None,1.6400000000000001,5,66.60531365097268,None,None,0,66.60531365097268,None,You lost $5.00!,-4.8,4,4,0.36,60.0,0.30483903400211904,[0],66.66666666666666,3,3,None,0.3152732040034607,,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
Triangle,1500,0,5,5,5,,68.65554561896715,None,1500,70.68913308001356,None,None,70.68913308001356,None,1.6400000000000001,6,72.22230150096584,None,1,1,72.22230150096584,None,You did not win or lose anything!,-4.8,3,4,0.36,66.66666666666666,0.29796277949935757,[0],66.66666666666666,3,3,None,0.2773340159910731,0.2773340159910731,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
SmallPun,1500,0,6,6,6,,74.27266365697142,None,1500,76.30572663096245,None,None,76.30572663096245,None,1.6400000000000001,7,77.83862463099649,None,1,1,77.83862463099649,None,You did not lose $0.20!,-4.8,5,5,0.36,71.42857142857143,0.3043719399953261,"[0, 1]",66.66666666666666,3,3,None,0.33000858197920024,0.33000858197920024,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
Triangle,2000,0,7,7,7,,79.88963433401659,None,2000,81.92355611501262,None,None,81.92355611501262,None,1.6400000000000001,8,83.9557740999735,None,1,1,83.9557740999735,None,You did not win or lose anything!,-4.8,3,5,0.36,75.0,0.30312009699021775,"[0, 1]",66.66666666666666,3,3,None,0.2968608819646761,0.2968608819646761,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
LgReward,2500,0,8,8,8,,86.02316540799802,None,2500,88.05722395301564,None,None,88.05722395301564,None,1.6400000000000001,9,90.60690247500315,None,1,1,90.60690247500315,None,You won $5.00!,0.20000000000000018,1,6,0.33999999999999997,77.77777777777779,0.29835238942177966,[],66.66666666666666,6,3,None,0.26974614401115105,0.26974614401115105,Adjusting RT...,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
LgPun,2500,0,9,9,9,,92.65677165001398,None,2500,94.6903977629845,None,None,94.6903977629845,None,1.6600000000000001,10,97.22342516400386,None,1,1,97.22342516400386,None,You did not lose $5.00!,0.20000000000000018,4,7,0.33999999999999997,80.0,0.29320898936566664,[1],66.66666666666666,6,3,None,0.2572051889728755,0.2572051889728755,,,,020,Scanner,1,2019_Sep_02_1107,MID,3.1.5,60.02917405831147,
