cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,probeResp.keys,probeResp.corr,msg,TrackEarnings,Trial Counter,TrialType,ProbeDur,percentacc,meanrt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,0,0,3,2.13,None,0.22,1.8,[],None,0,You did not win $5.00!,0,1,1,0.15,0,nan,,001,.2,2019_Apr_18_1543,MID,3.0.7,60.03859364703515,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,0,1,1,2,3.99,None,0.282,1.8,[[]],None,0,You did not win or lose anything!,0,2,3,0.15,0.0,nan,,001,.2,2019_Apr_18_1543,MID,3.0.7,60.03859364703515,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,2,2,0,2.015,None,0.335,1.8,"[[], []]",None,0,You lost $5.00!,-5,3,4,0.15,0.0,nan,,001,.2,2019_Apr_18_1543,MID,3.0.7,60.03859364703515,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,0,3,3,4,3.407,None,0.321,1.8,"[[], [], []]",None,0,You did not win $0.20!,-5,4,2,0.15,0.0,nan,,001,.2,2019_Apr_18_1543,MID,3.0.7,60.03859364703515,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,4,4,1,2.655,None,0.293,1.8,"[[], [], [], []]",None,0,You lost $0.20!,-5.2,5,5,0.15,0.0,nan,,001,.2,2019_Apr_18_1543,MID,3.0.7,60.03859364703515,
,,,,,,,3.323,None,0.322,1.8,"[[], [], [], [], []]",None,0,You did not win $0.20!,-5.2,,,,,,,,,,,,,
