Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion11.csv,30.44374212899129,None,1500,32.4577595530136,None,None,32.4577595530136,None,1.59,1,33.96188909900957,None,None,0,33.96188909900957,None,You lost $0.20!,-0.2,5,1,0.4099999999999999,0.0,nan,[0],0,0,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,1500,0,1,1,1,,35.94194876399706,None,1500,37.95817669198732,None,None,37.95817669198732,None,1.59,2,39.460933052003384,None,1,1,39.460933052003384,None,You did not lose $5.00!,-0.2,4,2,0.4099999999999999,50.0,0.29766397600178607,"[0, 1]",0,0,3,0.29766397600178607,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,3500,0,2,2,2,,41.442372958001215,None,3500,43.45958662300836,None,None,43.45958662300836,None,1.59,3,46.961290228005964,None,1,1,46.961290228005964,None,You did not win or lose anything!,-0.2,3,2,0.4099999999999999,66.66666666666666,0.30348229850642383,"[0, 1]",0,0,3,0.3093006210110616,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
Triangle,1500,0,3,3,3,,48.941776902007405,None,1500,50.96011723901029,None,None,50.96011723901029,None,1.59,4,52.46066067300853,None,None,0,52.46066067300853,None,You did not win or lose anything!,-0.2,3,2,0.4099999999999999,50.0,0.30348229850642383,"[0, 1]",0,0,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,3500,0,4,4,4,,54.44273879000684,None,3500,56.4612705920008,None,1,56.4612705920008,None,1.59,5,59.97793424699921,None,1,1,59.97793424699921,None,You won $5.00!,4.8,1,3,0.3899999999999999,60.0,0.30050502000570606,[],66.66666666666666,3,3,0.29455046300427057,2.775196069997037,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,3000,0,5,5,5,,61.943412338005146,None,3000,63.961679700005334,None,None,63.961679700005334,None,1.61,6,66.97866589098703,None,None,0,66.97866589098703,None,You did not win $0.20!,4.8,2,4,0.3899999999999999,50.0,0.30050502000570606,[0],66.66666666666666,3,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallPun,1500,0,6,6,6,,68.90198341500945,None,1500,70.91298966598697,None,None,70.91298966598697,None,1.61,7,72.42001270400942,None,None,0,72.42001270400942,None,You lost $0.20!,4.6,5,5,0.3899999999999999,42.857142857142854,0.30050502000570606,"[0, 0]",66.66666666666666,3,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
SmallReward,1500,0,7,7,7,,74.3609661879891,None,1500,76.38057294100872,None,None,76.38057294100872,None,1.61,8,77.88831919198856,None,None,0,77.88831919198856,None,You did not win $0.20!,4.6,2,6,0.4299999999999999,37.5,0.30050502000570606,[],33.33333333333333,6,3,,,Adjusting RT...,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgReward,3000,0,8,8,8,,79.81926788701094,None,3000,81.83148411501315,None,None,81.83148411501315,None,1.57,9,84.85072245899937,None,1,1,84.85072245899937,None,You won $5.00!,9.6,1,7,0.4299999999999999,44.44444444444444,0.2948476110032061,[1],33.33333333333333,6,3,0.2778753839957062,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
LgPun,1500,0,9,9,9,,86.77880513199489,None,1500,88.78474923799513,None,None,88.78474923799513,None,1.57,10,90.2990714200132,None,None,0,90.2990714200132,None,You lost $5.00!,4.6,4,8,0.4299999999999999,40.0,0.2948476110032061,"[1, 0]",33.33333333333333,6,3,,,,037,Scanner,1,2019_Aug_23_1247,MID,3.1.5,24.04771227695621,
