Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,3000,0,15,15,15,,105.73025608898024,None,3000,107.7619864869921,None,None,107.7619864869921,None,1.6400000000000001,16,110.76173658599146,None,1,1,0.20615212700795382,110.76173658599146,None,You did not win or lose anything!,0.0,3,12,0.35999999999999993,50.0,0.20518287012600922,[],33.33333333333333,12,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,1500,0,16,16,16,,112.71418461800204,None,1500,114.74586295799236,None,None,114.74586295799236,None,1.6400000000000001,17,116.24593514000298,None,None,0,,116.24593514000298,None,You lost $0.20!,-0.2,5,13,0.35999999999999993,47.05882352941176,0.20518287012600922,[0],33.33333333333333,12,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,3500,0,17,17,17,,118.19799694299581,None,3500,120.22986532299547,None,None,120.22986532299547,None,1.6400000000000001,18,123.73010682998574,None,1,1,0.18176737599424087,123.73010682998574,None,You did not win or lose anything!,-0.2,3,13,0.35999999999999993,50.0,0.20258114855581275,[0],33.33333333333333,12,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,3000,0,18,18,18,,125.6824112389877,None,3000,127.71451875800267,None,None,127.71451875800267,None,1.6400000000000001,19,130.7140840679931,None,1,1,0.19759990499005653,130.7140840679931,None,You did not lose $5.00!,-0.2,4,14,0.35999999999999993,52.63157894736842,0.20208302419923713,"[0, 1]",33.33333333333333,12,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,1500,0,19,19,19,,132.6818203239818,None,1500,134.69831603998318,None,None,134.69831603998318,None,1.6400000000000001,20,136.2147859419929,None,None,0,,136.2147859419929,None,You did not win $5.00!,-0.2,1,15,0.37999999999999995,50.0,0.20208302419923713,[],49.99999999999999,15,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,1500,0,20,20,20,,138.15084476399352,None,1500,140.18229142698692,None,None,140.18229142698692,None,1.62,21,141.68272791599156,None,1,1,0.22896967898122966,141.68272791599156,None,You did not lose $5.00!,-0.2,4,16,0.37999999999999995,52.38095238095239,0.20452726554305461,[1],49.99999999999999,15,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,1500,0,21,21,21,,143.66605664399685,None,1500,145.68294579000212,None,None,145.68294579000212,None,1.62,22,147.2166882029851,None,1,1,0.19909408999956213,147.2166882029851,None,You won $5.00!,4.8,1,17,0.37999999999999995,54.54545454545454,0.20407450091443025,"[1, 1]",49.99999999999999,15,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,1500,0,22,22,22,,149.16667108397814,None,1500,151.1840424409893,None,None,151.1840424409893,None,1.62,23,152.7177760959894,None,1,1,0.22602235799422488,152.7177760959894,None,You won $5.00!,9.8,1,18,0.35999999999999993,56.52173913043478,0.205762797612876,[],66.66666666666666,18,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,1500,0,23,23,23,,154.65310993397725,None,1500,156.6841769820021,None,None,156.6841769820021,None,1.6400000000000001,24,158.18501329698483,None,1,1,0.23079733399208635,158.18501329698483,None,You did not win or lose anything!,9.8,3,18,0.35999999999999993,58.333333333333336,0.20755097878281958,[],66.66666666666666,18,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,3500,0,24,24,24,,160.1518662449962,None,3500,162.1687859679805,None,None,162.1687859679805,None,1.6400000000000001,25,165.6858394559822,None,1,1,0.18597090398543514,165.6858394559822,None,You won $0.20!,10.0,2,19,0.35999999999999993,60.0,0.2061123071296606,[1],66.66666666666666,18,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,2000,0,25,25,25,,167.62117339199176,None,2000,169.65232783398824,None,None,169.65232783398824,None,1.6400000000000001,26,171.65338403498754,None,None,0,,171.65338403498754,None,You lost $0.20!,9.8,5,20,0.35999999999999993,57.692307692307686,0.2061123071296606,"[1, 0]",66.66666666666666,18,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,2500,0,26,26,26,,173.6199395179865,None,2500,175.6370076739986,None,None,175.6370076739986,None,1.6400000000000001,27,178.1541560969781,None,1,1,0.20566365000559017,178.1541560969781,None,You won $0.20!,10.0,2,21,0.32999999999999996,59.25925925925925,0.20608426605940622,[],83.33333333333333,21,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,2500,0,27,27,27,,180.08938416300225,None,2500,182.12105279398384,None,None,182.12105279398384,None,1.67,28,184.62143608398037,None,1,1,0.2022910329978913,184.62143608398037,None,You did not lose $0.20!,10.0,5,22,0.32999999999999996,60.71428571428571,0.2058611347028465,[1],83.33333333333333,21,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,4000,0,28,28,28,,186.59083098798874,None,4000,188.6216949739901,None,None,188.6216949739901,None,1.67,29,192.62216137899668,None,1,1,0.20153419699636288,192.62216137899668,None,You did not win or lose anything!,10.0,3,22,0.32999999999999996,62.06896551724138,0.20562074927470853,[1],83.33333333333333,21,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,3500,0,29,29,29,,194.59164181398228,None,3500,196.62296191198402,None,None,196.62296191198402,None,1.67,30,200.12259866300155,None,1,1,0.2531358120031655,200.12259866300155,None,You did not lose $5.00!,10.0,4,23,0.32999999999999996,63.33333333333333,0.20812154204989047,"[1, 1]",83.33333333333333,21,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,1500,0,30,30,30,,202.09221981899464,None,1500,204.12394406698877,None,None,204.12394406698877,None,1.67,31,205.62476722098654,None,1,1,0.25504275801358745,205.62476722098654,None,You did not win or lose anything!,10.0,3,23,0.32999999999999996,64.51612903225806,0.21046760284807534,"[1, 1]",83.33333333333333,21,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,3000,0,31,31,31,,207.64153199098655,None,3000,209.62465141399298,None,None,209.62465141399298,None,1.67,32,212.6412007100007,None,1,1,0.22266879901872016,212.6412007100007,None,You won $5.00!,15.0,1,24,0.29999999999999993,65.625,0.2110486121895346,[],83.33333333333333,24,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,2500,0,32,32,32,,214.59411526098847,None,2500,216.62524121400202,None,None,216.62524121400202,None,1.7000000000000002,33,219.1256146709784,None,None,0,,219.1256146709784,None,You did not win or lose anything!,15.0,3,24,0.29999999999999993,63.63636363636363,0.2110486121895346,[],83.33333333333333,24,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,2000,0,33,33,33,,221.09513383900048,None,2000,223.12670460998197,None,None,223.12670460998197,None,1.7000000000000002,34,225.12674488697667,None,None,0,,225.12674488697667,None,You did not win or lose anything!,15.0,3,24,0.29999999999999993,61.76470588235294,0.2110486121895346,[],83.33333333333333,24,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,1500,0,34,34,34,,227.11047033398063,None,1500,229.1278224059788,None,None,229.1278224059788,None,1.7000000000000002,35,230.64363184498507,None,None,0,,230.64363184498507,None,You did not win $0.20!,15.0,2,25,0.29999999999999993,60.0,0.2110486121895346,[0],83.33333333333333,24,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,2000,0,35,35,35,,232.59648709499743,None,2000,234.6284380290017,None,None,234.6284380290017,None,1.7000000000000002,36,236.62835691898363,None,1,1,0.21143771900096908,236.62835691898363,None,You did not lose $5.00!,15.0,4,26,0.29999999999999993,61.111111111111114,0.21106629886278164,"[0, 1]",83.33333333333333,24,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,3000,0,36,36,36,,238.6118128069793,None,3000,240.62924062399543,None,None,240.62924062399543,None,1.7000000000000002,37,243.64638728598948,None,1,1,0.201305216003675,243.64638728598948,None,You won $0.20!,15.2,2,27,0.2699999999999999,62.16216216216216,0.21064190395586396,[],83.33333333333333,27,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,3500,0,37,37,37,,245.6141910419974,None,3500,247.6297963160032,None,None,247.6297963160032,None,1.73,38,251.1465574199974,None,None,0,,251.1465574199974,None,You did not win $5.00!,15.2,1,28,0.2699999999999999,60.526315789473685,0.21064190395586396,[0],83.33333333333333,27,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,2000,0,38,38,38,,253.09896867498173,None,2000,255.1308440299763,None,None,255.1308440299763,None,1.73,39,257.1307208839862,None,None,0,,257.1307208839862,None,You lost $0.20!,15.0,5,29,0.2699999999999999,58.97435897435898,0.21064190395586396,"[0, 0]",83.33333333333333,27,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
