Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion7.csv,22.244593362003798,None,1500,24.24321161300759,None,None,24.24321161300759,None,1.59,1,25.76359741401393,None,None,0,25.76359741401393,None,You did not win $5.00!,0,1,1,0.4099999999999999,0.0,nan,[0],0,0,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,4000,0,1,1,1,,27.729540603002533,None,4000,29.733799823006848,None,None,29.733799823006848,None,1.59,2,33.76396975800162,None,1,1,33.76396975800162,None,You won $5.00!,5,1,2,0.4099999999999999,50.0,0.2856741799914744,"[0, 1]",0,0,3,0.2856741799914744,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,2500,0,2,2,2,,35.74747880801442,None,2500,37.73006745701423,None,None,37.73006745701423,None,1.59,3,40.26659388100961,None,None,0,40.26659388100961,None,You did not win $0.20!,5,2,3,0.4499999999999999,33.33333333333333,0.2856741799914744,[],33.33333333333333,3,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,4000,0,3,3,3,,42.23281071000383,None,4000,44.247032387997024,None,None,44.247032387997024,None,1.55,4,48.263677276991075,None,None,0,48.263677276991075,None,You did not win $0.20!,5,2,4,0.4499999999999999,25.0,0.2856741799914744,[0],33.33333333333333,3,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,2000,0,4,4,4,,50.230998548999196,None,2000,52.248076596006285,None,None,52.248076596006285,None,1.55,5,54.26453366500209,None,None,0,54.26453366500209,None,You did not win $5.00!,5,1,5,0.4499999999999999,20.0,0.2856741799914744,"[0, 0]",33.33333333333333,3,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,3000,0,5,5,5,,56.231228062999435,None,3000,58.24886359399534,None,None,58.24886359399534,None,1.55,6,61.24930382601451,None,1,1,61.24930382601451,None,You did not win or lose anything!,5,3,5,0.4499999999999999,33.33333333333333,0.2845416634954745,"[0, 0]",33.33333333333333,3,3,0.2834091469994746,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,1500,0,6,6,6,,63.23155786001007,None,1500,65.24980884901015,None,None,65.24980884901015,None,1.55,7,66.75018703698879,None,None,0,66.75018703698879,None,You lost $0.20!,4.8,5,6,0.4999999999999999,28.57142857142857,0.2845416634954745,[],16.666666666666664,6,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgPun,2000,0,7,7,7,,68.7312860499951,None,2000,70.7507097320049,None,None,70.7507097320049,None,1.5,8,72.75122646501404,None,1,1,72.75122646501404,None,You did not lose $5.00!,4.8,4,7,0.4999999999999999,37.5,0.3081571926692656,[1],16.666666666666664,6,3,0.3553882510168478,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,3000,0,8,8,8,,74.7315426460118,None,3000,76.7386236640159,None,None,76.7386236640159,None,1.5,9,79.76796117000049,None,None,0,79.76796117000049,None,You did not win $5.00!,4.8,1,8,0.4999999999999999,33.33333333333333,0.3081571926692656,"[1, 0]",16.666666666666664,6,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgPun,2000,0,9,9,9,,81.73236220699619,None,2000,83.75224786199396,None,None,83.75224786199396,None,1.5,10,85.7525460649922,None,None,0,85.7525460649922,None,You lost $5.00!,-0.20000000000000018,4,9,0.5,30.0,0.3081571926692656,[],16.666666666666664,9,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,4000,0,10,10,10,,87.73191340299672,None,4000,89.7379806250101,None,None,89.7379806250101,None,1.5,11,93.75320212999941,None,1,1,93.75320212999941,None,You did not win or lose anything!,-0.20000000000000018,3,9,0.5,36.36363636363637,0.3177462800013018,[],16.666666666666664,9,3,0.34651354199741036,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,3500,0,11,11,11,,95.73269845198956,None,3500,97.73868475700147,None,None,97.73868475700147,None,1.5,12,101.25414889201056,None,1,1,101.25414889201056,None,You did not lose $0.20!,-0.20000000000000018,5,10,0.5,41.66666666666667,0.32431181879946963,[1],16.666666666666664,9,3,0.35057397399214096,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,1500,0,12,12,12,,103.23343812499661,None,1500,105.24020017599105,None,None,105.24020017599105,None,1.5,13,106.75521769700572,None,None,0,106.75521769700572,None,You lost $0.20!,-0.4000000000000002,5,11,0.5,38.46153846153847,0.32431181879946963,"[1, 0]",16.666666666666664,9,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgPun,1500,0,13,13,13,,108.73357478101389,None,1500,110.73863666001125,None,None,110.73863666001125,None,1.5,14,112.25576267301221,None,None,0,112.25576267301221,None,You lost $5.00!,-5.4,4,12,0.5,35.714285714285715,0.32431181879946963,[],33.33333333333333,12,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,2000,0,14,14,14,,114.23382620699704,None,2000,116.24077734199818,None,1,116.24077734199818,None,1.5,15,118.27250744999037,None,None,0,118.27250744999037,None,You did not win $0.20!,-5.4,2,13,0.5,33.33333333333333,0.32431181879946963,[0],33.33333333333333,12,3,,,1.710932900023181,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,2000,0,15,15,15,,120.23377783500473,None,2000,122.24312526700669,None,None,122.24312526700669,None,1.5,16,124.25753097201232,None,1,1,124.25753097201232,None,You did not lose $0.20!,-5.4,5,14,0.5,37.5,0.3329572408353367,"[0, 1]",33.33333333333333,12,3,0.37618435101467185,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgPun,1500,0,16,16,16,,126.23401775900857,None,1500,128.24196375001338,None,None,128.24196375001338,None,1.5,17,129.7570352370094,None,None,0,129.7570352370094,None,You lost $5.00!,-10.4,4,15,0.5,35.294117647058826,0.3329572408353367,[],33.33333333333333,15,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,3500,0,17,17,17,,131.73452956599067,None,3500,133.74240049600485,None,None,133.74240049600485,None,1.5,18,137.2632062350167,None,1,1,137.2632062350167,None,You won $5.00!,-5.4,1,16,0.5,38.88888888888889,0.339724643147617,[1],33.33333333333333,15,3,0.3803290570212994,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,1500,0,18,18,18,,139.23436079800013,None,1500,141.24151090500527,None,None,141.24151090500527,None,1.5,19,142.75999813500675,None,None,0,142.75999813500675,None,You did not win or lose anything!,-5.4,3,16,0.5,36.84210526315789,0.339724643147617,[1],33.33333333333333,15,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,2000,0,19,19,19,,144.73523039498832,None,2000,146.74116250500083,None,None,146.74116250500083,None,1.5,20,148.75989342300454,None,1,1,148.75989342300454,None,You did not lose $0.20!,-5.4,5,17,0.5,40.0,0.3457236587528314,"[1, 1]",33.33333333333333,15,3,0.38771676798933186,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,2000,0,20,20,20,,150.73545803700108,None,2000,152.7441124219913,None,None,152.7441124219913,None,1.5,21,154.75288910701056,None,None,0,154.75288910701056,None,You did not win or lose anything!,-5.4,3,17,0.5,38.095238095238095,0.3457236587528314,"[1, 1]",33.33333333333333,15,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,1500,0,21,21,21,,156.73562079001567,None,1500,158.74518689900287,None,None,158.74518689900287,None,1.5,22,160.26898345400696,None,None,0,160.26898345400696,None,You did not win $0.20!,-5.4,2,18,0.5,36.36363636363637,0.3457236587528314,[],49.99999999999999,18,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,1500,0,22,22,22,,162.23606410299544,None,1500,164.24635423600557,None,None,164.24635423600557,None,1.5,23,165.75383884299663,None,None,0,165.75383884299663,None,You did not win or lose anything!,-5.4,3,18,0.5,34.78260869565217,0.3457236587528314,[],49.99999999999999,18,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,3000,0,23,23,23,,167.7354731099913,None,3000,169.7410294500005,None,None,169.7410294500005,None,1.5,24,172.7656836140086,None,1,1,172.7656836140086,None,You won $0.20!,-5.2,2,19,0.5,37.5,0.3476470384468687,[1],49.99999999999999,18,3,0.3630340759991668,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,1500,0,24,24,24,,174.7382012839953,None,1500,176.7471076970105,None,None,176.7471076970105,None,1.5,25,178.26667552100844,None,None,0,178.26667552100844,None,You did not win $5.00!,-5.2,1,20,0.5,36.0,0.3476470384468687,"[1, 0]",49.99999999999999,18,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,2000,0,25,25,25,,180.23829988701618,None,2000,182.248214110994,None,None,182.248214110994,None,1.5,26,184.25512284899014,None,None,0,184.25512284899014,None,You did not win or lose anything!,-5.2,3,20,0.5,34.61538461538461,0.3476470384468687,"[1, 0]",49.99999999999999,18,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,2000,0,26,26,26,,186.23684337499435,None,2000,188.24906430300325,None,None,188.24906430300325,None,1.5,27,190.26746698500938,None,None,0,190.26746698500938,None,You did not win $0.20!,-5.2,2,21,0.5,33.33333333333333,0.3476470384468687,[],49.99999999999999,21,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,1500,0,27,27,27,,192.23740986300982,None,1500,194.25013333800598,None,None,194.25013333800598,None,1.5,28,195.75399361399468,None,None,0,195.75399361399468,None,You lost $0.20!,-5.4,5,22,0.5,32.142857142857146,0.3476470384468687,[0],49.99999999999999,21,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,3000,0,28,28,28,,197.7377328420116,None,3000,199.74986146501033,None,1,199.74986146501033,None,1.5,29,202.75409830998979,None,None,0,202.75409830998979,None,You lost $0.20!,-5.6000000000000005,5,23,0.5,31.03448275862069,0.3476470384468687,"[0, 0]",49.99999999999999,21,3,,,2.5128582660108805,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,1500,0,29,29,29,,204.73785766400397,None,1500,206.75094457401428,None,None,206.75094457401428,None,1.5,30,208.25723014600226,None,None,0,208.25723014600226,None,You did not win or lose anything!,-5.6000000000000005,3,23,0.5,30.0,0.3476470384468687,"[0, 0]",49.99999999999999,21,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,1500,0,30,30,30,,210.2381935029989,None,1500,212.2438140269951,None,None,212.2438140269951,None,1.5,31,213.7713147609902,None,None,0,213.7713147609902,None,You did not win $0.20!,-5.6000000000000005,2,24,0.5,29.03225806451613,0.3476470384468687,[],16.666666666666664,24,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,3500,0,31,31,31,,215.73740095601534,None,3500,217.75247375800973,None,None,217.75247375800973,None,1.5,32,221.27041283299332,None,1,1,221.27041283299332,None,You won $0.20!,-5.4,2,25,0.5,31.25,0.3490973647014471,[1],16.666666666666664,24,3,0.3621503009926528,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,1500,0,32,32,32,,223.2381617279898,None,1500,225.25347788599902,None,None,225.25347788599902,None,1.5,33,226.76889972301433,None,None,0,226.76889972301433,None,You did not win $5.00!,-5.4,1,26,0.5,30.303030303030305,0.3490973647014471,"[1, 0]",16.666666666666664,24,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,2500,0,33,33,33,,228.7455216560047,None,2500,230.74165653801174,None,None,230.74165653801174,None,1.5,34,233.27139351901133,None,1,1,233.27139351901133,None,You won $5.00!,-0.40000000000000036,1,27,0.5,32.35294117647059,0.3499362612730527,[],33.33333333333333,27,3,0.35832522698910907,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,2500,0,34,34,34,,235.24102769399178,None,2500,237.2546593110019,None,None,237.2546593110019,None,1.5,35,239.75622859300347,None,None,0,239.75622859300347,None,You lost $0.20!,-0.6000000000000003,5,28,0.5,31.428571428571427,0.3499362612730527,[0],33.33333333333333,27,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,4000,0,35,35,35,,241.74492945801467,None,4000,243.75651917301002,None,None,243.75651917301002,None,1.5,36,247.75678505000542,None,1,1,247.75678505000542,None,You did not lose $0.20!,-0.6000000000000003,5,29,0.5,33.33333333333333,0.3522567443336205,"[0, 1]",33.33333333333333,27,3,0.3777820579998661,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,1500,0,36,36,36,,249.73965762701118,None,1500,251.7431790420087,None,None,251.7431790420087,None,1.5,37,253.27449464099482,None,1,1,253.27449464099482,None,You won $0.20!,-0.4000000000000003,2,30,0.48,35.13513513513514,0.3539463691547728,[],66.66666666666666,30,3,0.3742218670086004,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallPun,1500,0,37,37,37,,255.24022273501032,None,1500,257.2577276600059,None,None,257.2577276600059,None,1.52,38,258.7583377560077,None,None,0,258.7583377560077,None,You lost $0.20!,-0.6000000000000003,5,31,0.48,34.21052631578947,0.3539463691547728,[0],66.66666666666666,30,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgPun,1500,0,38,38,38,,260.6984683260089,None,1500,262.70756143401377,None,None,262.70756143401377,None,1.52,39,264.2163075080025,None,None,0,264.2163075080025,None,You lost $5.00!,-5.6000000000000005,4,32,0.48,33.33333333333333,0.3539463691547728,"[0, 0]",66.66666666666666,30,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,1500,0,39,39,39,,266.1574897899991,None,1500,268.17667166001047,None,None,268.17667166001047,None,1.52,40,269.6769878230116,None,None,0,269.6769878230116,None,You did not win or lose anything!,-5.6000000000000005,3,32,0.48,32.5,0.3539463691547728,"[0, 0]",66.66666666666666,30,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,2500,0,40,40,40,,271.61551964399405,None,2500,273.6267796579923,None,None,273.6267796579923,None,1.52,41,276.1341598870058,None,None,0,276.1341598870058,None,You did not win or lose anything!,-5.6000000000000005,3,32,0.48,31.70731707317073,0.3539463691547728,"[0, 0]",66.66666666666666,30,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgPun,1500,0,41,41,41,,278.0743464929983,None,1500,280.09454423899297,None,None,280.09454423899297,None,1.52,42,281.5945075410127,None,None,0,281.5945075410127,None,You lost $5.00!,-10.600000000000001,4,33,0.5,30.952380952380953,0.3539463691547728,[],33.33333333333333,33,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgPun,4000,0,42,42,42,,283.5332238150004,None,4000,285.5455319620087,None,None,285.5455319620087,None,1.5,43,289.55122755400953,None,1,1,289.55122755400953,None,You did not lose $5.00!,-10.600000000000001,4,34,0.5,32.55813953488372,0.3559138796429449,[1],33.33333333333333,33,3,0.3814915159891825,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
Triangle,3500,0,43,43,43,,291.5334391859942,None,3500,293.546007500001,None,None,293.546007500001,None,1.5,44,297.0518553639995,None,1,1,297.0518553639995,None,You did not win or lose anything!,-10.600000000000001,3,34,0.5,34.090909090909086,0.35590936326577016,[1],33.33333333333333,33,3,0.35584613398532383,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
SmallReward,1500,0,44,44,44,,299.0336752200092,None,1500,301.0474618760054,None,None,301.0474618760054,None,1.5,45,302.56605992201366,None,None,0,302.56605992201366,None,You did not win $0.20!,-10.600000000000001,2,35,0.5,33.33333333333333,0.35590936326577016,"[1, 0]",33.33333333333333,33,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,2000,0,45,45,45,,304.53442013901076,None,2000,306.547729006008,None,None,306.547729006008,None,1.5,46,308.5664562979946,None,None,0,308.5664562979946,None,You did not win $5.00!,-10.600000000000001,1,36,0.5,32.608695652173914,0.35590936326577016,[],16.666666666666664,36,3,,Adjusting RT...,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
LgReward,1500,0,46,46,46,,310.53623171299114,None,1500,312.548761270009,None,None,312.548761270009,None,1.5,47,314.06613577899407,None,None,0,314.06613577899407,None,You did not win $5.00!,-10.600000000000001,1,37,0.5,31.914893617021278,0.35590936326577016,[0],16.666666666666664,36,3,,,,037,Scanner,2,2019_Aug_23_1254,MID,3.1.5,23.997127006320348,
