Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,103.46240745999967,None,2000,105.46221687200887,None,None,105.46221687200887,None,1.65,1,107.487792430009,None,None,0,107.487792430009,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
LgReward,2000,0,1,1,1,,109.41212166300102,None,2000,111.42817316499713,None,None,111.42817316499713,None,1.65,2,113.44555569600197,None,None,0,113.44555569600197,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
SmallPun,2000,0,2,2,2,,115.37099004699849,None,2000,117.37871103800717,None,None,117.37871103800717,None,1.65,3,119.38730751301046,None,None,0,119.38730751301046,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,Adjusting RT...,,,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
LgPun,2000,0,3,3,3,,121.32850350700028,None,2000,123.34805331499956,None,1,123.34805331499956,None,1.58,4,125.35198847700667,None,None,0,125.35198847700667,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,,1.2318638330034446,,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
Triangle,2000,0,4,4,4,,127.32940706000954,None,2000,129.3339571260003,None,None,129.3339571260003,None,1.58,5,131.3490033170092,None,None,0,131.3490033170092,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,,,,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
LgReward,2000,0,5,5,5,,133.32969655800844,None,2000,135.34988655900816,None,None,135.34988655900816,None,1.58,6,137.36580813099863,None,1,1,137.36580813099863,None,You won $5.00!,-0.20000000000000018,1,5,0.42,16.666666666666664,0.29796834899752866,"[0, 1]",0.0,3,3,,,0.29796834899752866,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
SmallPun,2000,0,6,6,6,,139.32969646999845,None,2000,141.35032831500575,None,None,141.35032831500575,None,1.58,7,143.35293006700522,None,None,0,143.35293006700522,None,You lost $0.20!,-0.4000000000000002,5,6,0.47,14.285714285714285,0.29796834899752866,[],16.666666666666664,6,3,Adjusting RT...,,,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
SmallReward,2000,0,7,7,7,,145.33071331300016,None,2000,147.35129514000437,None,None,147.35129514000437,None,1.53,8,149.35966889299743,None,1,1,149.35966889299743,None,You won $0.20!,-0.20000000000000018,2,7,0.47,25.0,0.3130946724995738,[1],16.666666666666664,6,3,,,0.3282209960016189,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
Triangle,2000,0,8,8,8,,151.29063899999892,None,2000,153.30229139700532,None,None,153.30229139700532,None,1.53,9,155.30766800600395,None,None,0,155.30766800600395,None,You did not win or lose anything!,-0.20000000000000018,3,7,0.47,22.22222222222222,0.3130946724995738,[1],16.666666666666664,6,3,,,,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
LgReward,2000,0,9,9,9,,157.29000458300288,None,2000,159.30241565599863,None,None,159.30241565599863,None,1.53,10,161.32153767399723,None,1,1,161.32153767399723,None,You won $5.00!,4.8,1,8,0.47,30.0,0.2165313486669523,"[1, 1]",16.666666666666664,6,3,,,0.023404701001709327,040,Practice,2,2019_Aug_22_1132,MID,3.1.5,24.010489260000885,
