Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur.1,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,Unnamed: 47,Unnamed: 46,Unnamed: 44,Unnamed: 45,Unnamed: 7,Unnamed: 43
SmallPun,4000.0,0.0,12.0,12.0,12.0,,109.72329594799885,None,4000.0,111.74706183200031,None,None,111.74706183200031,None,1.69,13.0,115.79034359100115,None,None,0.0,115.79034359100115,None,You lost $0.20!,5.4,5.0,9.0,0.2799999999999999,69.23076923076923,0.2674448335557018,[],83.33333333333333,9.0,3.0,1,0.009753132002515486,0.2897531320025154,,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,1500.0,0.0,13.0,13.0,13.0,,117.84112834000187,None,1500.0,119.8654652590012,None,None,119.8654652590012,None,1.7200000000000002,14.0,121.40773379399981,None,None,0.0,121.40773379399981,None,You did not win or lose anything!,5.4,3.0,9.0,0.2799999999999999,64.28571428571429,0.2674448335557018,[],83.33333333333333,9.0,3.0,1,0.009737594999023713,0.28973759499902363,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,1500.0,0.0,14.0,14.0,14.0,,123.45786142900032,None,1500.0,125.48294910500044,None,None,125.48294910500044,None,1.7200000000000002,15.0,127.02453732600044,None,None,0.0,127.02453732600044,None,You lost $5.00!,0.4000000000000004,4.0,10.0,0.2799999999999999,60.0,0.2674448335557018,[0],83.33333333333333,9.0,3.0,None,,0.28973759499902363,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,3500.0,0.0,15.0,15.0,15.0,,129.08502155099995,None,3500.0,131.1171030459991,None,None,131.1171030459991,None,1.7200000000000002,16.0,134.66755316200215,None,None,0.0,134.66755316200215,None,You did not win $0.20!,0.4000000000000004,2.0,11.0,0.2799999999999999,56.25,0.2674448335557018,"[0, 0]",83.33333333333333,9.0,3.0,None,,0.28973759499902363,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,3000.0,0.0,16.0,16.0,16.0,,136.72517069600144,None,3000.0,138.75103141,None,None,138.75103141,None,1.7200000000000002,17.0,141.7924538820007,None,1,1.0,141.7924538820007,None,You did not lose $5.00!,0.4000000000000004,4.0,12.0,0.29999999999999993,58.82352941176471,0.2648014937003609,[],49.99999999999999,12.0,3.0,None,,0.2410114350022923,0.2410114350022923,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,1500.0,0.0,17.0,17.0,17.0,,143.8259766580013,None,1500.0,145.85208711499945,None,None,145.85208711499945,None,1.7000000000000002,18.0,147.3869471450016,None,1,1.0,147.3869471450016,None,You did not win or lose anything!,0.4000000000000004,3.0,12.0,0.29999999999999993,61.111111111111114,0.2641280271821994,[],49.99999999999999,12.0,3.0,None,,0.2573933620005846,0.2573933620005846,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgReward,3500.0,0.0,18.0,18.0,18.0,,149.43574537099994,None,3500.0,151.46941211900048,None,None,151.46941211900048,None,1.7000000000000002,19.0,155.02009189100139,None,1,1.0,155.02009189100139,None,You won $5.00!,5.4,1.0,13.0,0.29999999999999993,63.157894736842096,0.2627242187503119,[1],49.99999999999999,12.0,3.0,None,,0.24728232599954936,0.24728232599954936,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,1500.0,0.0,19.0,19.0,19.0,,157.05991771200206,None,1500.0,159.08746830900054,None,None,159.08746830900054,None,1.7000000000000002,20.0,160.62077661900184,None,1,1.0,160.62077661900184,None,You did not lose $5.00!,5.4,4.0,14.0,0.29999999999999993,65.0,0.2604152054616581,"[1, 1]",49.99999999999999,12.0,3.0,None,,0.2327070459978131,0.2327070459978131,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,1500.0,0.0,20.0,20.0,20.0,,162.67143986999872,None,1500.0,164.70480656699874,None,None,164.70480656699874,None,1.7000000000000002,21.0,166.25497490500132,None,1,1.0,166.25497490500132,None,You won $0.20!,5.6000000000000005,2.0,15.0,0.2799999999999999,66.66666666666666,0.2611267189287381,[],66.66666666666666,15.0,3.0,None,,0.2703763940007775,0.2703763940007775,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,2000.0,0.0,21.0,21.0,21.0,,168.30504649300198,None,2000.0,170.33836214899932,None,None,170.33836214899932,None,1.7200000000000002,22.0,172.38774218600156,None,1,1.0,172.38774218600156,None,You won $0.20!,5.800000000000002,2.0,16.0,0.2799999999999999,68.18181818181817,0.2579649940002128,[1],66.66666666666666,15.0,3.0,None,,0.21370084500085795,0.21370084500085795,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
