Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2500,0,16,16,16,,123.56131373901735,None,2500,125.56897211601608,None,1,0.6883342329820152,125.56897211601608,None,1.52,17,128.08648438099772,None,None,0,128.08648438099772,None,You did not win or lose anything!,-14.8,3,12,0.48,29.411764705882355,0.31411327319219706,[],66.66666666666666,12,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,1500,0,17,17,17,,130.0189910120098,None,1500,132.0364112929965,None,None,,132.0364112929965,None,1.52,18,133.5406776549935,None,1,1,133.5406776549935,None,You did not lose $5.00!,-14.8,4,13,0.48,33.33333333333333,0.30869261632324196,[1],66.66666666666666,12,3,,0.28158933197846636,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,3500,0,18,18,18,,135.477402591001,None,3500,137.4876999100088,None,1,0.4716212159837596,137.4876999100088,None,1.52,19,141.0082301509974,None,1,1,141.0082301509974,None,You won $5.00!,-9.8,1,14,0.48,36.84210526315789,0.3034556739897068,"[1, 1]",66.66666666666666,12,3,,0.27203401998849586,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,1500,0,19,19,19,,142.93607716599945,None,1500,144.95449547900353,None,None,,144.95449547900353,None,1.52,20,146.45480261099874,None,None,0,146.45480261099874,None,You did not win $5.00!,-9.8,1,15,0.45999999999999996,35.0,0.3034556739897068,[],66.66666666666666,15,3,Adjusting RT...,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,3000,0,20,20,20,,148.3958032100054,None,3000,150.403754458006,None,1,0.3925703180138953,150.403754458006,None,1.54,21,153.4131977299985,None,1,1,153.4131977299985,None,You did not lose $5.00!,-9.8,4,16,0.45999999999999996,38.095238095238095,0.3062853099909262,[1],66.66666666666666,15,3,,0.3260927619994618,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,2000,0,21,21,21,,155.39577525900677,None,2000,157.4068737149937,None,None,,157.4068737149937,None,1.54,22,159.41412731300807,None,None,0,159.41412731300807,None,You lost $0.20!,-10.0,5,17,0.45999999999999996,36.36363636363637,0.3062853099909262,"[1, 0]",66.66666666666666,15,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,3500,0,22,22,22,,161.39604218801833,None,3500,163.4073047620186,None,None,,163.4073047620186,None,1.54,23,166.92492352300906,None,1,1,166.92492352300906,None,You won $0.20!,-9.8,2,18,0.43999999999999995,39.130434782608695,0.30362889710361035,[],66.66666666666666,18,3,Adjusting RT...,0.28237759400508367,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,2500,0,23,23,23,,168.89653486199677,None,2500,170.90793551900424,None,None,,170.90793551900424,None,1.56,24,173.44455519301118,None,None,0,173.44455519301118,None,You did not win $5.00!,-9.8,1,19,0.43999999999999995,37.5,0.30362889710361035,[0],66.66666666666666,18,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,4000,0,24,24,24,,175.35759402101394,None,4000,177.36157096299576,None,None,,177.36157096299576,None,1.56,25,181.38435224400018,None,1,1,181.38435224400018,None,You won $0.20!,-9.600000000000001,2,20,0.43999999999999995,40.0,0.30176112409390043,"[0, 1]",66.66666666666666,18,3,,0.28495116700651124,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,4000,0,25,25,25,,183.3136051420006,None,4000,185.3266014860128,None,None,,185.3266014860128,None,1.56,26,189.33149012099602,None,None,0,189.33149012099602,None,You lost $0.20!,-9.8,5,21,0.45999999999999996,38.46153846153847,0.30176112409390043,[],49.99999999999999,21,3,Adjusting RT...,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
