Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,14,14,14,,164.15383291299804,None,2500,166.1619683880126,None,None,166.1619683880126,None,1.53,15,168.6772561170219,None,None,0,168.6772561170219,None,You lost $5.00!,0.20000000000000018,4,12,0.49,53.333333333333336,0.3310886107501574,[],50.0,12,3,1,0.013791734003461897,0.5037917340034619,,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,1500,0,15,15,15,,170.65426847801427,None,1500,172.6621330170019,None,None,172.6621330170019,None,1.51,16,174.18648971102084,None,1,1,174.18648971102084,None,You won $0.20!,0.4000000000000002,2,13,0.49,56.25,0.3249526925533751,[1],50.0,12,3,None,,0.275865346979117,0.275865346979117,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,1500,0,16,16,16,,176.19653218000894,None,1500,178.21172920102254,None,None,178.21172920102254,None,1.51,17,179.7294120080187,None,None,0,179.7294120080187,None,You did not win $5.00!,0.4000000000000002,1,14,0.49,52.94117647058824,0.3249526925533751,"[1, 0]",50.0,12,3,1,0.014976245001889765,0.5049762450018898,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,3500,0,17,17,17,,181.7381239440001,None,3500,183.74253510101698,None,None,183.74253510101698,None,1.51,18,187.26314693302265,None,1,1,187.26314693302265,None,You did not lose $0.20!,0.4000000000000002,5,15,0.5,55.55555555555556,0.33498268169933,[],33.33333333333333,15,3,None,,0.42525258401292376,0.42525258401292376,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,1500,0,18,18,18,,189.28007657499984,None,1500,191.28188354399754,None,None,191.28188354399754,None,1.5,19,192.7972820379946,None,1,1,192.7972820379946,None,You did not lose $5.00!,0.4000000000000002,4,16,0.5,57.89473684210527,0.33089998190883885,[1],33.33333333333333,15,3,None,,0.29007298400392756,0.29007298400392756,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,3500,0,19,19,19,,194.8220433590177,None,3500,196.83211091402336,None,None,196.83211091402336,None,1.5,20,200.3380381980096,None,None,0,200.3380381980096,None,You lost $5.00!,-4.6,4,17,0.5,55.00000000000001,0.33089998190883885,"[1, 0]",33.33333333333333,15,3,None,,0.29007298400392756,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,2500,0,20,20,20,,202.3641042470117,None,2500,204.3820648220135,None,None,204.3820648220135,None,1.5,21,206.89877782700933,None,None,0,206.89877782700933,None,You did not win $0.20!,-4.6,2,18,0.5,52.38095238095239,0.33089998190883885,[],49.99999999999999,18,3,1,0.003981101996032521,0.5039811019960325,,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,2000,0,21,21,21,,208.90580627101008,None,2000,210.91646347101778,None,None,210.91646347101778,None,1.5,22,212.92452621401753,None,None,0,212.92452621401753,None,You lost $5.00!,-9.6,4,19,0.5,50.0,0.33089998190883885,[0],49.99999999999999,18,3,1,0.3882582339865621,0.8882582339865621,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,2000,0,22,22,22,,214.94812601301237,None,2000,216.96693610202055,None,None,216.96693610202055,None,1.5,23,218.96730218001176,None,None,0,218.96730218001176,None,You did not win or lose anything!,-9.6,3,19,0.5,47.82608695652174,0.33089998190883885,[0],49.99999999999999,18,3,None,,0.8882582339865621,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,4000,0,23,23,23,,220.98904608900193,None,4000,223.00182271399535,None,None,223.00182271399535,None,1.5,24,227.00839356100187,None,1,1,227.00839356100187,None,You did not lose $5.00!,-9.6,4,20,0.5,50.0,0.33423779800068587,"[0, 1]",49.99999999999999,18,3,None,,0.370953775011003,0.370953775011003,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
