Condition,FixationDur,textPrompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,win $0.20,0,0,0,0,TimeVersion_practice.csv,59.63455152299139,None,2000,61.65608848800184,None,None,61.65608848800184,None,1.65,1,63.673768158012535,None,None,0,63.673768158012535,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,034,Practice,1,2019_Aug_27_0916,MID,3.1.5,23.965440110287172,
LgReward,2000,win $5.00,0,1,1,1,,65.59404590801569,None,2000,67.6049331779941,None,1,67.6049331779941,None,1.65,2,69.62342409600387,None,None,0,69.62342409600387,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,0.29957416700199246,,,034,Practice,1,2019_Aug_27_0916,MID,3.1.5,23.965440110287172,
SmallPun,2000,lose $0.20,0,2,2,2,,71.55186957900878,None,2000,73.5569231340196,None,None,73.5569231340196,None,1.65,3,75.57241409999551,None,None,0,75.57241409999551,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,,Adjusting RT...,,034,Practice,1,2019_Aug_27_0916,MID,3.1.5,23.965440110287172,
LgPun,2000,lose $5.00,0,3,3,3,,77.50935676501831,None,2000,79.5233276229992,None,None,79.5233276229992,None,1.58,4,81.52648362601758,None,1,1,81.52648362601758,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.31100621999939904,[1],0.0,3,3,,,0.31100621999939904,034,Practice,1,2019_Aug_27_0916,MID,3.1.5,23.965440110287172,
Triangle,2000,not win or lose money,0,4,4,4,,83.51195491399267,None,2000,85.52374902999145,None,None,85.52374902999145,None,1.58,5,87.5295510230062,None,1,1,87.5295510230062,None,You did not win or lose anything!,-0.2,3,4,0.42,40.0,0.2989806889963802,[1],0.0,3,3,,,0.28695515799336135,034,Practice,1,2019_Aug_27_0916,MID,3.1.5,23.965440110287172,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034,Practice,1,2019_Aug_27_0916,MID,3.1.5,23.965440110287172,
