Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion8.csv,25.54030437298934,None,2000,27.564689425984398,None,None,27.564689425984398,None,1.55,1,29.565506362007,None,None,0,29.565506362007,None,You did not win or lose anything!,0,3,0,0.45,0.0,nan,[],0,0,3,,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
SmallReward,3500,0,1,1,1,,31.542195782007184,None,3500,33.54905785099254,None,None,33.54905785099254,None,1.55,2,37.082397961989045,None,1,1,37.082397961989045,None,You won $0.20!,0.2,2,1,0.45,50.0,0.32684226098353975,[1],0,0,3,0.32684226098353975,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
LgPun,2000,0,2,2,2,,39.04053650298738,None,2000,41.05141542298952,None,None,41.05141542298952,None,1.55,3,43.059238349989755,None,1,1,43.059238349989755,None,You did not lose $5.00!,0.2,4,2,0.45,66.66666666666666,0.3199432724941289,"[1, 1]",0,0,3,0.31304428400471807,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
SmallReward,1500,0,3,3,3,,45.04075750900665,None,1500,47.051742076990195,None,None,47.051742076990195,None,1.55,4,48.57344022099278,None,1,1,48.57344022099278,None,You won $0.20!,0.4,2,3,0.4,75.0,0.3145680573264447,[],100.0,3,3,0.3038176269910764,Adjusting RT...,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
LgReward,4000,0,4,4,4,,50.54045998401125,None,4000,52.552208965993486,None,None,52.552208965993486,None,1.6,5,56.5693850859825,None,None,0,56.5693850859825,None,You did not win $5.00!,0.4,1,4,0.4,60.0,0.3145680573264447,[0],100.0,3,3,,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
LgPun,1500,0,5,5,5,,58.499527451000176,None,1500,60.519524503004504,None,None,60.519524503004504,None,1.6,6,62.02008915800252,None,None,0,62.02008915800252,None,You lost $5.00!,-4.6,4,5,0.4,50.0,0.3145680573264447,"[0, 0]",100.0,3,3,,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
Triangle,3500,0,6,6,6,,63.95880890201079,None,3500,65.97067122600856,None,None,65.97067122600856,None,1.6,7,69.47899247700116,None,None,0,69.47899247700116,None,You did not win or lose anything!,-4.6,3,5,0.4,42.857142857142854,0.3145680573264447,"[0, 0]",100.0,3,3,,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
LgPun,1500,0,7,7,7,,71.41706529801013,None,1500,73.43779419900966,None,None,73.43779419900966,None,1.6,8,74.93755316900206,None,None,0,74.93755316900206,None,You lost $5.00!,-9.6,4,6,0.42000000000000004,37.5,0.3145680573264447,[],50.0,6,3,,Adjusting RT...,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
SmallReward,1500,0,8,8,8,,76.87604906701017,None,1500,78.88880660998984,None,None,78.88880660998984,None,1.58,9,80.40624748499249,None,1,1,80.40624748499249,None,You won $0.20!,-9.4,2,7,0.42000000000000004,44.44444444444444,0.3079607909967308,[1],50.0,6,3,0.28813899200758897,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
SmallPun,2500,0,9,9,9,,82.37809070100775,None,2500,84.3769156569906,None,None,84.3769156569906,None,1.58,10,86.89872835599817,None,1,1,86.89872835599817,None,You did not lose $0.20!,-9.4,5,8,0.42000000000000004,50.0,0.3056905673991423,"[1, 1]",50.0,6,3,0.2966096730087884,,,038,Scanner,1,2019_Aug_25_1125,MID,3.1.5,24.014113650472417,
