Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,14,14,14,,112.10855733999051,None,1500,114.14296430698596,None,None,114.14296430698596,None,1.52,15,115.67570839996915,None,None,0,,115.67570839996915,None,You lost $5.00!,0.0,4,10,0.48,33.33333333333333,0.33779030860168857,[0],66.66666666666666,9,3,None,0.3484726110473275,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,3500,0,15,15,15,,117.72571943094954,None,3500,119.75931290595327,None,None,119.75931290595327,None,1.52,16,123.30909275595332,None,1,1,0.28729111596476287,123.30909275595332,None,You won $0.20!,0.2,2,11,0.48,37.5,0.3293737764955343,"[0, 1]",66.66666666666666,9,3,None,0.28729111596476287,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,3000,0,16,16,16,,125.36030478699831,None,3000,127.39311558997724,None,None,127.39311558997724,None,1.52,17,130.42632538697217,None,None,0,,130.42632538697217,None,You lost $5.00!,-4.8,4,12,0.5,35.294117647058826,0.3293737764955343,[],49.99999999999999,12,3,None,0.28729111596476287,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,1500,0,17,17,17,,132.4764716309728,None,1500,134.51084135798737,None,None,134.51084135798737,None,1.5,18,136.04370820597978,None,1,1,0.41460520500550047,136.04370820597978,None,You did not win or lose anything!,-4.8,3,12,0.5,38.88888888888889,0.3415496948541009,[],49.99999999999999,12,3,None,0.41460520500550047,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,3500,0,18,18,18,,138.07688807300292,None,3500,140.1106302329572,None,None,140.1106302329572,None,1.5,19,143.65995767200366,None,1,1,0.4382838390301913,143.65995767200366,None,You won $5.00!,0.20000000000000018,1,13,0.5,42.10526315789473,0.3536414628761122,[1],49.99999999999999,12,3,None,0.4382838390301913,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,1500,0,19,19,19,,145.69379628100432,None,1500,147.7281269969535,None,None,147.7281269969535,None,1.5,20,149.26081739395158,None,None,0,,149.26081739395158,None,You lost $5.00!,-4.8,4,14,0.5,40.0,0.3536414628761122,"[1, 0]",49.99999999999999,12,3,None,0.4382838390301913,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,1500,0,20,20,20,,151.3109060979914,None,1500,153.3445599139668,None,None,153.3445599139668,None,1.5,21,154.89451570500387,None,1,1,0.4248776090098545,154.89451570500387,None,You won $0.20!,-4.6,2,15,0.5,42.857142857142854,0.3615565902243058,[],49.99999999999999,15,3,None,0.4248776090098545,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,2000,0,21,21,21,,156.94508186000166,None,2000,158.96792640298372,None,None,158.96792640298372,None,1.5,22,161.0301456739544,None,1,1,0.2800948860240169,161.0301456739544,None,You won $0.20!,-4.3999999999999995,2,16,0.5,45.45454545454545,0.3534104198042769,[1],49.99999999999999,15,3,None,0.2800948860240169,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,2000,0,22,22,22,,163.06161526596406,None,2000,165.08528875699267,None,None,165.08528875699267,None,1.5,23,167.12830118695274,None,None,0,,167.12830118695274,None,You lost $5.00!,-9.399999999999999,4,17,0.5,43.47826086956522,0.3534104198042769,"[1, 0]",49.99999999999999,15,3,None,0.2800948860240169,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,1500,0,23,23,23,,169.16246204898925,None,1500,171.19627749099163,None,None,171.19627749099163,None,1.5,24,172.72877803095616,None,None,0,,172.72877803095616,None,You lost $0.20!,-9.599999999999998,5,18,0.5,41.66666666666667,0.3534104198042769,[],49.99999999999999,18,3,None,0.2800948860240169,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,4000,0,24,24,24,,174.7714739399962,None,4000,176.80446349299746,None,None,176.80446349299746,None,1.5,25,180.8558904179954,None,1,1,0.3015135769965127,180.8558904179954,None,You won $5.00!,-4.599999999999998,1,19,0.5,44.0,0.34869252500357106,[1],49.99999999999999,18,3,None,0.3015135769965127,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,2500,0,25,25,25,,182.9135178499855,None,2500,184.93887175899,None,None,184.93887175899,None,1.5,26,187.48821297800168,None,1,1,0.2962159620365128,187.48821297800168,None,You won $0.20!,-4.399999999999998,2,20,0.5,46.15384615384615,0.3443194780896495,"[1, 1]",49.99999999999999,18,3,None,0.2962159620365128,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,4000,0,26,26,26,,189.5307649569586,None,4000,191.55660456500482,None,None,191.55660456500482,None,1.5,27,195.59766194596887,None,1,1,0.4105974400299601,195.59766194596887,None,You did not win or lose anything!,-4.399999999999998,3,20,0.5,48.148148148148145,0.3494177828542888,"[1, 1]",49.99999999999999,18,3,None,0.4105974400299601,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,2000,0,27,27,27,,197.63053698895965,None,2000,199.65663519699592,None,None,199.65663519699592,None,1.5,28,201.69785851897905,None,None,0,,201.69785851897905,None,You lost $0.20!,-4.599999999999998,5,21,0.5,46.42857142857143,0.3494177828542888,[],49.99999999999999,21,3,None,0.4105974400299601,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,3000,0,28,28,28,,203.74124374199891,None,3000,205.77490237198072,None,None,205.77490237198072,None,1.5,29,208.8241270359722,None,1,1,0.2911304770386778,208.8241270359722,None,You won $0.20!,-4.399999999999998,2,22,0.5,48.275862068965516,0.3452544038674595,[1],49.99999999999999,21,3,None,0.2911304770386778,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,1500,0,29,29,29,,210.8767209269572,None,1500,212.90826047596056,None,None,212.90826047596056,None,1.5,30,214.45983950799564,None,1,1,0.3155593000119552,214.45983950799564,None,You won $5.00!,0.6000000000000023,1,23,0.5,50.0,0.3432747302770925,"[1, 1]",49.99999999999999,21,3,None,0.3155593000119552,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,2000,0,30,30,30,,216.49853452999378,None,2000,218.5262563029537,None,None,218.5262563029537,None,1.5,31,220.56042735796655,None,None,0,,220.56042735796655,None,You lost $0.20!,0.4000000000000023,5,24,0.48,48.38709677419355,0.3432747302770925,[],66.66666666666666,24,3,None,0.3155593000119552,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,2000,0,31,31,31,,222.59928485599812,None,2000,224.6272043879726,None,None,224.6272043879726,None,1.52,32,226.66051660798257,None,None,0,,226.66051660798257,None,You lost $5.00!,-4.599999999999998,4,25,0.48,46.875,0.3432747302770925,[0],66.66666666666666,24,3,None,0.3155593000119552,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,3000,0,32,32,32,,228.71030098898336,None,3000,230.74355159100378,None,None,230.74355159100378,None,1.52,33,233.80030001298292,None,1,1,0.2830082370201126,233.80030001298292,None,You won $5.00!,0.40000000000000213,1,26,0.48,48.484848484848484,0.33950807444853126,"[0, 1]",66.66666666666666,24,3,None,0.2830082370201126,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,3500,0,33,33,33,,235.84951377398102,None,3500,237.87875938694924,None,None,237.87875938694924,None,1.52,34,241.4119660469587,None,None,0,,241.4119660469587,None,You did not win or lose anything!,0.40000000000000213,3,26,0.48,47.05882352941176,0.33950807444853126,"[0, 1]",66.66666666666666,24,3,None,0.2830082370201126,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
