Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,probeDur,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,0,0,0,2000,None,0.5,1.5,[],1,None,0,You lost $0.20!,-0.2,5,1,0.0,nan,[0],0,0,3,,33,001,.5,1,2019_Aug_02_1638,MID,3.0.7,59.75468386847427,
LgReward,4000,0,0,0,0,0,1,1,1,4000,space,0.5,1.5,[],2,None,0,You did not win $5.00!,-0.2,1,2,0.0,nan,"[0, 0]",0,0,3,0.8545759560074657,33,001,.5,1,2019_Aug_02_1638,MID,3.0.7,59.75468386847427,
