Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,1500,0,14,14,14,,124.6943506859825,None,1500,126.72910677798791,None,None,126.72910677798791,None,1.65,15,128.29548043897375,None,1,1,0.28941833903081715,128.29548043897375,None,You won $0.20!,5.2,2,13,0.35,60.0,0.2988122414293078,[1],66.66666666666666,12,3,None,0.28941833903081715,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,1500,0,15,15,15,,130.33354909397895,None,1500,132.36326320498483,None,None,132.36326320498483,None,1.65,16,133.8957023670082,None,None,0,,133.8957023670082,None,You lost $5.00!,0.20000000000000018,4,14,0.35,56.25,0.2988122414293078,"[1, 0]",66.66666666666666,12,3,1,0.3727657979703508,0.022765797970350832,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,2500,0,16,16,16,,135.9466375129996,None,2500,137.98053697799332,None,None,137.98053697799332,None,1.65,17,140.52992003195686,None,1,1,0.26801065099425614,140.52992003195686,None,You won $0.20!,0.4000000000000002,2,15,0.37,58.82352941176471,0.2957320823858026,[],49.99999999999999,15,3,None,0.26801065099425614,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,3000,0,17,17,17,,142.5801335319993,None,3000,144.598567189998,None,1,144.598567189998,None,1.63,18,147.64808423095383,None,None,0,,147.64808423095383,None,You did not win $0.20!,0.4000000000000002,2,16,0.37,55.55555555555556,0.2957320823858026,[0],49.99999999999999,15,3,None,0.26801065099425614,,,0.6594502769876271,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,2000,0,18,18,18,,149.6809586570016,None,2000,151.71600286697503,None,None,151.71600286697503,None,1.63,19,153.7482394379913,None,1,1,0.3077624600264244,153.7482394379913,None,You did not win or lose anything!,0.4000000000000002,3,16,0.37,57.89473684210527,0.2968257530804046,[0],49.99999999999999,15,3,None,0.3077624600264244,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,3500,0,19,19,19,,155.79896186996484,None,3500,157.83263632800663,None,None,157.83263632800663,None,1.63,20,161.38353829400148,None,None,0,,161.38353829400148,None,You did not win $0.20!,0.4000000000000002,2,17,0.37,55.00000000000001,0.2968257530804046,"[0, 0]",49.99999999999999,15,3,1,0.38585131796309724,0.015851317963097245,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,2000,0,20,20,20,,163.4193211919628,None,2000,165.45036631496623,None,None,165.45036631496623,None,1.63,21,167.4848691909574,None,1,1,0.3350425739772618,167.4848691909574,None,You did not lose $5.00!,0.4000000000000002,4,18,0.39,57.14285714285714,0.3000104881551427,[],49.99999999999999,18,3,None,0.3350425739772618,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgReward,3000,0,21,21,21,,169.53344775695587,None,3000,171.56775429600384,None,None,171.56775429600384,None,1.6099999999999999,22,174.61799488199176,None,None,0,,174.61799488199176,None,You did not win $5.00!,0.4000000000000002,1,19,0.39,54.54545454545454,0.3000104881551427,[0],49.99999999999999,18,3,1,0.6980184609862045,0.30801846098620445,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgReward,2000,0,22,22,22,,176.66839405696373,None,2000,178.70213718200102,None,None,178.70213718200102,None,1.6099999999999999,23,180.75259350799024,None,None,0,,180.75259350799024,None,You did not win $5.00!,0.4000000000000002,1,20,0.39,52.17391304347826,0.3000104881551427,"[0, 0]",49.99999999999999,18,3,1,0.41740966400597246,0.027409664005972445,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,3000,0,23,23,23,,182.77020788297523,None,3000,184.80362752900692,None,None,184.80362752900692,None,1.6099999999999999,24,187.83655924996128,None,None,0,,187.83655924996128,None,You did not win or lose anything!,0.4000000000000002,3,20,0.39,50.0,0.3000104881551427,"[0, 0]",49.99999999999999,18,3,1,0.42159036999568344,0.03159036999568343,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
