Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,3000,0,15,15,15,,118.69946927001001,None,3000,120.70420196600026,None,None,120.70420196600026,None,1.5,16,123.71820786001626,None,1,1,123.71820786001626,None,You did not win or lose anything!,-10.2,3,12,0.5,37.5,0.35716932983874966,[],33.33333333333333,12,3,0.3539300470147282,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,1500,0,16,16,16,,125.70003759299289,None,1500,127.71277597401058,None,None,127.71277597401058,None,1.5,17,129.21910124301212,None,None,0,129.21910124301212,None,You lost $0.20!,-10.399999999999999,5,13,0.5,35.294117647058826,0.35716932983874966,[0],33.33333333333333,12,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,3500,0,17,17,17,,131.2000335380144,None,3500,133.21408689999953,None,None,133.21408689999953,None,1.5,18,136.7214956730022,None,None,0,136.7214956730022,None,You did not win or lose anything!,-10.399999999999999,3,13,0.5,33.33333333333333,0.35716932983874966,[0],33.33333333333333,12,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,3000,0,18,18,18,,138.70058889800566,None,3000,140.7152287820063,None,None,140.7152287820063,None,1.5,19,143.7210936830088,None,None,0,143.7210936830088,None,You lost $5.00!,-15.399999999999999,4,14,0.5,31.57894736842105,0.35716932983874966,"[0, 0]",33.33333333333333,12,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,1500,0,19,19,19,,145.7008970210154,None,1500,147.70679699099855,None,None,147.70679699099855,None,1.5,20,149.23388210099074,None,1,1,149.23388210099074,None,You won $5.00!,-10.399999999999999,1,15,0.5,35.0,0.3546121875738858,[],33.33333333333333,15,3,0.3392693339847028,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,1500,0,20,20,20,,151.20260167701053,None,1500,153.21668935200432,None,None,153.21668935200432,None,1.5,21,154.71930658599013,None,None,0,154.71930658599013,None,You lost $5.00!,-15.399999999999999,4,16,0.5,33.33333333333333,0.3546121875738858,[0],33.33333333333333,15,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,1500,0,21,21,21,,156.70117672500783,None,1500,158.7171466430009,None,1,158.7171466430009,None,1.5,22,160.23449192300905,None,None,0,160.23449192300905,None,You did not win $5.00!,-15.399999999999999,1,17,0.5,31.818181818181817,0.3546121875738858,"[0, 0]",33.33333333333333,15,3,,,1.298011872015195,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,1500,0,22,22,22,,162.20404548401712,None,1500,164.2177642369934,None,None,164.2177642369934,None,1.5,23,165.73949172301218,None,None,0,165.73949172301218,None,You did not win $5.00!,-15.399999999999999,1,18,0.5,30.434782608695656,0.3546121875738858,[],16.666666666666664,18,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,1500,0,23,23,23,,167.70181990900892,None,1500,169.71902233100263,None,None,169.71902233100263,None,1.5,24,171.22028172700084,None,1,1,171.22028172700084,None,You did not win or lose anything!,-15.399999999999999,3,18,0.5,33.33333333333333,0.3541450690026977,[],16.666666666666664,18,3,0.350875239004381,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,3500,0,24,24,24,,173.2011029419955,None,3500,175.2197733290086,None,None,175.2197733290086,None,1.5,25,178.73762048699427,None,1,1,178.73762048699427,None,You won $0.20!,-15.2,2,19,0.5,36.0,0.3565091646677401,[1],16.666666666666664,18,3,0.3754219299880788,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
