Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion11.csv,26.21020435699029,None,1500,28.24436430800415,None,None,28.24436430800415,None,1.53,1,29.777021168993087,None,1,1,0.2883800840063486,29.777021168993087,None,You did not lose $0.20!,0,5,1,0.47,100.0,0.2883800840063486,[1],0,0,3,None,0.2883800840063486,,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
LgPun,1500,0,1,1,1,,31.827569795990712,None,1500,33.86078847499448,None,None,33.86078847499448,None,1.53,2,35.393169379996834,None,None,0,,35.393169379996834,None,You lost $5.00!,-5,4,2,0.47,50.0,0.2883800840063486,"[1, 0]",0,0,3,1,0.5798073950124671,0.10980739501246717,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
Triangle,3500,0,2,2,2,,37.42708933800168,None,3500,39.46172218199354,None,None,39.46172218199354,None,1.53,3,42.99470321099216,None,1,1,0.33358925800712314,42.99470321099216,None,You did not win or lose anything!,-5,3,2,0.47,66.66666666666666,0.3109846710067359,"[1, 0]",0,0,3,None,0.33358925800712314,,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
Triangle,1500,0,3,3,3,,45.02831335699011,None,1500,47.04886224599613,None,None,47.04886224599613,None,1.53,4,48.59558999899309,None,None,0,,48.59558999899309,None,You did not win or lose anything!,-5,3,2,0.47,50.0,0.3109846710067359,"[1, 0]",0,0,3,1,0.494693915998796,0.024693915998796,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
LgReward,3500,0,4,4,4,,50.644137188995956,None,3500,52.67912919099035,None,None,52.67912919099035,None,1.53,5,56.22872652299702,None,1,1,0.28868334299477283,56.22872652299702,None,You won $5.00!,0,1,3,0.44999999999999996,60.0,0.3035508950027482,[],66.66666666666666,3,3,None,0.28868334299477283,,Adjusting RT...,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
SmallReward,3000,0,5,5,5,,58.27898714299954,None,3000,60.3132412309933,None,None,60.3132412309933,None,1.55,6,63.36295291699935,None,1,1,0.38434868199692573,63.36295291699935,None,You won $0.20!,0.2,2,4,0.44999999999999996,66.66666666666666,0.3237503417512926,[1],66.66666666666666,3,3,None,0.38434868199692573,,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
SmallPun,1500,0,6,6,6,,65.3957150799979,None,1500,67.41734112499398,None,None,67.41734112499398,None,1.55,7,68.96303914199234,None,1,1,0.3203372779971687,68.96303914199234,None,You did not lose $0.20!,0.2,5,5,0.44999999999999996,71.42857142857143,0.3230677290004678,"[1, 1]",66.66666666666666,3,3,None,0.3203372779971687,,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
SmallReward,1500,0,7,7,7,,71.01317221899808,None,1500,73.04705217199808,None,None,73.04705217199808,None,1.55,8,74.5971170499979,None,None,0,,74.5971170499979,None,You did not win $0.20!,0.2,2,6,0.42999999999999994,62.5,0.3230677290004678,[],66.66666666666666,6,3,1,0.42359105300391087,-0.006408946996089071,Adjusting RT...,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
LgReward,3000,0,8,8,8,,76.64633836399298,None,3000,78.68025326100178,None,None,78.68025326100178,None,1.57,9,81.7203205179976,None,1,1,0.24497881000570487,81.7203205179976,None,You won $5.00!,5.2,1,7,0.42999999999999994,66.66666666666666,0.3100529091680073,[1],66.66666666666666,6,3,None,0.24497881000570487,,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
LgPun,1500,0,9,9,9,,83.74740085800295,None,1500,85.7703820339957,None,None,85.7703820339957,None,1.57,10,87.31366881300346,None,1,1,0.3256260519992793,87.31366881300346,None,You did not lose $5.00!,5.2,4,8,0.42999999999999994,70.0,0.312277643858189,"[1, 1]",66.66666666666666,6,3,None,0.3256260519992793,,,,022,Scanner,2,2019_Sep_10_1059,MID,3.1.5,60.2242980495582,
