TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,0,[],,004,2,practice
1,1,0.2948520729987649,,004,2,practice
5,1,0.2555400740020559,,004,2,practice
4,1,0.2761664249992464,,004,2,practice
3,0,[],,004,2,practice
1,1,0.29752028999791946,,004,2,practice
5,1,0.2101625619980041,,004,2,practice
2,1,0.26318724599696,,004,2,practice
3,0,[],,004,2,practice
1,0,[],,004,2,practice
4,1,0.2625085189938545,,004,2,practice
5,0,[],,004,2,practice
2,0,[],,004,2,practice
4,0,[],,004,2,practice
3,1,0.24487475700152572,,004,2,practice
