Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,TimeVersion5.csv,18.251337018009508,None,2000,20.267832990008174,None,1,0.21035143901826814,20.267832990008174,None,1.68,1,22.26864589098841,None,None,0,22.26864589098841,None,You lost $0.20!,-0.2,5,1,0.32,0.0,nan,[0],0,0,3,None,,,,,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
LgReward,4000,0,1,1,1,,24.3021312780038,None,4000,26.30261116399197,None,None,,26.30261116399197,None,1.68,2,30.319581460993504,None,1,1,30.319581460993504,None,You won $5.00!,4.8,1,2,0.32,50.0,0.27928363499813713,"[0, 1]",0,0,3,None,0.27928363499813713,0.27928363499813713,,,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
SmallPun,3000,0,2,2,2,,32.322036386001855,None,3000,34.353767480002716,None,None,,34.353767480002716,None,1.68,3,37.35337416900438,None,None,0,37.35337416900438,None,You lost $0.20!,4.6,5,3,0.36,33.33333333333333,0.27928363499813713,[],33.33333333333333,3,3,1,0.6150034850137308,,Adjusting RT...,0.2550034850137308,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
SmallReward,2000,0,3,3,3,,39.37065488001099,None,2000,41.387328679003986,None,None,,41.387328679003986,None,1.6400000000000001,4,43.40463523400831,None,None,0,43.40463523400831,None,You did not win $0.20!,4.6,2,4,0.36,25.0,0.27928363499813713,[0],33.33333333333333,3,3,1,0.5416122189920861,,,0.18161221899208613,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
LgPun,2000,0,4,4,4,,45.38821774101234,None,2000,47.421577814006014,None,None,,47.421577814006014,None,1.6400000000000001,5,49.42214852399775,None,1,1,49.42214852399775,None,You did not lose $5.00!,4.6,4,5,0.36,40.0,0.2843015039979946,"[0, 1]",33.33333333333333,3,3,None,0.28931937299785204,0.28931937299785204,,,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
Triangle,2500,0,5,5,5,,51.40771915600635,None,2500,53.43969089598977,None,None,,53.43969089598977,None,1.6400000000000001,6,55.93916171899764,None,1,1,55.93916171899764,None,You did not win or lose anything!,4.6,3,5,0.36,50.0,0.23226286032392332,"[0, 1]",33.33333333333333,3,3,None,0.12818557297578081,0.12818557297578081,,,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
SmallReward,2500,0,6,6,6,,57.939575453987345,None,2500,59.95746668698848,None,None,,59.95746668698848,None,1.6400000000000001,7,62.474247576989,None,1,1,62.474247576989,None,You won $0.20!,4.8,2,6,0.38,57.14285714285714,0.2508671719915583,[],49.99999999999999,6,3,None,0.30668010699446313,0.30668010699446313,Adjusting RT...,,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
SmallReward,1500,0,7,7,7,,64.47442615800537,None,1500,66.49031233700225,None,None,,66.49031233700225,None,1.62,8,68.00812754698563,None,None,0,68.00812754698563,None,You did not win $0.20!,4.8,2,7,0.38,50.0,0.2508671719915583,[0],49.99999999999999,6,3,1,0.6173023349791765,,,0.23730233497917652,0000,Scanner,2,2019_Aug_28_2346,MID,3.1.5,60.01888061632366,
