Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,0,0,0,TimeVersion2.csv,27.590534435003065,None,4000,29.594286563020432,None,None,29.594286563020432,None,1.62,1,33.61241542099742,None,None,0,33.61241542099742,None,You did not win $0.20!,0,2,1,0.37999999999999995,0.0,nan,[0],0,0,3,,,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
Triangle,1500,0,1,1,1,,35.58020734001184,None,1500,37.585258074017474,None,None,37.585258074017474,None,1.62,2,39.09805174800567,None,None,0,39.09805174800567,None,You did not win or lose anything!,0,3,1,0.37999999999999995,0.0,nan,[0],0,0,3,,,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
SmallReward,3000,0,2,2,2,,41.07868569501443,None,3000,43.09617790399352,None,None,43.09617790399352,None,1.62,3,46.112730602006195,None,None,0,46.112730602006195,None,You did not win $0.20!,0,2,2,0.37999999999999995,0.0,nan,"[0, 0]",0,0,3,,,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
SmallPun,1500,0,3,3,3,,48.07924886100227,None,1500,50.09690539402072,None,None,50.09690539402072,None,1.62,4,51.59756312001264,None,None,0,51.59756312001264,None,You lost $0.20!,-0.2,5,3,0.44999999999999996,0.0,nan,[],0.0,3,3,Adjusting RT...,,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
LgPun,1500,0,4,4,4,,53.57877361800638,None,1500,55.59816571199917,None,None,55.59816571199917,None,1.55,5,57.09773261501687,None,1,1,57.09773261501687,None,You did not lose $5.00!,-0.2,4,4,0.44999999999999996,20.0,0.30001861599157564,[1],0.0,3,3,,0.30001861599157564,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
Triangle,1500,0,5,5,5,,59.079643381992355,None,1500,61.09791635701549,None,None,61.09791635701549,None,1.55,6,62.59889537701383,None,1,1,62.59889537701383,None,You did not win or lose anything!,-0.2,3,4,0.44999999999999996,33.33333333333333,0.3084357624902623,[1],0.0,3,3,,0.3168529089889489,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
SmallPun,1500,0,6,6,6,,64.58062389801489,None,1500,66.59854897801415,None,None,66.59854897801415,None,1.55,7,68.0995572929969,None,1,1,68.0995572929969,None,You did not lose $0.20!,-0.2,5,5,0.44999999999999996,42.857142857142854,0.3057265829993412,"[1, 1]",0.0,3,3,,0.300308224017499,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
Triangle,2000,0,7,7,7,,70.08056893199682,None,2000,72.09978198999306,None,None,72.09978198999306,None,1.55,8,74.10059932302102,None,1,1,74.10059932302102,None,You did not win or lose anything!,-0.2,3,5,0.44999999999999996,50.0,0.30658279025374213,"[1, 1]",0.0,3,3,,0.30915141201694496,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
LgReward,2500,0,8,8,8,,76.08100363999256,None,2500,78.10097346900147,None,None,78.10097346900147,None,1.55,9,80.61698039600742,None,1,1,80.61698039600742,None,You won $5.00!,4.8,1,6,0.47,55.55555555555556,0.30502077680430373,[],50.0,6,3,Adjusting RT...,0.2987727230065502,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
LgPun,2500,0,9,9,9,,82.58102536702063,None,2500,84.60152602000744,None,None,84.60152602000744,None,1.53,10,87.10181313101202,None,1,1,87.10181313101202,None,You did not lose $5.00!,4.8,4,7,0.47,60.0,0.3050240145045488,[1],50.0,6,3,,0.30504020300577395,,033,Scanner,2,2019_Aug_27_1254,MID,3.1.5,23.99693472778319,
