Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,15,15,15,,125.27328415797092,None,1500,127.30675913399318,None,None,127.30675913399318,None,1.73,16,128.8403442230192,None,None,0,,128.8403442230192,None,You lost $5.00!,5.0,4,11,0.27,43.75,0.24279770244278812,"[0, 0]",50.0,9,3,None,0.28519921101862566,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,2000,0,16,16,16,,130.87438111397205,None,2000,132.90749316598522,None,None,132.90749316598522,None,1.73,17,134.94124207500136,None,None,0,,134.94124207500136,None,You lost $0.20!,4.8,5,12,0.34,41.17647058823529,0.24279770244278812,[],0.0,12,3,None,0.28519921101862566,Adjusting RT...,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,3000,0,17,17,17,,136.9916055899812,None,3000,139.02531960600754,None,1,139.02531960600754,None,1.66,18,142.0754305680166,None,1,1,0.2462629060028121,142.0754305680166,None,You won $0.20!,5.0,2,13,0.34,44.44444444444444,0.24323085288779112,[1],0.0,12,3,None,0.2462629060028121,,,0.23842056700959802,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,3500,0,18,18,18,,144.1085619960213,None,3500,146.1420805939706,None,None,146.1420805939706,None,1.66,19,149.6757038210053,None,1,1,0.2518921699956991,149.6757038210053,None,You did not lose $5.00!,5.0,4,14,0.34,47.368421052631575,0.24419322145533645,"[1, 1]",0.0,12,3,None,0.2518921699956991,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,1500,0,19,19,19,,151.7095239229966,None,1500,153.7429454550147,None,None,153.7429454550147,None,1.66,20,155.2756056979997,None,1,1,0.2819976069731638,155.2756056979997,None,You did not win or lose anything!,5.0,3,14,0.34,50.0,0.24797366000711918,"[1, 1]",0.0,12,3,None,0.2819976069731638,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,1500,0,20,20,20,,157.30882461299188,None,1500,159.3433870029985,None,None,159.3433870029985,None,1.66,21,160.8758596769767,None,1,1,0.26686829497339204,160.8758596769767,None,You did not lose $5.00!,5.0,4,15,0.36000000000000004,52.38095238095239,0.24969135409496215,[],50.0,15,3,None,0.26686829497339204,Adjusting RT...,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,3500,0,21,21,21,,162.90969060000498,None,3500,164.94360771699576,None,None,164.94360771699576,None,1.64,22,168.47644552198472,None,1,1,0.2652017920045182,168.47644552198472,None,You did not lose $0.20!,5.0,5,16,0.36000000000000004,54.54545454545454,0.25098389058742515,[1],50.0,15,3,None,0.2652017920045182,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,1500,0,22,22,22,,170.54556343099102,None,1500,172.5778656679904,None,None,172.5778656679904,None,1.64,23,174.127186135971,None,1,1,0.22351888997945935,174.127186135971,None,You won $0.20!,5.2,2,17,0.36000000000000004,56.52173913043478,0.24887119823296627,"[1, 1]",50.0,15,3,None,0.22351888997945935,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,2500,0,23,23,23,,176.1770019499818,None,2500,178.21126042702235,None,None,178.21126042702235,None,1.64,24,180.74351306800963,None,1,1,0.22226645395858213,180.74351306800963,None,You did not lose $0.20!,5.2,5,18,0.31000000000000005,58.333333333333336,0.24697085935622454,[],100.0,18,3,None,0.22226645395858213,Adjusting RT...,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,1500,0,24,24,24,,182.7941949950182,None,1500,184.82815952698002,None,None,184.82815952698002,None,1.69,25,186.36163250397658,None,None,0,,186.36163250397658,None,You lost $0.20!,5.0,5,19,0.31000000000000005,56.00000000000001,0.24697085935622454,[0],100.0,18,3,1,0.3240047520399094,,0.014004752039909363,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,2500,0,25,25,25,,188.41155751299812,None,2500,190.44558576401323,None,None,190.44558576401323,None,1.69,26,192.97732876701048,None,1,1,0.22843053803080693,192.97732876701048,None,You did not lose $5.00!,5.0,4,20,0.31000000000000005,57.692307692307686,0.24573483793453002,"[0, 1]",100.0,18,3,None,0.22843053803080693,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,1500,0,26,26,26,,195.04538221599068,None,1500,197.07899996300694,None,None,197.07899996300694,None,1.69,27,198.628536366974,None,None,0,,198.628536366974,None,You did not win $0.20!,5.0,2,21,0.29000000000000004,55.55555555555556,0.24573483793453002,[],66.66666666666666,21,3,1,0.31560958499088887,Adjusting RT...,0.025609584990888834,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,1500,0,27,27,27,,200.67851133598015,None,1500,202.7129642139771,None,None,202.7129642139771,None,1.71,28,204.26190617500106,None,1,1,0.21369827399030328,204.26190617500106,None,You won $5.00!,10.0,1,22,0.29000000000000004,57.14285714285714,0.24373255268801586,[1],66.66666666666666,21,3,None,0.21369827399030328,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
