Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion9.csv,34.55552622899995,None,2000,36.55848216700542,None,None,36.55848216700542,None,1.6400000000000001,1,38.57881647099566,None,None,0,38.57881647099566,None,You did not win or lose anything!,0,3,0,0.36,0.0,nan,[],0,0,3,,,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
Triangle,1500,0,1,1,1,,40.514102546003414,None,1500,42.52725743899646,None,None,42.52725743899646,None,1.6400000000000001,2,44.03115809199517,None,None,0,44.03115809199517,None,You did not win or lose anything!,0,3,0,0.36,0.0,nan,[],0,0,3,,,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
LgPun,2500,0,2,2,2,,45.97286108699336,None,2500,47.980618168003275,None,None,47.980618168003275,None,1.6400000000000001,3,50.49543307100248,None,None,0,50.49543307100248,None,You lost $5.00!,-5,4,1,0.36,0.0,nan,[0],0,0,3,,,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
Triangle,1500,0,3,3,3,,52.431102180999005,None,1500,54.44573596899863,None,None,54.44573596899863,None,1.6400000000000001,4,55.95024102499883,None,None,0,55.95024102499883,None,You did not win or lose anything!,-5,3,1,0.36,0.0,nan,[0],0,0,3,,,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
LgReward,1500,0,4,4,4,,57.890119992996915,None,1500,59.89996885799337,None,None,59.89996885799337,None,1.6400000000000001,5,61.42073930599145,None,None,0,61.42073930599145,None,You did not win $5.00!,-5,1,2,0.36,0.0,nan,"[0, 0]",0,0,3,,,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
SmallPun,1500,0,5,5,5,,63.34814592100156,None,1500,65.36406679300126,None,None,65.36406679300126,None,1.6400000000000001,6,66.86530036899785,None,None,0,66.86530036899785,None,You lost $0.20!,-5.2,5,3,0.43,0.0,nan,[],0.0,3,3,Adjusting RT...,,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
LgPun,4000,0,6,6,6,,68.80699483999342,None,4000,70.81433107299381,None,None,70.81433107299381,None,1.57,7,74.83353302600153,None,None,0,74.83353302600153,None,You lost $5.00!,-10.2,4,4,0.43,0.0,nan,[0],0.0,3,3,,,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
Triangle,3500,0,7,7,7,,76.76474282100389,None,3500,78.78152657399187,None,None,78.78152657399187,None,1.57,8,82.28372706299706,None,1,1,82.28372706299706,None,You did not win or lose anything!,-10.2,3,4,0.43,12.5,0.30548818700481206,[0],0.0,3,3,,0.30548818700481206,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
SmallReward,2500,0,8,8,8,,84.22425467299763,None,2500,86.23484581299999,None,None,86.23484581299999,None,1.57,9,88.75547720499162,None,1,1,88.75547720499162,None,You won $0.20!,-10.0,2,5,0.43,22.22222222222222,0.2911108380067162,"[0, 1]",0.0,3,3,,0.2767334890086204,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
LgPun,2000,0,9,9,9,,90.68306365399621,None,2000,92.70029827099643,None,None,92.70029827099643,None,1.57,10,94.70183072799409,None,1,1,94.70183072799409,None,You did not lose $5.00!,-10.0,4,6,0.47,30.0,0.2905303303365751,[],33.33333333333333,6,3,Adjusting RT...,0.2893693149962928,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
SmallPun,1500,0,10,10,10,,96.64164868400258,None,1500,98.65318863699213,None,None,98.65318863699213,None,1.53,11,100.1599606880045,None,1,1,100.1599606880045,None,You did not lose $0.20!,-10.0,5,7,0.47,36.36363636363637,0.294703229003062,[1],33.33333333333333,6,3,,0.30722192500252277,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
SmallReward,3000,0,11,11,11,,102.14191311100149,None,3000,104.15193437799462,None,None,104.15193437799462,None,1.53,12,107.17454801900021,None,1,1,107.17454801900021,None,You won $0.20!,-9.8,2,8,0.47,41.66666666666667,0.296067492000293,"[1, 1]",33.33333333333333,6,3,,0.3015245439892169,,0042,Scanner,2,2019_Aug_21_1238,MID,3.1.5,24.062328244709484,
