Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion13.csv,43.14582374104066,None,1500,45.15501268504886,None,None,45.15501268504886,None,1.6,1,46.70851164200576,None,None,0,46.70851164200576,None,You lost $5.00!,-5,4,1,0.39999999999999997,0.0,nan,[0],0,0,3,1,0.019912199990358204,0.41991219999035817,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
LgReward,2000,0,1,1,1,,48.72942312300438,None,2000,50.73509889503475,None,None,50.73509889503475,None,1.6,2,52.806035412009805,None,1,1,52.806035412009805,None,You won $5.00!,0,1,2,0.39999999999999997,50.0,0.32324970001354814,"[0, 1]",0,0,3,None,,0.32324970001354814,0.32324970001354814,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
Triangle,4000,0,2,2,2,,54.85490720201051,None,4000,56.868619422020856,None,None,56.868619422020856,None,1.6,3,60.92046378500527,None,None,0,60.92046378500527,None,You did not win or lose anything!,0,3,2,0.39999999999999997,33.33333333333333,0.32324970001354814,"[0, 1]",0,0,3,1,0.02016933698905632,0.4201693369890563,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
LgPun,1500,0,3,3,3,,62.93762953905389,None,1500,64.95309827203164,None,None,64.95309827203164,None,1.6,4,66.49076038401108,None,None,0,66.49076038401108,None,You lost $5.00!,-5,4,3,0.43999999999999995,25.0,0.32324970001354814,[],33.33333333333333,3,3,None,,0.4201693369890563,,Adjusting RT...,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
LgReward,1500,0,4,4,4,,68.52515733102337,None,1500,70.52763773303013,None,None,70.52763773303013,None,1.56,5,72.0553834400489,None,1,1,72.0553834400489,None,You won $5.00!,0,1,4,0.43999999999999995,40.0,0.29157319152727723,[1],33.33333333333333,3,3,None,,0.2598966830410063,0.2598966830410063,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
LgPun,2000,0,5,5,5,,74.10736735101091,None,2000,76.12206620402867,None,None,76.12206620402867,None,1.56,6,78.17121749103535,None,1,1,78.17121749103535,None,You did not lose $5.00!,0,4,5,0.43999999999999995,50.0,0.3074411906806442,"[1, 1]",33.33333333333333,3,3,None,,0.33917718898737803,0.33917718898737803,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
Triangle,3000,0,6,6,6,,80.18956086901017,None,3000,82.20588639401831,None,None,82.20588639401831,None,1.56,7,85.24788606504444,None,1,1,85.24788606504444,None,You did not win or lose anything!,0,3,5,0.43999999999999995,57.14285714285714,0.3137005792668788,"[1, 1]",33.33333333333333,3,3,None,,0.3324787450255826,0.3324787450255826,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
SmallReward,2000,0,7,7,7,,87.27199638303136,None,2000,89.28930522600422,None,None,89.28930522600422,None,1.56,8,91.34124046802754,None,1,1,91.34124046802754,None,You won $0.20!,0.2,2,6,0.41999999999999993,62.5,0.32619144581258297,[],66.66666666666666,6,3,None,,0.37615491199539974,0.37615491199539974,Adjusting RT...,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
Triangle,2000,0,8,8,8,,93.39994007500354,None,2000,95.40766033303225,None,None,95.40766033303225,None,1.58,9,97.41597887600074,None,None,0,97.41597887600074,None,You did not win or lose anything!,0.2,3,6,0.41999999999999993,55.55555555555556,0.32619144581258297,[],66.66666666666666,6,3,None,,0.37615491199539974,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
SmallReward,2500,0,9,9,9,,99.48186211002758,None,2500,101.49258154403651,None,None,101.49258154403651,None,1.58,10,104.05965017603012,None,1,1,104.05965017603012,None,You won $0.20!,0.4,2,7,0.41999999999999993,60.0,0.3227822475115924,[1],66.66666666666666,6,3,None,,0.30573625600663945,0.30573625600663945,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
Triangle,3500,0,10,10,10,,106.10734608001076,None,3500,108.12607061403105,None,None,108.12607061403105,None,1.58,11,111.66700324800331,None,None,0,111.66700324800331,None,You did not win or lose anything!,0.4,3,7,0.41999999999999993,54.54545454545454,0.3227822475115924,[1],66.66666666666666,6,3,None,,0.30573625600663945,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
SmallReward,4000,0,11,11,11,,113.73275143303908,None,4000,115.74417943804292,None,None,115.74417943804292,None,1.58,12,119.81518333102576,None,None,0,119.81518333102576,None,You did not win $0.20!,0.4,2,8,0.41999999999999993,50.0,0.3227822475115924,"[1, 0]",66.66666666666666,6,3,1,0.012625603005290031,0.43262560300528996,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
SmallPun,4000,0,12,12,12,,121.85695594601566,None,4000,123.87805243500043,None,None,123.87805243500043,None,1.58,13,127.91681065800367,None,None,0,127.91681065800367,None,You lost $0.20!,0.2,5,9,0.3999999999999999,46.15384615384615,0.3227822475115924,[],66.66666666666666,9,3,1,0.02602296299301088,0.4260229629930108,,Adjusting RT...,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
SmallReward,1500,0,13,13,13,,129.98499499401078,None,1500,131.99607228703098,None,None,131.99607228703098,None,1.6,14,133.56193272804376,None,None,0,133.56193272804376,None,You did not win $0.20!,0.2,2,10,0.3999999999999999,42.857142857142854,0.3227822475115924,[0],66.66666666666666,9,3,1,0.018062095041386783,0.4180620950413867,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
Triangle,1500,0,14,14,14,,135.60800666501746,None,1500,137.62983885104768,None,None,137.62983885104768,None,1.6,15,139.1695247220341,None,None,0,139.1695247220341,None,You did not win or lose anything!,0.2,3,10,0.3999999999999999,40.0,0.3227822475115924,[0],66.66666666666666,9,3,1,0.027424098982010037,0.42742409898200995,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
LgPun,1500,0,15,15,15,,141.19269161100965,None,1500,143.19752166001126,None,None,143.19752166001126,None,1.6,16,144.75153033202514,None,None,0,144.75153033202514,None,You lost $5.00!,-4.8,4,11,0.3999999999999999,37.5,0.3227822475115924,"[0, 0]",66.66666666666666,9,3,1,0.0151055270107463,0.4151055270107462,,,024,Scanner,1,2019_Aug_30_0922,MID,3.1.5,24.008299554036824,
