cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitterTarget,jitter,fixationResp.keys,feedbackDur,probeResp.keys,probeResp.corr,fixationResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,0,0,0,0.292,1.716,None,1.708,None,0,,,001,2019_Apr_13_1130,MID,3.0.7,60.005023373800604,
,,,,,,,0.341,1.503,space,1.659,None,0,1.0380789720220491,,,,,,,
