Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,TimeVersion5.csv,23.68944871998974,None,2000,25.72383196699957,None,None,25.72383196699957,None,1.66,1,27.756177767994814,None,None,0,27.756177767994814,None,You lost $0.20!,-0.2,5,1,0.34,0.0,nan,[0],0,0,3,1,0.035430755000561476,0.3754307550005615,,,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
LgReward,4000,0,1,1,1,,29.839659966994077,None,4000,31.873438886992517,None,None,31.873438886992517,None,1.66,2,35.92410494899377,None,None,0,35.92410494899377,None,You did not win $5.00!,-0.2,1,2,0.34,0.0,nan,"[0, 0]",0,0,3,1,0.04276041999401059,0.3827604199940106,,,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
SmallPun,3000,0,2,2,2,,37.97358173799876,None,3000,40.00720035599079,None,None,40.00720035599079,None,1.66,3,43.040937455996755,None,1,1,43.040937455996755,None,You did not lose $0.20!,-0.2,5,3,0.38,33.33333333333333,0.2822694750066148,[],33.33333333333333,3,3,None,,0.2822694750066148,0.2822694750066148,Adjusting RT...,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
SmallReward,2000,0,3,3,3,,45.09084983498906,None,2000,47.125195300992345,None,None,47.125195300992345,None,1.62,4,49.174937603995204,None,1,1,49.174937603995204,None,You won $0.20!,0.0,2,4,0.38,50.0,0.2943252300028689,[1],33.33333333333333,3,3,None,,0.30638098499912303,0.30638098499912303,,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
LgPun,2000,0,4,4,4,,51.224167213993496,None,2000,53.2585133889952,None,None,53.2585133889952,None,1.62,5,55.29200460399443,None,None,0,55.29200460399443,None,You lost $5.00!,-5.0,4,5,0.38,40.0,0.2943252300028689,"[1, 0]",33.33333333333333,3,3,1,0.006546794000314549,0.38654679400031455,,,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
Triangle,2500,0,5,5,5,,57.341563284993754,None,2500,59.375747414000216,None,None,59.375747414000216,None,1.62,6,61.9085141409887,None,None,0,61.9085141409887,None,You did not win or lose anything!,-5.0,3,5,0.38,33.33333333333333,0.2943252300028689,"[1, 0]",33.33333333333333,3,3,None,,0.38654679400031455,,,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
SmallReward,2500,0,6,6,6,,63.9750101769896,None,2500,66.00927278399467,None,1,66.00927278399467,None,1.62,7,68.56348876799166,None,None,0,68.56348876799166,None,You did not win $0.20!,-5.0,2,6,0.42,28.57142857142857,0.2943252300028689,[],33.33333333333333,6,3,None,,0.38654679400031455,,Adjusting RT...,2.07905608699366,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
SmallReward,1500,0,7,7,7,,70.62626482199994,None,1500,72.64288096698874,None,None,72.64288096698874,None,1.58,8,74.19275329798984,None,1,1,74.19275329798984,None,You won $0.20!,-4.8,2,7,0.42,37.5,0.28470781666692346,[1],33.33333333333333,6,3,None,,0.26547298999503255,0.26547298999503255,,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
LgReward,1500,0,8,8,8,,76.2427796569973,None,1500,78.27640018999227,None,None,78.27640018999227,None,1.58,9,79.83112524700118,None,1,1,79.83112524700118,None,You won $5.00!,0.20000000000000018,1,8,0.42,44.44444444444444,0.28258342375193024,"[1, 1]",33.33333333333333,6,3,None,,0.27621024500695057,0.27621024500695057,,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
SmallPun,2000,0,9,9,9,,81.87691318499856,None,2000,83.91084753499308,None,None,83.91084753499308,None,1.58,10,85.94406345699099,None,1,1,85.94406345699099,None,You did not lose $0.20!,0.20000000000000018,5,9,0.39999999999999997,50.0,0.2879159732023254,[],66.66666666666666,9,3,None,,0.30924617100390606,0.30924617100390606,Adjusting RT...,,006,Scanner,1,2019_Sep_08_1100,MID,3.1.5,60.695215256092965,
