Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,2000,0,14,14,14,,131.27947371196933,None,2000,133.31240476301173,None,None,133.31240476301173,None,1.65,15,135.36201110400725,None,1,1,0.20331438397988677,135.36201110400725,None,You won $5.00!,5.2,1,11,0.35000000000000003,66.66666666666666,0.24952317071147262,"[1, 1]",33.33333333333333,9,3,None,0.20331438397988677,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,2000,0,15,15,15,,137.39531731500756,None,2000,139.4298052379745,None,None,139.4298052379745,None,1.65,16,141.4621488439734,None,1,1,0.2519906749948859,141.4621488439734,None,You did not lose $0.20!,5.2,5,12,0.32000000000000006,68.75,0.24974748928269203,[],83.33333333333333,12,3,None,0.2519906749948859,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,3000,0,16,16,16,,143.49609679396963,None,3000,145.52989449899178,None,None,145.52989449899178,None,1.68,17,148.56243306800025,None,1,1,0.26481563795823604,148.56243306800025,None,You did not lose $5.00!,5.2,4,13,0.32000000000000006,70.58823529411765,0.25100316833898734,[1],83.33333333333333,12,3,None,0.26481563795823604,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,1500,0,17,17,17,,150.59566817898303,None,1500,152.630265565007,None,None,152.630265565007,None,1.68,18,154.16290628100978,None,1,1,0.26433237502351403,154.16290628100978,None,You did not lose $0.20!,5.2,5,14,0.32000000000000006,72.22222222222221,0.2520284919301048,"[1, 1]",83.33333333333333,12,3,None,0.26433237502351403,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,3000,0,18,18,18,,156.2136524899979,None,3000,158.24747157201637,None,None,158.24747157201637,None,1.68,19,161.29732508497545,None,1,1,0.24593145895050839,161.29732508497545,None,You won $5.00!,10.2,1,15,0.2700000000000001,73.68421052631578,0.25159298957441933,[],100.0,15,3,None,0.24593145895050839,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,4000,0,19,19,19,,163.33044594398234,None,4000,165.36432243097806,None,None,165.36432243097806,None,1.73,20,169.39750309998635,None,None,0,,169.39750309998635,None,You lost $5.00!,5.199999999999999,4,16,0.2700000000000001,70.0,0.25159298957441933,[0],100.0,15,3,None,0.24593145895050839,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,2500,0,20,20,20,,171.4474758579745,None,2500,173.4816792869824,None,None,173.4816792869824,None,1.73,21,176.02055908797774,None,None,0,,176.02055908797774,None,You did not win $0.20!,5.199999999999999,2,17,0.2700000000000001,66.66666666666666,0.25159298957441933,"[0, 0]",100.0,15,3,1,0.2935287719988265,,,0.023528771998826414,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,3500,0,21,21,21,,178.06457694602432,None,3500,180.09892803500406,None,None,180.09892803500406,None,1.73,22,183.6324607770075,None,None,0,,183.6324607770075,None,You lost $5.00!,0.1999999999999993,4,18,0.2900000000000001,63.63636363636363,0.25159298957441933,[],50.0,18,3,None,0.2935287719988265,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,1500,0,22,22,22,,185.66489625902614,None,1500,187.69939208897995,None,None,187.69939208897995,None,1.71,23,189.2324219410075,None,None,0,,189.2324219410075,None,You did not win or lose anything!,0.1999999999999993,3,18,0.2900000000000001,60.86956521739131,0.25159298957441933,[],50.0,18,3,1,0.4250423310068437,,,0.1350423310068436,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,2500,0,23,23,23,,191.29856202099472,None,2500,193.33305480796844,None,None,193.33305480796844,None,1.71,24,195.8828979820246,None,1,1,0.2482461670297198,195.8828979820246,None,You won $5.00!,5.199999999999999,1,19,0.2900000000000001,62.5,0.25136986807143935,[1],50.0,18,3,None,0.2482461670297198,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,1500,0,24,24,24,,197.91627232497558,None,1500,199.938598394976,None,None,199.938598394976,None,1.71,25,201.48268461902626,None,None,0,,201.48268461902626,None,You did not win or lose anything!,5.199999999999999,3,19,0.2900000000000001,60.0,0.25136986807143935,[1],50.0,18,3,1,0.30817843999015176,,,0.018178439990151674,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,2000,0,25,25,25,,203.51664176600752,None,2000,205.53956697398098,None,None,205.53956697398098,None,1.71,26,207.58351196500007,None,None,0,,207.58351196500007,None,You did not win or lose anything!,5.199999999999999,3,19,0.2900000000000001,57.692307692307686,0.25136986807143935,[1],50.0,18,3,1,0.30008002000162387,,,0.01008002000162378,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,4000,0,26,26,26,,209.6163607860217,None,4000,211.65098140697228,None,None,211.65098140697228,None,1.71,27,215.69091515697073,None,None,0,,215.69091515697073,None,You did not win $5.00!,5.199999999999999,1,20,0.2900000000000001,55.55555555555556,0.25136986807143935,"[1, 0]",50.0,18,3,None,0.30008002000162387,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,2500,0,27,27,27,,217.73419341497356,None,2500,219.75848061498255,None,None,219.75848061498255,None,1.71,28,222.30039730202407,None,None,0,,222.30039730202407,None,You did not win or lose anything!,5.199999999999999,3,20,0.2900000000000001,53.57142857142857,0.25136986807143935,"[1, 0]",50.0,18,3,1,0.28773049098439524,,,-0.0022695090156048536,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,2500,0,28,28,28,,224.35123217001092,None,2500,226.38440425501904,None,None,226.38440425501904,None,1.71,29,228.91751495702192,None,None,0,,228.91751495702192,None,You lost $0.20!,4.999999999999999,5,21,0.3400000000000001,51.724137931034484,0.25136986807143935,[],16.666666666666664,21,3,None,0.28773049098439524,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,2000,0,29,29,29,,230.96120594698004,None,2000,232.99352949601598,None,None,232.99352949601598,None,1.66,30,235.04285588499624,None,1,1,0.24034571700030938,235.04285588499624,None,You won $0.20!,5.199999999999999,2,22,0.3400000000000001,53.333333333333336,0.25068085862949374,[1],16.666666666666664,21,3,1,0.24034571700030938,,,0.16558111802442,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,2000,0,30,30,30,,237.1014349280158,None,2000,239.12769711000146,None,None,239.12769711000146,None,1.66,31,241.17794018401764,None,1,1,0.27436745003797114,241.17794018401764,None,You won $5.00!,10.2,1,23,0.3400000000000001,54.83870967741935,0.25207418753587474,"[1, 1]",16.666666666666664,21,3,None,0.27436745003797114,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,2000,0,31,31,31,,243.21865539101418,None,2000,245.24549937801203,None,None,245.24549937801203,None,1.66,32,247.28530988597777,None,None,0,,247.28530988597777,None,You lost $0.20!,10.0,5,24,0.3600000000000001,53.125,0.25207418753587474,[],49.99999999999999,24,3,1,0.36740582798607657,,Adjusting RT...,0.007405827986076474,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,1500,0,32,32,32,,249.33614590001525,None,1500,251.3620061270194,None,None,251.3620061270194,None,1.64,33,252.89675828599138,None,1,1,0.33640688902232796,252.89675828599138,None,You did not lose $0.20!,10.0,5,25,0.3600000000000001,54.54545454545454,0.2567593376184555,[1],49.99999999999999,24,3,None,0.33640688902232796,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,1500,0,33,33,33,,254.96260820998577,None,1500,256.99659369699657,None,None,256.99659369699657,None,1.64,34,258.5465912389918,None,1,1,0.26266012201085687,258.5465912389918,None,You won $0.20!,10.2,2,26,0.3600000000000001,55.88235294117647,0.25706990521805556,"[1, 1]",49.99999999999999,24,3,None,0.26266012201085687,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,1500,0,34,34,34,,260.596308749984,None,1500,262.63092829700327,None,None,262.63092829700327,None,1.64,35,264.1801020029816,None,1,1,0.2550473239971325,264.1801020029816,None,You won $0.20!,10.399999999999999,2,27,0.33000000000000007,57.14285714285714,0.2569687761570094,[],83.33333333333333,27,3,None,0.2550473239971325,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,1500,0,35,35,35,,266.2037381809787,None,1500,268.23198707198026,None,None,268.23198707198026,None,1.67,36,269.7705900389701,None,1,1,0.2586883640033193,269.7705900389701,None,You did not lose $5.00!,10.399999999999999,4,28,0.33000000000000007,58.333333333333336,0.257050661292548,[1],83.33333333333333,27,3,None,0.2586883640033193,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,4000,0,36,36,36,,271.83170296798926,None,4000,273.8656086970004,None,None,273.8656086970004,None,1.67,37,277.9157509789802,None,1,1,0.2733962240163237,277.9157509789802,None,You won $0.20!,10.599999999999998,2,29,0.33000000000000007,59.45945945945946,0.25779364141635597,"[1, 1]",83.33333333333333,27,3,None,0.2733962240163237,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,1500,0,37,37,37,,279.9546171249822,None,1500,281.98356248100754,None,None,281.98356248100754,None,1.67,38,283.51813642901834,None,None,0,,283.51813642901834,None,You lost $0.20!,10.399999999999999,5,30,0.30000000000000004,57.89473684210527,0.25779364141635597,[],83.33333333333333,30,3,None,0.2733962240163237,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,2000,0,38,38,38,,285.5675789859961,None,2000,287.60016640200047,None,None,287.60016640200047,None,1.7,39,289.6513397290255,None,None,0,,289.6513397290255,None,You did not win $0.20!,10.399999999999999,2,31,0.30000000000000004,56.41025641025641,0.25779364141635597,[0],83.33333333333333,30,3,1,0.29046625400660564,,,-0.009533745993394405,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,3500,0,39,39,39,,291.6885373200057,None,3500,293.71800128300674,None,None,293.71800128300674,None,1.7,40,297.2516251199995,None,1,1,0.2606502830167301,297.2516251199995,None,You did not lose $0.20!,10.399999999999999,5,32,0.30000000000000004,57.49999999999999,0.2579178432250679,"[0, 1]",83.33333333333333,30,3,None,0.2606502830167301,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,1500,0,40,40,40,,299.2892053659889,None,1500,301.31918237701757,None,None,301.31918237701757,None,1.7,41,302.85246857698075,None,None,0,,302.85246857698075,None,You did not win or lose anything!,10.399999999999999,3,32,0.30000000000000004,56.09756097560976,0.2579178432250679,"[0, 1]",83.33333333333333,30,3,1,0.3260136770084501,,,0.02601367700845003,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,1500,0,41,41,41,,304.8895364989876,None,1500,306.9198009480024,None,None,306.9198009480024,None,1.7,42,308.4527712489944,None,None,0,,308.4527712489944,None,You lost $0.20!,10.2,5,33,0.32000000000000006,54.761904761904766,0.2579178432250679,[],49.99999999999999,33,3,None,0.3260136770084501,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,2000,0,42,42,42,,310.48630454501836,None,2000,312.52125581202563,None,None,312.52125581202563,None,1.68,43,314.5536327629816,None,None,0,,314.5536327629816,None,You lost $5.00!,5.199999999999999,4,34,0.32000000000000006,53.48837209302325,0.2579178432250679,[0],49.99999999999999,33,3,None,0.3260136770084501,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,1500,0,43,43,43,,316.59035263297847,None,1500,318.6212962900172,None,None,318.6212962900172,None,1.68,44,320.15457979700295,None,1,1,0.22568309400230646,320.15457979700295,None,You did not lose $5.00!,5.199999999999999,4,35,0.32000000000000006,54.54545454545454,0.2565747286741195,"[0, 1]",49.99999999999999,33,3,None,0.22568309400230646,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,1500,0,44,44,44,,322.20584922097623,None,1500,324.2222237479873,None,None,324.2222237479873,None,1.68,45,325.7717177339946,None,1,1,0.26255574997048825,325.7717177339946,None,You won $0.20!,5.3999999999999995,2,36,0.3400000000000001,55.55555555555556,0.25681396952597424,[],49.99999999999999,36,3,None,0.26255574997048825,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,4000,0,45,45,45,,327.8075471469783,None,4000,329.83942699298495,None,None,329.83942699298495,None,1.66,46,333.8726479259785,None,1,1,0.27262637502280995,333.8726479259785,None,You did not win or lose anything!,5.3999999999999995,3,36,0.3400000000000001,56.52173913043478,0.25742213896816024,[],49.99999999999999,36,3,None,0.27262637502280995,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,1500,0,46,46,46,,335.92312084598234,None,1500,337.9571457449929,None,None,337.9571457449929,None,1.66,47,339.5084516360075,None,1,1,0.30368262802949175,339.5084516360075,None,You won $5.00!,10.399999999999999,1,37,0.3400000000000001,57.446808510638306,0.2591354904148762,[1],49.99999999999999,36,3,None,0.30368262802949175,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,1500,0,47,47,47,,341.5741326069692,None,1500,343.6077629639767,None,None,343.6077629639767,None,1.66,48,345.15795884002,None,1,1,0.2673070220043883,345.15795884002,None,You won $0.20!,10.599999999999998,2,38,0.3400000000000001,58.333333333333336,0.2594273308287874,"[1, 1]",49.99999999999999,36,3,None,0.2673070220043883,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,1500,0,48,48,48,,347.2080036990228,None,1500,349.24223448097473,None,None,349.24223448097473,None,1.66,49,350.79160537099233,None,1,1,0.2235629499773495,350.79160537099233,None,You won $5.00!,15.599999999999998,1,39,0.31000000000000005,59.183673469387756,0.2581906280408067,[],83.33333333333333,39,3,None,0.2235629499773495,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,1500,0,49,49,49,,352.8256284869858,None,1500,354.85949606401846,None,None,354.85949606401846,None,1.69,50,356.3925345179741,None,1,1,0.2626844639889896,356.3925345179741,None,You did not lose $5.00!,15.599999999999998,4,40,0.31000000000000005,60.0,0.25834042257241285,[1],83.33333333333333,39,3,None,0.2626844639889896,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
