Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,15,15,15,,120.92147484398447,None,1500,122.93060771998717,None,None,122.93060771998717,None,1.56,16,124.46066808298929,None,None,0,124.46066808298929,None,You did not win $5.00!,0.2000000000000009,1,11,0.43999999999999995,43.75,0.31393873785938403,"[0, 0]",83.33333333333333,9,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,3000,0,16,16,16,,126.37965583999176,None,3000,128.3948202629981,None,None,128.3948202629981,None,1.56,17,131.41087211298873,None,None,0,131.41087211298873,None,You did not win $5.00!,0.2000000000000009,1,12,0.4799999999999999,41.17647058823529,0.31393873785938403,[],33.33333333333333,12,3,,Adjusting RT...,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallReward,1500,0,17,17,17,,133.33877649198985,None,1500,135.3480488320056,None,None,135.3480488320056,None,1.52,18,136.87849048900534,None,1,1,136.87849048900534,None,You won $0.20!,0.4000000000000009,2,13,0.4799999999999999,44.44444444444444,0.31527753725094954,[1],33.33333333333333,12,3,,,0.3246491329919081,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,1500,0,18,18,18,,138.79696147798677,None,1500,140.81209974599187,None,None,140.81209974599187,None,1.52,19,142.31163758100593,None,1,1,142.31163758100593,None,You did not lose $5.00!,0.4000000000000009,4,14,0.4799999999999999,47.368421052631575,0.3164133108900084,"[1, 1]",33.33333333333333,12,3,,,0.3254995000024792,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallReward,2000,0,19,19,19,,144.25761661998695,None,2000,146.2648384119966,None,None,146.2648384119966,None,1.52,20,148.28353551600594,None,1,1,148.28353551600594,None,You won $0.20!,0.600000000000001,2,15,0.49999999999999994,50.0,0.3173327437019907,[],50.0,15,3,,Adjusting RT...,0.3256076390098315,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,3000,0,20,20,20,,150.21594754199032,None,3000,152.23190553300083,None,None,152.23190553300083,None,1.5,21,155.23241062098532,None,None,0,155.23241062098532,None,You lost $0.20!,0.40000000000000097,5,16,0.49999999999999994,47.61904761904761,0.3173327437019907,[0],50.0,15,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,3500,0,21,21,21,,157.21817190898582,None,3500,159.23266824998427,None,None,159.23266824998427,None,1.5,22,162.74898521299474,None,1,1,162.74898521299474,None,You won $5.00!,5.400000000000001,1,17,0.49999999999999994,50.0,0.3228518224575303,"[0, 1]",50.0,15,3,,,0.37804261001292616,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,4000,0,22,22,22,,164.71534208700177,None,4000,166.73328665300505,None,None,166.73328665300505,None,1.5,23,170.73399209600757,None,1,1,170.73399209600757,None,You did not lose $5.00!,5.400000000000001,4,18,0.47,52.17391304347826,0.32578400617057923,[],83.33333333333333,18,3,,Adjusting RT...,0.3580380270141177,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,2000,0,23,23,23,,172.71550507299253,None,2000,174.73477912999806,None,None,174.73477912999806,None,1.53,24,176.734479139006,None,None,0,176.734479139006,None,You did not win or lose anything!,5.400000000000001,3,18,0.47,50.0,0.32578400617057923,[],83.33333333333333,18,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,4000,0,24,24,24,,178.71576591199846,None,4000,180.73531745100627,None,None,180.73531745100627,None,1.53,25,184.7626427380019,None,None,0,184.7626427380019,None,You did not win $5.00!,5.400000000000001,1,19,0.47,48.0,0.32578400617057923,[0],83.33333333333333,18,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,3000,0,25,25,25,,186.6743494629918,None,3000,188.68634190200828,None,None,188.68634190200828,None,1.53,26,191.69147439900553,None,1,1,191.69147439900553,None,You did not lose $5.00!,5.400000000000001,4,20,0.47,50.0,0.3266980369270851,"[0, 1]",83.33333333333333,18,3,,,0.3376664060051553,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,1500,0,26,26,26,,193.63321714600897,None,1500,195.6386046539992,None,None,195.6386046539992,None,1.53,27,197.154633765982,None,None,0,197.154633765982,None,You did not win or lose anything!,5.400000000000001,3,20,0.47,48.148148148148145,0.3266980369270851,"[0, 1]",83.33333333333333,18,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,1500,0,27,27,27,,199.13333273198805,None,1500,201.13945324899396,None,None,201.13945324899396,None,1.53,28,202.65558016800787,None,1,1,202.65558016800787,None,You did not lose $5.00!,5.400000000000001,4,21,0.44999999999999996,50.0,0.32611653571698945,[],66.66666666666666,21,3,,Adjusting RT...,0.3185570199857466,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallReward,2000,0,28,28,28,,204.63370624699746,None,2000,206.63815581900417,None,None,206.63815581900417,None,1.55,29,208.66158569199615,None,1,1,208.66158569199615,None,You won $0.20!,5.600000000000001,2,22,0.44999999999999996,51.724137931034484,0.32427924846997486,[1],66.66666666666666,21,3,,,0.29855722701177,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,1500,0,29,29,29,,210.63576611800818,None,1500,212.64082708698697,None,None,212.64082708698697,None,1.55,30,214.15581613700488,None,1,1,214.15581613700488,None,You did not lose $5.00!,5.600000000000001,4,23,0.44999999999999996,53.333333333333336,0.3237784790035221,"[1, 1]",66.66666666666666,21,3,,,0.3162669370067306,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallReward,1500,0,30,30,30,,216.13434751098976,None,1500,218.14078146399697,None,None,218.14078146399697,None,1.55,31,219.66409288198338,None,1,1,219.66409288198338,None,You won $0.20!,5.800000000000002,2,24,0.41999999999999993,54.83870967741935,0.32408870882628593,[],83.33333333333333,24,3,,Adjusting RT...,0.3290523859905079,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,3500,0,31,31,31,,221.6338374640036,None,3500,223.64050088700606,None,1,223.64050088700606,None,1.58,32,227.15824302498368,None,None,0,227.15824302498368,None,You lost $0.20!,5.600000000000001,5,25,0.41999999999999993,53.125,0.32408870882628593,[0],83.33333333333333,24,3,0.4416479880164843,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,4000,0,32,32,32,,229.13458072199137,None,4000,231.14208296799916,None,None,231.14208296799916,None,1.58,33,235.1584846850019,None,None,0,235.1584846850019,None,You did not win or lose anything!,5.600000000000001,3,25,0.41999999999999993,51.515151515151516,0.32408870882628593,[0],83.33333333333333,24,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
