TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.1800944689894095,,0000,2,practice
1,1,0.2193591760005802,,0000,2,practice
5,1,0.25893280198215507,,0000,2,practice
4,1,0.2108188759884797,,0000,2,practice
3,1,0.201429207023466,,0000,2,practice
1,1,0.1913439570053015,,0000,2,practice
5,1,0.20830900900182314,,0000,2,practice
2,0,[],,0000,2,practice
3,0,[],,0000,2,practice
1,0,[],,0000,2,practice
4,0,[],,0000,2,practice
5,1,0.19668237399309874,,0000,2,practice
2,0,[],,0000,2,practice
4,0,[],,0000,2,practice
3,1,0.13837745998171158,,0000,2,practice
