cue,probe,feedbackText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,jitterTarget,key_resp_3.keys,key_resp_3.rt,feedbackDur,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,1.767,0.244,space,1.7365348269813694,,,,,001,2019_Apr_09_1541,MID,3.0.7,60.220050465024904,
images/WinBig.BMP,images/LoseProbe.BMP,You lost $0.20,0,0,0,3,1.693,0.286,,,1.714,space,5.40203192998888,,001,2019_Apr_09_1541,MID,3.0.7,60.220050465024904,
,,,,,,,1.816,0.305,,,1.695,,,,,,,,,
