Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,15,15,15,,129.12119785899995,None,1500,131.1376701539848,None,None,131.1376701539848,None,1.57,16,132.63819407200208,None,1,1,132.63819407200208,None,You did not lose $5.00!,-4.6,4,11,0.42999999999999994,50.0,0.2631118206263636,"[0, 1]",66.66666666666666,9,3,0.3011450119956862,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,2000,0,16,16,16,,134.5798865329998,None,2000,136.58632204000605,None,None,136.58632204000605,None,1.57,17,138.60327793899341,None,None,0,138.60327793899341,None,You lost $0.20!,-4.8,5,12,0.4099999999999999,47.05882352941176,0.2631118206263636,[],66.66666666666666,12,3,,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,3000,0,17,17,17,,140.53838286700193,None,3000,142.5544927319861,None,None,142.5544927319861,None,1.59,18,145.57125410900335,None,None,0,145.57125410900335,None,You did not win $0.20!,-4.8,2,13,0.4099999999999999,44.44444444444444,0.2631118206263636,[0],66.66666666666666,12,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,3500,0,18,18,18,,147.54056486699847,None,3500,149.55619705299614,None,None,149.55619705299614,None,1.59,19,153.05598314799136,None,None,0,153.05598314799136,None,You lost $5.00!,-9.8,4,14,0.4099999999999999,42.10526315789473,0.2631118206263636,"[0, 0]",66.66666666666666,12,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
Triangle,1500,0,19,19,19,,155.04013438199763,None,1500,157.0448258779943,None,None,157.0448258779943,None,1.59,20,158.5575677320012,None,None,0,158.5575677320012,None,You did not win or lose anything!,-9.8,3,14,0.4099999999999999,40.0,0.2631118206263636,"[0, 0]",66.66666666666666,12,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,1500,0,20,20,20,,160.5381807849917,None,1500,162.55710465699667,None,None,162.55710465699667,None,1.59,21,164.0578743960068,None,None,0,164.0578743960068,None,You lost $5.00!,-14.8,4,15,0.4599999999999999,38.095238095238095,0.2631118206263636,[],16.666666666666664,15,3,,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,3500,0,21,21,21,,166.03970257000765,None,3500,168.04478331000428,None,None,168.04478331000428,None,1.54,22,171.55862610499025,None,1,1,171.55862610499025,None,You did not lose $0.20!,-14.8,5,16,0.4599999999999999,40.909090909090914,0.2702895327788105,[1],16.666666666666664,15,3,0.32771122999838553,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,1500,0,22,22,22,,173.53941124200355,None,1500,175.5593707539956,None,None,175.5593707539956,None,1.54,23,177.07505193498218,None,1,1,177.07505193498218,None,You won $0.20!,-14.600000000000001,2,17,0.4599999999999999,43.47826086956522,0.2761942065029871,"[1, 1]",16.666666666666664,15,3,0.3293362700205762,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,2500,0,23,23,23,,179.0395768939925,None,2500,181.05995996599086,None,None,181.05995996599086,None,1.54,24,183.5600279640057,None,1,1,183.5600279640057,None,You did not lose $0.20!,-14.600000000000001,5,18,0.4799999999999999,45.83333333333333,0.2794633411844684,[],50.0,18,3,0.31215468799928203,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,1500,0,24,24,24,,185.54037527300534,None,1500,187.5609110679943,None,None,187.5609110679943,None,1.52,25,189.06142943599843,None,None,0,189.06142943599843,None,You lost $0.20!,-14.8,5,19,0.4799999999999999,44.0,0.2794633411844684,[0],50.0,18,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,2500,0,25,25,25,,190.99917480300064,None,2500,193.01123301699408,None,1,193.01123301699408,None,1.52,26,195.5166105669923,None,1,1,195.5166105669923,None,You did not lose $5.00!,-14.8,4,20,0.4799999999999999,46.15384615384615,0.2801504885016281,"[0, 1]",50.0,18,3,0.28770910899038427,0.35800548500264995,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,1500,0,26,26,26,,197.45787827999447,None,1500,199.47836656399886,None,None,199.47836656399886,None,1.52,27,200.98626166398753,None,1,1,200.98626166398753,None,You won $0.20!,-14.600000000000001,2,21,0.44999999999999996,48.148148148148145,0.2830683698479194,[],83.33333333333333,21,3,0.3180829460034147,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,1500,0,27,27,27,,202.91798603598727,None,1500,204.93003695699736,None,None,204.93003695699736,None,1.55,28,206.44618114398327,None,1,1,206.44618114398327,None,You won $5.00!,-9.600000000000001,1,22,0.44999999999999996,50.0,0.2850713979299014,[1],83.33333333333333,21,3,0.31111076299566776,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,2500,0,28,28,28,,208.41857519099722,None,2500,210.4306013410096,None,None,210.4306013410096,None,1.55,29,212.9478894729982,None,1,1,212.9478894729982,None,You won $5.00!,-4.600000000000001,1,23,0.44999999999999996,51.724137931034484,0.2850294618673312,"[1, 1]",83.33333333333333,21,3,0.2844423569913488,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,2000,0,29,29,29,,214.91841647200636,None,2000,216.93097772699548,None,None,216.93097772699548,None,1.55,30,218.93869204100338,None,1,1,218.93869204100338,None,You did not lose $0.20!,-4.600000000000001,5,24,0.41999999999999993,53.333333333333336,0.28699782749936276,[],83.33333333333333,24,3,0.31652331197983585,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,1500,0,30,30,30,,220.91596777600353,None,1500,222.9323340219853,None,None,222.9323340219853,None,1.58,31,224.45054186700145,None,None,0,224.45054186700145,None,You did not win $0.20!,-4.600000000000001,2,25,0.41999999999999993,51.61290322580645,0.28699782749936276,[0],83.33333333333333,24,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallPun,1500,0,31,31,31,,226.4180221800052,None,1500,228.4223279680009,None,None,228.4223279680009,None,1.58,32,229.93306664199918,None,None,0,229.93306664199918,None,You lost $0.20!,-4.800000000000002,5,26,0.41999999999999993,50.0,0.28699782749936276,"[0, 0]",83.33333333333333,24,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
