Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,14,14,14,,123.28360936098034,None,1500,125.29384290298913,None,None,125.29384290298913,None,1.56,15,126.84343916299986,None,1,1,126.84343916299986,None,You did not lose $0.20!,4.8,5,14,0.43999999999999984,53.333333333333336,0.32468266774958465,"[1, 1]",66.66666666666666,12,3,None,0.31805515300948173,0.31805515300948173,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallPun,2000,0,15,15,15,,128.8677794020041,None,2000,130.87779445399065,None,None,130.87779445399065,None,1.56,16,132.92811782000354,None,1,1,132.92811782000354,None,You did not lose $0.20!,4.8,5,15,0.4099999999999998,56.25,0.32810350944701994,[],83.33333333333333,15,3,None,0.35547024302650243,0.35547024302650243,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,3500,0,16,16,16,,134.95069063897245,None,3500,136.96194395096973,None,None,136.96194395096973,None,1.5900000000000003,17,140.52823954698397,None,1,1,140.52823954698397,None,You won $5.00!,9.8,1,16,0.4099999999999998,58.82352941176471,0.3282289942028001,[1],83.33333333333333,15,3,None,0.3293583570048213,0.3293583570048213,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,3000,0,17,17,17,,142.5798171759816,None,3000,144.59608541300986,None,None,144.59608541300986,None,1.5900000000000003,18,147.64609514700714,None,1,1,147.64609514700714,None,You won $5.00!,14.8,1,17,0.4099999999999998,61.111111111111114,0.3282538112729195,"[1, 1]",83.33333333333333,15,3,None,0.32850198197411373,0.32850198197411373,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,3500,0,18,18,18,,149.70399235701188,None,3500,151.71311021299334,None,None,151.71311021299334,None,1.5900000000000003,19,155.27987223298987,None,1,1,155.27987223298987,None,You won $0.20!,15.0,2,18,0.3599999999999998,63.1578947368421,0.32619886558677536,[],100.0,18,3,None,0.3035944630391896,0.3035944630391896,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
Triangle,3500,0,19,19,19,,157.32650797901442,None,3500,159.33274838601938,None,None,159.33274838601938,None,1.6400000000000001,20,162.88647566799773,None,None,0,162.88647566799773,None,You did not win or lose anything!,15.0,3,18,0.3599999999999998,60.0,0.32619886558677536,[],100.0,18,3,1,0.3531532869813962,,,-0.006846713018603623,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallPun,1500,0,20,20,20,,164.9099749670131,None,1500,166.93273462797515,None,None,166.93273462797515,None,1.6400000000000001,21,168.4817214810173,None,None,0,168.4817214810173,None,You lost $0.20!,14.8,5,19,0.3599999999999998,57.14285714285714,0.32619886558677536,[0],100.0,18,3,1,0.3587462709541431,,,-0.001253729045856744,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,1500,0,21,21,21,,170.4945915340213,None,1500,172.50027229299303,None,None,172.50027229299303,None,1.6400000000000001,22,174.0659586369875,None,None,0,174.0659586369875,None,You did not win $0.20!,14.8,2,20,0.3599999999999998,54.54545454545454,0.32619886558677536,"[0, 0]",100.0,18,3,1,0.3522396470210513,,,-0.007760352978948504,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,1500,0,22,22,22,,176.1195069690002,None,1500,178.12236690201098,None,None,178.12236690201098,None,1.6400000000000001,23,179.63740690401755,None,None,0,179.63740690401755,None,You lost $5.00!,9.8,4,21,0.37999999999999984,52.17391304347826,0.32619886558677536,[],50.0,21,3,1,0.37847748799948006,,Adjusting RT...,-0.0015225120005197823,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
Triangle,3000,0,23,23,23,,181.66115399898263,None,3000,183.66823956201551,None,None,183.66823956201551,None,1.62,24,186.7205988210044,None,None,0,186.7205988210044,None,You did not win or lose anything!,9.8,3,21,0.37999999999999984,50.0,0.32619886558677536,[],50.0,21,3,None,0.37847748799948006,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
