Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,14,14,14,,119.48279187699518,None,2000,121.50344506499823,None,None,121.50344506499823,None,1.6,15,123.56615027999942,None,1,1,123.56615027999942,None,You won $0.20!,4.8,2,13,0.3999999999999999,53.333333333333336,0.29189407512603793,[1],83.33333333333333,12,3,None,0.30488861900084885,,,,0.30488861900084885,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,2000,0,15,15,15,,125.59956772099395,None,2000,127.63339221199567,None,None,127.63339221199567,None,1.6,16,129.6660239519988,None,1,1,129.6660239519988,None,You did not lose $0.20!,4.8,5,14,0.3999999999999999,56.25,0.2889095290011028,"[1, 1]",83.33333333333333,12,3,None,0.2650331600016216,,,,0.2650331600016216,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,1500,0,16,16,16,,131.70020892299362,None,1500,133.7337611289986,None,None,133.7337611289986,None,1.6,17,135.26656516799994,None,None,0,135.26656516799994,None,You lost $5.00!,-0.20000000000000018,4,15,0.3799999999999999,52.94117647058824,0.2889095290011028,[],66.66666666666666,15,3,1,0.3828925199949298,,0.0028925199949298985,Adjusting RT...,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,3500,0,17,17,17,,137.3337619869999,None,3500,139.3677310829953,None,None,139.3677310829953,None,1.62,18,142.9176401339937,None,1,1,142.9176401339937,None,You won $5.00!,4.8,1,16,0.3799999999999999,55.55555555555556,0.29075881370081336,[1],66.66666666666666,15,3,None,0.3074023759982083,,,,0.3074023759982083,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,1500,0,18,18,18,,144.9677092369966,None,1500,147.00144898799772,None,None,147.00144898799772,None,1.62,19,148.5346027619962,None,None,0,148.5346027619962,None,You did not win or lose anything!,4.8,3,16,0.3799999999999999,52.63157894736842,0.29075881370081336,[1],66.66666666666666,15,3,1,0.37763656099821663,,-0.002363439001783263,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,2000,0,19,19,19,,150.58480340700044,None,2000,152.61881668999558,None,None,152.61881668999558,None,1.62,20,154.65113961699535,None,1,1,154.65113961699535,None,You did not lose $0.20!,4.8,5,17,0.3799999999999999,55.00000000000001,0.2878630945461654,"[1, 1]",66.66666666666666,15,3,None,0.2589059029996861,,,,0.2589059029996861,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,2000,0,20,20,20,,156.70126027299557,None,2000,158.72436048699456,None,None,158.72436048699456,None,1.62,21,160.76908987299976,None,1,1,160.76908987299976,None,You did not win or lose anything!,4.8,3,17,0.3799999999999999,57.14285714285714,0.28537227266739745,"[1, 1]",66.66666666666666,15,3,None,0.2579732320009498,,,,0.2579732320009498,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,1500,0,21,21,21,,162.82691187599994,None,1500,164.85947948599642,None,None,164.85947948599642,None,1.62,22,166.41865641599725,None,1,1,166.41865641599725,None,You won $0.20!,5.0,2,18,0.34999999999999987,59.09090909090909,0.2898259186924686,[],83.33333333333333,18,3,None,0.3432696709933225,,,Adjusting RT...,0.3432696709933225,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,1500,0,22,22,22,,168.45236537199526,None,1500,170.4761020299993,None,None,170.4761020299993,None,1.6500000000000001,23,172.01918287099397,None,1,1,172.01918287099397,None,You did not win or lose anything!,5.0,3,18,0.34999999999999987,60.86956521739131,0.2916827729999828,[],83.33333333333333,18,3,None,0.3158218789976672,,,,0.3158218789976672,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,3000,0,23,23,23,,174.06140127499384,None,3000,176.09387447499466,None,None,176.09387447499466,None,1.6500000000000001,24,179.14390578899474,None,1,1,179.14390578899474,None,You won $0.20!,5.2,2,19,0.34999999999999987,62.5,0.2883064972663609,[1],83.33333333333333,18,3,None,0.2410386369956541,,,,0.2410386369956541,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,1500,0,24,24,24,,181.2027967279937,None,1500,183.22854956599622,None,None,183.22854956599622,None,1.6500000000000001,25,184.77741410899762,None,None,0,184.77741410899762,None,You did not win $5.00!,5.2,1,20,0.34999999999999987,60.0,0.2883064972663609,"[1, 0]",83.33333333333333,18,3,1,0.37132413599611014,,0.02132413599611027,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,2000,0,25,25,25,,186.82055331199808,None,2000,188.84592752399476,None,None,188.84592752399476,None,1.6500000000000001,26,190.8875030929994,None,1,1,190.8875030929994,None,You did not win or lose anything!,5.2,3,20,0.34999999999999987,61.53846153846154,0.28869752749960753,"[1, 0]",83.33333333333333,18,3,None,0.29456298099830747,,,,0.29456298099830747,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,2000,0,26,26,26,,192.92048700199666,None,2000,194.94576016299834,None,None,194.94576016299834,None,1.6500000000000001,27,196.99589276399638,None,1,1,196.99589276399638,None,You won $0.20!,5.4,2,21,0.31999999999999984,62.96296296296296,0.2879517098819419,[],83.33333333333333,21,3,None,0.2760186279992922,,,Adjusting RT...,0.2760186279992922,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,1500,0,27,27,27,,199.03747676299827,None,1500,201.06378550199588,None,None,201.06378550199588,None,1.6800000000000002,28,202.60439111799496,None,None,0,202.60439111799496,None,You lost $0.20!,5.2,5,22,0.31999999999999984,60.71428571428571,0.2879517098819419,[0],83.33333333333333,21,3,1,0.3480771709949475,,0.028077170994947664,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,3000,0,28,28,28,,204.6382416849956,None,3000,206.66396094499942,None,None,206.66396094499942,None,1.6800000000000002,29,209.7043670799976,None,None,0,209.7043670799976,None,You lost $0.20!,5.0,5,23,0.31999999999999984,58.620689655172406,0.2879517098819419,"[0, 0]",83.33333333333333,21,3,None,0.3480771709949475,,,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,1500,0,29,29,29,,211.72168274099386,None,1500,213.74907104899467,None,None,213.74907104899467,None,1.6800000000000002,30,215.28892703499878,None,None,0,215.28892703499878,None,You did not win or lose anything!,5.0,3,23,0.31999999999999984,56.666666666666664,0.2879517098819419,"[0, 0]",83.33333333333333,21,3,1,0.3493888209998839,,0.029388820999884047,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,1500,0,30,30,30,,217.33381963499414,None,1500,219.3669624319955,None,None,219.3669624319955,None,1.6800000000000002,31,220.91609356399567,None,None,0,220.91609356399567,None,You did not win $0.20!,5.0,2,24,0.3599999999999998,54.83870967741935,0.2879517098819419,[],33.33333333333333,24,3,None,0.3493888209998839,,,Adjusting RT...,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,3500,0,31,31,31,,222.96733517699613,None,3500,225.00032043099782,None,None,225.00032043099782,None,1.6400000000000001,32,228.55051834099868,None,1,1,228.55051834099868,None,You won $0.20!,5.2,2,25,0.3599999999999998,56.25,0.2854278001108873,[1],33.33333333333333,24,3,None,0.2425213340029586,,,,0.2425213340029586,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,1500,0,32,32,32,,230.60037709799508,None,1500,232.63454492599703,None,None,232.63454492599703,None,1.6400000000000001,33,234.18414050999854,None,None,0,234.18414050999854,None,You did not win $5.00!,5.2,1,26,0.3599999999999998,54.54545454545454,0.2854278001108873,"[1, 0]",33.33333333333333,24,3,1,0.37848541999788704,,0.01848541999788722,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
